Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2021-10-30,2021-22,La Liga,Barcelona,Alavés,Home,1,1,Draw,Abde Ezzalzouli,N,N/A,11,0,0,0,0,0,0,0,0,0,0,0
2021-11-06,2021-22,La Liga,Barcelona,Celta Vigo,Away,3,3,Draw,Abde Ezzalzouli,N,N/A,11,0,0,1,1,1,0,1,0,0,0,0
2021-11-20,2021-22,La Liga,Barcelona,Espanyol,Home,1,0,Win,Abde Ezzalzouli,N,N/A,45,0,0,1,0,1,0,1,0,1,0,0
2021-11-27,2021-22,La Liga,Barcelona,Villarreal,Away,3,1,Win,Abde Ezzalzouli,Y,FW,65,0,0,1,1,0,0,2,0,2,1,3
2021-12-04,2021-22,La Liga,Barcelona,Real Betis,Home,0,1,Loss,Abde Ezzalzouli,Y,FW,81,0,0,1,0,0,0,2,1,3,1,3
2021-12-12,2021-22,La Liga,Barcelona,Osasuna,Away,2,2,Draw,Abde Ezzalzouli,Y,FW,89,1,0,3,1,0,0,0,0,2,1,0
2021-12-18,2021-22,La Liga,Barcelona,Elche,Home,3,2,Win,Abde Ezzalzouli,Y,FW,88,0,0,4,0,0,0,2,1,1,1,2
2021-12-21,2021-22,La Liga,Barcelona,Sevilla,Away,1,1,Draw,Abde Ezzalzouli,Y,FW,90,0,0,3,1,1,0,4,0,0,4,1
2022-01-08,2021-22,La Liga,Barcelona,Granada,Away,1,1,Draw,Abde Ezzalzouli,N,N/A,30,0,0,1,0,1,0,2,0,0,1,0
2022-01-23,2021-22,La Liga,Barcelona,Alavés,Away,1,0,Win,Abde Ezzalzouli,Y,FW,70,0,0,1,0,0,0,3,0,6,0,0
2022-09-04,2022-23,La Liga,Osasuna,Rayo Vallecano,Home,2,1,Win,Abde Ezzalzouli,N,N/A,10,0,1,1,0,0,0,0,0,0,1,0
2022-09-12,2022-23,La Liga,Osasuna,Almería,Away,1,0,Win,Abde Ezzalzouli,N,N/A,18,0,0,2,0,0,0,1,0,0,0,0
2022-09-18,2022-23,La Liga,Osasuna,Getafe,Home,0,2,Loss,Abde Ezzalzouli,N,N/A,34,0,0,1,1,0,0,0,0,0,3,1
2022-10-02,2022-23,La Liga,Osasuna,Real Madrid,Away,1,1,Draw,Abde Ezzalzouli,Y,FW,68,0,0,2,0,1,0,2,0,2,3,0
2022-10-07,2022-23,La Liga,Osasuna,Valencia,Home,1,2,Loss,Abde Ezzalzouli,Y,RM,71,0,0,0,0,0,0,1,0,1,3,1
2022-10-17,2022-23,La Liga,Osasuna,Villarreal,Away,0,2,Loss,Abde Ezzalzouli,N,N/A,27,0,0,1,1,0,0,1,0,1,0,0
2022-10-20,2022-23,La Liga,Osasuna,Espanyol,Home,1,0,Win,Abde Ezzalzouli,Y,LW,78,0,1,3,1,0,0,3,0,4,1,1
2022-10-23,2022-23,La Liga,Osasuna,Girona,Away,1,1,Draw,Abde Ezzalzouli,Y,LW,7,0,0,0,0,0,0,0,0,0,0,0
2022-12-31,2022-23,La Liga,Osasuna,Real Sociedad,Away,0,2,Loss,Abde Ezzalzouli,N,N/A,13,0,0,0,0,0,0,0,0,2,0,0
2023-01-09,2022-23,La Liga,Osasuna,Athletic Club,Away,0,0,Draw,Abde Ezzalzouli,Y,FW,57,0,0,0,0,0,0,1,0,0,0,0
2023-01-14,2022-23,La Liga,Osasuna,Mallorca,Home,1,0,Win,Abde Ezzalzouli,Y,FW,67,0,0,2,0,0,0,1,0,3,0,0
2023-01-22,2022-23,La Liga,Osasuna,Elche,Away,1,1,Draw,Abde Ezzalzouli,N,N/A,17,0,0,0,0,0,0,1,0,1,0,0
2023-01-29,2022-23,La Liga,Osasuna,Atlético Madrid,Home,0,1,Loss,Abde Ezzalzouli,Y,FW,77,0,0,1,0,0,0,2,0,4,1,0
2023-02-04,2022-23,La Liga,Osasuna,Espanyol,Away,1,1,Draw,Abde Ezzalzouli,Y,LW,44,0,0,1,1,2,0,1,0,0,1,0
2023-02-18,2022-23,La Liga,Osasuna,Real Madrid,Home,0,2,Loss,Abde Ezzalzouli,Y,AM,84,0,0,1,0,0,0,2,0,6,0,0
2023-02-26,2022-23,La Liga,Osasuna,Sevilla,Away,3,2,Win,Abde Ezzalzouli,N,N/A,10,1,0,1,1,0,0,1,0,1,0,0
2023-03-06,2022-23,La Liga,Osasuna,Celta Vigo,Home,0,0,Draw,Abde Ezzalzouli,Y,FW,76,0,0,1,0,0,0,2,0,5,0,0
2023-03-11,2022-23,La Liga,Osasuna,Valencia,Away,0,1,Loss,Abde Ezzalzouli,Y,FW,90,0,0,2,0,0,0,1,0,3,2,1
2023-03-19,2022-23,La Liga,Osasuna,Villarreal,Home,0,3,Loss,Abde Ezzalzouli,Y,FW,77,0,0,1,1,0,0,1,0,5,0,0
2023-03-31,2022-23,La Liga,Osasuna,Mallorca,Away,0,0,Draw,Abde Ezzalzouli,N,N/A,14,0,0,2,1,0,0,1,0,0,1,0
2023-04-08,2022-23,La Liga,Osasuna,Elche,Home,2,1,Win,Abde Ezzalzouli,Y,FW,90,2,0,6,2,0,0,2,0,11,0,0
