Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2022-09-17,2022-2023,La Liga,Rayo Vallecano,Athletic Club,Away,2,3,L,Abdul Mumin,N,,12,0,0,0,0,0,0,0,0,0,0,0
2022-10-18,2022-2023,La Liga,Rayo Vallecano,Atlético Madrid,Away,1,1,D,Abdul Mumin,Y,CB,90,0,0,0,0,0,0,0,0,0,0,1
2022-12-29,2022-2023,La Liga,Rayo Vallecano,Girona,Away,2,2,D,Abdul Mumin,Y,CB,90,0,0,1,1,0,0,1,0,0,0,0
2023-01-14,2022-2023,La Liga,Rayo Vallecano,Valladolid,Away,1,0,W,Abdul Mumin,N,,1,0,0,0,0,0,0,0,0,0,0,0
2023-03-05,2022-2023,La Liga,Rayo Vallecano,Athletic Club,Home,0,0,D,Abdul Mumin,Y,CB,90,0,0,2,0,1,0,1,0,1,1,1
2023-03-18,2022-2023,La Liga,Rayo Vallecano,Girona,Home,2,2,D,Abdul Mumin,N,,26,0,0,0,0,0,0,0,0,0,1,0
2023-04-03,2022-2023,La Liga,Rayo Vallecano,Valencia,Away,1,1,D,Abdul Mumin,N,,8,0,0,0,0,0,0,1,0,0,0,0
2023-04-09,2022-2023,La Liga,Rayo Vallecano,Atlético Madrid,Home,1,2,L,Abdul Mumin,N,,18,0,0,0,0,0,0,0,0,0,0,1
2023-04-14,2022-2023,La Liga,Rayo Vallecano,Osasuna,Home,2,1,W,Abdul Mumin,Y,CB,90,0,0,0,0,0,0,0,0,0,2,2
2023-04-22,2022-2023,La Liga,Rayo Vallecano,Real Sociedad,Away,1,2,L,Abdul Mumin,Y,CB,90,0,0,0,0,0,0,2,0,0,1,0
2023-04-26,2022-2023,La Liga,Rayo Vallecano,Barcelona,Home,2,1,W,Abdul Mumin,N,,2,0,0,0,0,0,0,0,0,0,0,0
2023-04-29,2022-2023,La Liga,Rayo Vallecano,Elche,Away,0,4,L,Abdul Mumin,N,,45,0,0,0,0,0,0,0,0,0,0,1
2023-05-04,2022-2023,La Liga,Rayo Vallecano,Valladolid,Home,2,1,W,Abdul Mumin,Y,CB,90,0,0,1,0,0,0,0,0,0,2,1
2023-05-15,2022-2023,La Liga,Rayo Vallecano,Real Betis,Away,1,3,L,Abdul Mumin,Y,CB,90,0,0,0,0,1,0,0,0,0,1,1
2023-05-28,2022-2023,La Liga,Rayo Vallecano,Villarreal,Home,2,1,W,Abdul Mumin,Y,,,,,,,,,,,,,
2023-06-04,2022-2023,La Liga,Rayo Vallecano,Mallorca,Away,0,3,L,Abdul Mumin,Y,CB,90,0,0,0,0,0,0,2,0,1,1,0
2023-08-21,2023-2024,La Liga,Rayo Vallecano,Granada,Away,2,0,W,Abdul Mumin,N,,3,0,0,0,0,0,0,0,1,0,0,0
2023-09-27,2023-2024,La Liga,Rayo Vallecano,Cádiz,Away,0,0,D,Abdul Mumin,Y,CB,87,0,0,0,0,1,1,2,0,0,1,1
2023-10-29,2023-2024,La Liga,Rayo Vallecano,Real Sociedad,Home,2,2,D,Abdul Mumin,Y,CB,90,1,0,1,1,0,0,0,0,0,1,0
2023-11-05,2023-2024,La Liga,Rayo Vallecano,Real Madrid,Away,0,0,D,Abdul Mumin,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2023-11-11,2023-2024,La Liga,Rayo Vallecano,Girona,Home,1,2,L,Abdul Mumin,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2023-11-25,2023-2024,La Liga,Rayo Vallecano,Barcelona,Home,1,1,D,Abdul Mumin,Y,CB,74,0,0,0,0,0,0,0,0,0,0,0
2023-12-02,2023-2024,La Liga,Rayo Vallecano,Athletic Club,Away,0,4,L,Abdul Mumin,Y,CB,90,0,0,0,0,0,0,2,1,0,2,0
2023-12-11,2023-2024,La Liga,Rayo Vallecano,Celta Vigo,Home,0,0,D,Abdul Mumin,Y,CB,90,0,0,0,0,0,0,0,0,0,2,0
2023-12-15,2023-2024,La Liga,Rayo Vallecano,Osasuna,Away,0,1,L,Abdul Mumin,Y,CB,90,0,0,1,0,0,0,1,1,0,2,0
2023-12-19,2023-2024,La Liga,Rayo Vallecano,Valencia,Home,0,1,L,Abdul Mumin,Y,CB,90,0,0,0,0,0,0,2,0,0,1,1
2024-02-11,2023-2024,La Liga,Rayo Vallecano,Mallorca,Away,1,2,L,Abdul Mumin,Y,CB,90,0,0,0,0,0,0,1,1,0,0,0
2024-03-17,2023-2024,La Liga,Rayo Vallecano,Real Betis,Home,2,0,W,Abdul Mumin,Y,CB,90,0,0,0,0,1,0,1,1,0,1,0
2024-03-31,2023-2024,La Liga,Rayo Vallecano,Celta Vigo,Away,0,0,D,Abdul Mumin,Y,CB,90,0,0,0,0,0,0,1,1,0,0,1
2024-04-13,2023-2024,La Liga,Rayo Vallecano,Getafe,Home,0,0,D,Abdul Mumin,Y,CB,90,0,0,1,0,1,0,2,2,0,0,1
2024-04-20,2023-2024,La Liga,Rayo Vallecano,Osasuna,Home,2,1,W,Abdul Mumin,Y,CB,90,0,0,1,0,0,0,0,1,0,1,1
2024-04-28,2023-2024,La Liga,Rayo Vallecano,Villarreal,Away,0,3,L,Abdul Mumin,Y,CB,90,0,0,0,0,0,0,1,1,0,0,1
2024-05-05,2023-2024,La Liga,Rayo Vallecano,Almería,Home,0,1,L,Abdul Mumin,Y,CB,90,0,0,1,0,1,0,1,4,0,0,3
2024-05-12,2023-2024,La Liga,Rayo Vallecano,Valencia,Away,0,0,D,Abdul Mumin,Y,CB,90,0,0,0,0,0,0,0,1,0,2,2
2024-05-15,2023-2024,La Liga,Rayo Vallecano,Granada,Home,2,1,W,Abdul Mumin,Y,CB,90,0,0,0,0,0,0,0,0,0,1,3
2024-05-19,2023-2024,La Liga,Rayo Vallecano,Barcelona,Away,0,3,L,Abdul Mumin,Y,CB,90,0,0,1,0,1,0,1,1,0,0,0
2024-08-18,2024-2025,La Liga,Rayo Vallecano,Real Sociedad,Away,2,1,W,Abdul Mumin,Y,CB,90,0,1,0,0,0,0,0,0,0,0,1
2024-08-24,2024-2025,La Liga,Rayo Vallecano,Getafe,Away,0,0,D,Abdul Mumin,Y,CB,90,0,0,0,0,0,0,1,0,0,2,0
2024-08-27,2024-2025,La Liga,Rayo Vallecano,Barcelona,Home,1,2,L,Abdul Mumin,Y,CB,90,0,0,0,0,1,0,0,0,1,1,5
2024-08-31,2024-2025,La Liga,Rayo Vallecano,Espanyol,Away,1,2,L,Abdul Mumin,Y,CB,90,0,0,0,0,1,0,2,0,0,1,0
