Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2013-08-30,2013-2014,La Liga,Rayo Vallecano,Levante,Home,1,2,L,Adri Embarba,N,,65,0,0,,,0,0,,,,,
2013-09-15,2013-2014,La Liga,Rayo Vallecano,Málaga,Away,0,5,L,Adri Embarba,N,,40,0,0,,,0,0,,,,,
2013-09-21,2013-2014,La Liga,Rayo Vallecano,Barcelona,Home,0,4,L,Adri Embarba,N,,43,0,0,,,0,0,,,,,
2013-10-30,2013-2014,La Liga,Rayo Vallecano,Osasuna,Away,1,3,L,Adri Embarba,N,,27,0,0,,,0,0,,,,,
2013-11-02,2013-2014,La Liga,Rayo Vallecano,Real Madrid,Home,2,3,L,Adri Embarba,N,,23,0,0,,,0,0,,,,,
2013-11-09,2013-2014,La Liga,Rayo Vallecano,Celta Vigo,Away,2,0,W,Adri Embarba,N,,23,0,0,,,0,0,,,,,
2013-11-24,2013-2014,La Liga,Rayo Vallecano,Espanyol,Home,1,4,L,Adri Embarba,N,,15,0,0,,,0,0,,,,,
2014-01-06,2013-2014,La Liga,Rayo Vallecano,Villarreal,Home,2,5,L,Adri Embarba,N,,27,0,0,,,0,0,,,,,
2014-01-12,2013-2014,La Liga,Rayo Vallecano,Getafe,Away,1,0,W,Adri Embarba,N,,19,0,0,,,0,0,,,,,
2014-01-18,2013-2014,La Liga,Rayo Vallecano,Elche,Away,0,2,L,Adri Embarba,N,,14,0,0,,,0,0,,,,,
2014-05-02,2013-2014,La Liga,Rayo Vallecano,Athletic Club,Home,0,3,L,Adri Embarba,N,,55,0,0,,,0,0,,,,,
2014-10-17,2014-2015,La Liga,Rayo Vallecano,Granada,Away,1,0,W,Adri Embarba,N,,14,0,0,0,0,0,0,,,,0,
2015-01-30,2014-2015,La Liga,Rayo Vallecano,Dep La Coruña,Home,1,2,L,Adri Embarba,N,,15,0,0,0,0,0,0,,,,0,
2015-03-14,2014-2015,La Liga,Rayo Vallecano,Granada,Home,3,1,W,Adri Embarba,N,,28,1,0,0,0,0,0,,,,0,
2015-03-21,2014-2015,La Liga,Rayo Vallecano,Málaga,Home,1,0,W,Adri Embarba,Y,,90,0,0,0,0,1,0,,,,0,
2015-04-03,2014-2015,La Liga,Rayo Vallecano,Eibar,Away,2,1,W,Adri Embarba,Y,,90,0,1,0,0,0,0,,,,0,
2015-04-08,2014-2015,La Liga,Rayo Vallecano,Real Madrid,Home,0,2,L,Adri Embarba,Y,,80,0,0,0,0,0,0,,,,0,
2015-04-11,2014-2015,La Liga,Rayo Vallecano,Celta Vigo,Away,1,6,L,Adri Embarba,Y,,90,0,1,0,0,0,0,,,,0,
2015-04-19,2014-2015,La Liga,Rayo Vallecano,Almería,Home,2,0,W,Adri Embarba,Y,,76,0,0,0,0,0,0,,,,0,
2015-04-26,2014-2015,La Liga,Rayo Vallecano,Sevilla,Away,0,2,L,Adri Embarba,N,,21,0,0,0,0,0,0,,,,0,
2015-04-30,2014-2015,La Liga,Rayo Vallecano,Valencia,Home,1,1,D,Adri Embarba,Y,,88,1,0,0,0,0,0,,,,0,
