Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2023-10-22,2023-2024,La Liga,Villarreal,Alavés,Home,1,1,D,Adrià Altimira,N,RB,37,0,0,0,0,0,0,0,0,0,0,0
2023-10-30,2023-2024,La Liga,Villarreal,Granada,Away,3,2,W,Adrià Altimira,Y,RB,90,0,0,0,0,0,0,1,0,0,1,1
2023-11-05,2023-2024,La Liga,Villarreal,Athletic Club,Home,2,3,L,Adrià Altimira,Y,RB,64,0,0,1,0,0,0,1,0,0,1,2
2023-11-12,2023-2024,La Liga,Villarreal,Atlético Madrid,Away,1,3,L,Adrià Altimira,Y,RB,90,0,0,0,0,0,0,1,0,0,1,0
2023-11-26,2023-2024,La Liga,Villarreal,Osasuna,Home,3,1,W,Adrià Altimira,Y,RM,67,0,0,0,0,0,0,1,0,3,0,0
2023-12-03,2023-2024,La Liga,Villarreal,Sevilla,Away,1,1,D,Adrià Altimira,Y,RM,70,0,0,0,0,1,0,3,0,0,0,1
2023-12-09,2023-2024,La Liga,Villarreal,Real Sociedad,Home,0,3,L,Adrià Altimira,Y,RM,45,0,0,0,0,0,0,0,1,0,0,0
2023-12-17,2023-2024,La Liga,Villarreal,Real Madrid,Away,1,4,L,Adrià Altimira,Y,RB,90,0,0,0,0,1,0,1,0,0,1,1
2023-12-20,2023-2024,La Liga,Villarreal,Celta Vigo,Home,3,2,W,Adrià Altimira,Y,RB,90,0,0,0,0,0,1,4,1,1,3,1
2024-01-02,2023-2024,La Liga,Villarreal,Valencia,Away,1,3,L,Adrià Altimira,Y,RB,77,0,0,0,0,0,0,1,0,0,0,0
2024-01-13,2023-2024,La Liga,Villarreal,Las Palmas,Away,0,3,L,Adrià Altimira,Y,RB,55,0,0,0,0,1,0,1,0,0,0,0
2024-08-25,2024-2025,La Liga,Leganés,Las Palmas,Home,2,1,W,Adrià Altimira,N,RB,4,0,0,0,0,0,0,0,0,0,0,0
2024-08-31,2024-2025,La Liga,Leganés,Mallorca,Home,0,1,L,Adrià Altimira,Y,RB,56,0,0,0,0,0,0,0,1,0,2,1
2024-09-13,2024-2025,La Liga,Leganés,Real Betis,Away,0,2,L,Adrià Altimira,N,RB,45,0,0,0,0,0,0,2,0,0,1,2
2024-09-28,2024-2025,La Liga,Leganés,Rayo Vallecano,Away,1,1,D,Adrià Altimira,Y,AM,73,0,0,3,0,0,0,1,2,0,0,1
2024-10-04,2024-2025,La Liga,Leganés,Valencia,Home,0,0,D,Adrià Altimira,Y,AM,90,0,0,0,0,0,0,0,3,1,1,1
2024-10-27,2024-2025,La Liga,Leganés,Celta Vigo,Home,3,0,W,Adrià Altimira,Y,DM,90,0,0,0,0,0,0,0,1,1,5,2
2024-11-02,2024-2025,La Liga,Leganés,Girona,Away,3,4,L,Adrià Altimira,Y,RB,76,0,0,0,0,0,0,2,2,0,0,2
2024-11-09,2024-2025,La Liga,Leganés,Sevilla,Home,1,0,W,Adrià Altimira,Y,RB,90,0,0,0,0,0,0,0,0,0,0,3
2024-11-24,2024-2025,La Liga,Leganés,Real Madrid,Home,0,3,L,Adrià Altimira,Y,DM,74,0,0,0,0,1,0,4,1,0,2,1
2024-12-15,2024-2025,La Liga,Leganés,Barcelona,Away,1,0,W,Adrià Altimira,Y,RB,90,0,0,1,1,0,0,1,1,0,0,1
2024-12-22,2024-2025,La Liga,Leganés,Villarreal,Home,2,5,L,Adrià Altimira,Y,RB,90,0,0,0,0,1,0,1,3,0,2,1
2025-01-26,2024-2025,La Liga,Leganés,Athletic Club,Away,0,0,D,Adrià Altimira,Y,RB,90,0,0,0,0,1,0,2,1,0,1,5
2025-01-31,2024-2025,La Liga,Leganés,Rayo Vallecano,Home,0,1,L,Adrià Altimira,Y,RB,61,0,0,0,0,0,0,0,1,0,0,0
2025-02-09,2024-2025,La Liga,Leganés,Valencia,Away,0,2,L,Adrià Altimira,N,RB,81,0,0,0,0,0,0,3,0,0,0,0
2025-02-23,2024-2025,La Liga,Leganés,Real Sociedad,Away,0,3,L,Adrià Altimira,Y,RB,72,0,0,0,0,0,0,5,1,0,0,1
2025-04-12,2024-2025,La Liga,Leganés,Barcelona,Home,0,1,L,Adrià Altimira,Y,RM,74,0,0,1,1,1,0,1,0,1,3,0
2025-04-19,2024-2025,La Liga,Leganés,Mallorca,Away,0,0,D,Adrià Altimira,Y,AM,90,0,0,0,0,0,0,1,4,0,3,1
2025-04-24,2024-2025,La Liga,Leganés,Girona,Home,1,1,D,Adrià Altimira,Y,LB,24,0,0,1,0,1,0,1,0,0,0,0
2025-05-11,2024-2025,La Liga,Leganés,Espanyol,Home,3,2,W,Adrià Altimira,Y,RM,90,0,0,0,0,0,0,0,4,0,1,1
2025-05-14,2024-2025,La Liga,Leganés,Villarreal,Away,0,3,L,Adrià Altimira,Y,DM,90,0,0,0,0,0,0,0,0,0,8,1
2025-05-18,2024-2025,La Liga,Leganés,Las Palmas,Away,1,0,W,Adrià Altimira,Y,RB,90,0,0,0,0,1,0,1,1,0,0,5
2025-05-24,2024-2025,La Liga,Leganés,Valladolid,Home,3,0,W,Adrià Altimira,Y,RB,90,0,0,1,0,0,0,2,2,0,2,1
