Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2017-12-10,2017-2018,La Liga,Real Betis,Atlético Madrid,Home,0,1,L,Aitor Ruibal,N,,3,0,0,0,0,0,0,1,0,0,0,0
2017-12-18,2017-2018,La Liga,Real Betis,Málaga,Away,2,0,W,Aitor Ruibal,N,,6,0,0,0,0,0,0,0,0,0,0,0
2019-08-31,2019-2020,La Liga,Leganés,Real Betis,Away,1,2,L,Aitor Ruibal,N,,12,0,0,1,0,0,0,0,0,0,0,0
2019-09-14,2019-2020,La Liga,Leganés,Villarreal,Home,0,3,L,Aitor Ruibal,N,,29,0,0,0,0,0,0,0,0,0,2,0
2019-09-22,2019-2020,La Liga,Leganés,Valencia,Away,1,1,D,Aitor Ruibal,Y,RW,56,0,0,0,0,0,0,2,0,0,3,1
2019-10-05,2019-2020,La Liga,Leganés,Levante,Home,1,2,L,Aitor Ruibal,Y,RM,63,0,0,0,0,0,0,2,1,0,3,0
2019-10-30,2019-2020,La Liga,Leganés,Real Madrid,Away,0,5,L,Aitor Ruibal,N,,25,0,0,0,0,1,0,1,1,0,1,1
2019-11-08,2019-2020,La Liga,Leganés,Real Sociedad,Away,1,1,D,Aitor Ruibal,N,,3,0,0,0,0,0,0,0,0,1,0,1
2020-01-03,2019-2020,La Liga,Leganés,Valladolid,Away,2,2,D,Aitor Ruibal,N,,5,0,0,0,0,0,0,0,0,0,0,0
2020-01-17,2019-2020,La Liga,Leganés,Getafe,Home,0,3,L,Aitor Ruibal,N,,14,0,0,1,0,0,0,0,0,0,0,0
2020-01-26,2019-2020,La Liga,Leganés,Atlético Madrid,Away,0,0,D,Aitor Ruibal,N,,30,0,0,1,0,0,0,1,0,0,2,0
2020-02-02,2019-2020,La Liga,Leganés,Real Sociedad,Home,2,1,W,Aitor Ruibal,N,,33,0,0,0,0,0,0,3,1,2,0,2
2020-02-08,2019-2020,La Liga,Leganés,Levante,Away,0,2,L,Aitor Ruibal,N,,45,0,0,0,0,0,0,1,0,0,3,0
2020-02-16,2019-2020,La Liga,Leganés,Real Betis,Home,0,0,D,Aitor Ruibal,Y,RB,90,0,0,1,0,1,0,2,1,0,2,3
2020-02-29,2019-2020,La Liga,Leganés,Alavés,Home,1,1,D,Aitor Ruibal,N,,39,0,0,1,1,0,0,2,1,1,0,0
2020-03-08,2019-2020,La Liga,Leganés,Villarreal,Away,2,1,W,Aitor Ruibal,Y,RM,63,0,0,1,0,0,0,1,0,0,1,2
2020-06-13,2019-2020,La Liga,Leganés,Valladolid,Home,1,2,L,Aitor Ruibal,N,,32,0,0,0,0,0,0,0,0,0,1,1
2020-06-16,2019-2020,La Liga,Leganés,Barcelona,Away,0,2,L,Aitor Ruibal,Y,RB,90,0,0,0,0,0,0,1,1,1,1,0
2020-06-19,2019-2020,La Liga,Leganés,Mallorca,Away,1,1,D,Aitor Ruibal,Y,DM,55,0,0,1,1,0,0,1,0,0,3,0
2020-06-22,2019-2020,La Liga,Leganés,Granada,Home,0,0,D,Aitor Ruibal,Y,RB,90,0,0,0,0,0,0,2,1,0,4,2
2020-06-27,2019-2020,La Liga,Leganés,Osasuna,Away,1,2,L,Aitor Ruibal,Y,RM,45,0,0,2,0,0,0,0,0,0,0,0
2020-06-30,2019-2020,La Liga,Leganés,Sevilla,Home,0,3,L,Aitor Ruibal,N,,36,0,0,2,0,0,0,0,1,0,0,0
2020-07-05,2019-2020,La Liga,Leganés,Espanyol,Away,1,0,W,Aitor Ruibal,Y,RM,80,0,0,0,0,0,0,1,0,0,0,0
2020-07-09,2019-2020,La Liga,Leganés,Eibar,Away,0,0,D,Aitor Ruibal,Y,RM,60,0,0,1,1,1,0,1,0,1,0,1
2020-07-12,2019-2020,La Liga,Leganés,Valencia,Home,1,0,W,Aitor Ruibal,Y,RM,90,0,0,1,0,1,0,3,2,0,1,0
2020-07-16,2019-2020,La Liga,Leganés,Athletic Club,Away,2,0,W,Aitor Ruibal,Y,RB,90,0,0,2,0,0,0,2,0,0,3,0
2020-07-19,2019-2020,La Liga,Leganés,Real Madrid,Home,2,2,D,Aitor Ruibal,Y,RM,45,0,0,1,0,1,0,2,3,0,0,2
2020-09-13,2020-2021,La Liga,Real Betis,Alavés,Away,1,0,W,Aitor Ruibal,N,,24,0,0,1,1,0,0,0,0,0,0,0
2020-09-29,2020-2021,La Liga,Real Betis,Getafe,Home,0,3,L,Aitor Ruibal,N,,30,0,0,0,0,0,0,1,1,0,1,0
2020-10-18,2020-2021,La Liga,Real Betis,Real Sociedad,Home,0,3,L,Aitor Ruibal,Y,RB,90,0,0,0,0,0,0,1,1,0,2,1
2020-11-07,2020-2021,La Liga,Real Betis,Barcelona,Away,2,5,L,Aitor Ruibal,N,,28,0,0,0,0,0,0,0,0,1,0,1
2020-11-23,2020-2021,La Liga,Real Betis,Athletic Club,Away,0,4,L,Aitor Ruibal,N,,7,0,0,0,0,0,0,1,0,0,0,1
2020-12-06,2020-2021,La Liga,Real Betis,Osasuna,Away,2,0,W,Aitor Ruibal,Y,RM,81,0,1,2,1,0,0,2,1,0,2,1
2020-12-13,2020-2021,La Liga,Real Betis,Villarreal,Home,1,1,D,Aitor Ruibal,Y,AM,82,1,0,3,2,0,0,0,1,1,3,1
2020-12-20,2020-2021,La Liga,Real Betis,Granada,Away,0,2,L,Aitor Ruibal,Y,AM,45,0,0,0,0,0,0,1,0,0,2,0
2020-12-23,2020-2021,La Liga,Real Betis,Cádiz,Home,1,0,W,Aitor Ruibal,Y,AM,63,0,0,0,0,0,0,0,2,0,1,1
2020-12-29,2020-2021,La Liga,Real Betis,Levante,Away,3,4,L,Aitor Ruibal,Y,AM,90,0,0,3,1,0,0,3,0,0,1,2
2021-01-02,2020-2021,La Liga,Real Betis,Sevilla,Home,1,1,D,Aitor Ruibal,Y,AM,88,0,0,2,0,0,0,1,1,0,0,0
2021-01-11,2020-2021,La Liga,Real Betis,Huesca,Away,2,0,W,Aitor Ruibal,Y,AM,78,0,0,2,1,0,0,0,0,0,0,4
2021-01-20,2020-2021,La Liga,Real Betis,Celta Vigo,Home,2,1,W,Aitor Ruibal,Y,AM,30,0,0,1,0,0,0,0,1,0,1,0
2021-02-07,2020-2021,La Liga,Real Betis,Barcelona,Home,2,3,L,Aitor Ruibal,Y,AM,64,0,0,0,0,0,0,1,0,0,0,0
2021-02-14,2020-2021,La Liga,Real Betis,Villarreal,Away,2,1,W,Aitor Ruibal,Y,AM,81,0,0,2,1,0,0,1,1,0,2,1
2021-02-19,2020-2021,La Liga,Real Betis,Getafe,Home,1,0,W,Aitor Ruibal,Y,AM,62,0,0,0,0,0,0,3,0,0,0,1
2021-02-28,2020-2021,La Liga,Real Betis,Cádiz,Away,1,0,W,Aitor Ruibal,Y,AM,59,0,0,1,0,0,0,2,0,0,0,0
2021-03-08,2020-2021,La Liga,Real Betis,Alavés,Home,3,2,W,Aitor Ruibal,Y,AM,45,0,0,0,0,0,0,0,0,0,2,1
2021-03-14,2020-2021,La Liga,Real Betis,Sevilla,Away,0,1,L,Aitor Ruibal,Y,DM,63,0,0,1,0,1,0,3,2,0,0,0
2021-04-04,2020-2021,La Liga,Real Betis,Elche,Away,1,1,D,Aitor Ruibal,Y,AM,71,0,0,2,1,1,0,2,0,0,0,2
2021-04-11,2020-2021,La Liga,Real Betis,Atlético Madrid,Home,1,1,D,Aitor Ruibal,Y,AM,74,0,0,1,0,0,0,2,0,0,0,1
2021-04-18,2020-2021,La Liga,Real Betis,Valencia,Home,2,2,D,Aitor Ruibal,N,,9,0,0,2,2,0,0,0,0,0,0,0
2021-04-21,2020-2021,La Liga,Real Betis,Athletic Club,Home,0,0,D,Aitor Ruibal,Y,AM,77,0,0,3,1,0,0,3,3,0,0,0
2021-04-24,2020-2021,La Liga,Real Betis,Real Madrid,Away,0,0,D,Aitor Ruibal,N,,32,0,0,1,0,0,0,1,1,1,0,0
2021-05-02,2020-2021,La Liga,Real Betis,Valladolid,Away,1,1,D,Aitor Ruibal,Y,AM,78,1,0,3,2,0,0,1,0,1,1,2
