Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2021-08-13,2021-2022,Premier League,Arsenal,Brentford,Away,0,2,L,Albert Sambi Lokonga,Y,DM,90,0,0,2,1,0,0,1,0,1,1,2
2021-08-22,2021-2022,Premier League,Arsenal,Chelsea,Home,0,2,L,Albert Sambi Lokonga,Y,DM,90,0,0,1,0,1,0,2,0,1,0,1
2021-09-11,2021-2022,Premier League,Arsenal,Norwich City,Home,1,0,W,Albert Sambi Lokonga,Y,DM,61,0,0,2,1,0,0,0,0,0,4,0
2021-09-18,2021-2022,Premier League,Arsenal,Burnley,Away,1,0,W,Albert Sambi Lokonga,N,,30,0,0,0,0,0,0,1,0,0,2,1
2021-09-26,2021-2022,Premier League,Arsenal,Tottenham,Home,3,1,W,Albert Sambi Lokonga,N,,9,0,0,0,0,1,0,1,0,0,1,0
2021-10-02,2021-2022,Premier League,Arsenal,Brighton,Away,0,0,D,Albert Sambi Lokonga,Y,DM,90,0,0,1,0,0,0,0,0,0,1,3
2021-10-18,2021-2022,Premier League,Arsenal,Crystal Palace,Home,2,2,D,Albert Sambi Lokonga,N,,45,0,0,0,0,0,0,1,0,0,0,0
2021-10-22,2021-2022,Premier League,Arsenal,Aston Villa,Home,3,1,W,Albert Sambi Lokonga,Y,CM,72,0,0,3,1,1,0,1,0,0,1,1
2021-10-30,2021-2022,Premier League,Arsenal,Leicester City,Away,2,0,W,Albert Sambi Lokonga,Y,DM,90,0,0,1,0,0,0,0,0,0,1,0
2021-11-07,2021-2022,Premier League,Arsenal,Watford,Home,1,0,W,Albert Sambi Lokonga,Y,DM,90,0,0,4,2,1,0,1,0,0,0,1
2021-11-20,2021-2022,Premier League,Arsenal,Liverpool,Away,0,4,L,Albert Sambi Lokonga,Y,DM,52,0,0,1,1,0,0,0,0,0,0,3
2021-11-27,2021-2022,Premier League,Arsenal,Newcastle,Home,2,0,W,Albert Sambi Lokonga,Y,DM,90,0,0,0,0,0,0,1,0,0,2,0
2021-12-11,2021-2022,Premier League,Arsenal,Southampton,Home,3,0,W,Albert Sambi Lokonga,N,,10,0,0,0,0,0,0,0,0,0,0,0
2022-01-23,2021-2022,Premier League,Arsenal,Burnley,Home,0,0,D,Albert Sambi Lokonga,Y,DM,90,0,0,1,0,0,0,1,0,0,0,0
2022-04-04,2021-2022,Premier League,Arsenal,Crystal Palace,Away,0,3,L,Albert Sambi Lokonga,N,,16,0,0,0,0,0,0,0,0,0,2,0
2022-04-09,2021-2022,Premier League,Arsenal,Brighton,Home,1,2,L,Albert Sambi Lokonga,Y,CM,90,0,0,2,1,1,0,1,0,0,1,1
2022-04-16,2021-2022,Premier League,Arsenal,Southampton,Away,0,1,L,Albert Sambi Lokonga,Y,CM,90,0,0,0,0,0,0,1,0,0,0,0
2022-05-01,2021-2022,Premier League,Arsenal,West Ham,Away,2,1,W,Albert Sambi Lokonga,N,,1,0,0,1,0,0,0,0,0,0,0,0
2022-05-22,2021-2022,Premier League,Arsenal,Everton,Home,5,1,W,Albert Sambi Lokonga,N,,28,0,0,1,1,0,0,0,0,0,0,0
2022-08-05,2022-2023,Premier League,Arsenal,Crystal Palace,Away,2,0,W,Albert Sambi Lokonga,N,,1,0,0,0,0,0,0,0,0,0,0,0
2022-08-20,2022-2023,Premier League,Arsenal,Bournemouth,Away,3,0,W,Albert Sambi Lokonga,N,,3,0,0,0,0,0,0,0,0,0,0,0
2022-08-31,2022-2023,Premier League,Arsenal,Aston Villa,Home,2,1,W,Albert Sambi Lokonga,Y,DM,90,0,0,0,0,0,0,0,0,0,2,0
2022-09-04,2022-2023,Premier League,Arsenal,Manchester Utd,Away,1,3,L,Albert Sambi Lokonga,Y,DM,73,0,0,0,0,0,0,0,0,0,2,0
2022-09-18,2022-2023,Premier League,Arsenal,Brentford,Away,3,0,W,Albert Sambi Lokonga,N,,13,0,0,0,0,0,0,1,0,0,1,0
2022-10-01,2022-2023,Premier League,Arsenal,Tottenham,Home,3,1,W,Albert Sambi Lokonga,N,,18,0,0,0,0,0,0,0,0,0,0,0
2023-02-04,2022-2023,Premier League,Crystal Palace,Manchester Utd,Away,1,2,L,Albert Sambi Lokonga,N,,19,0,0,0,0,0,0,0,0,0,1,0
2023-02-11,2022-2023,Premier League,Crystal Palace,Brighton,Home,1,1,D,Albert Sambi Lokonga,N,,35,0,0,0,0,1,0,1,0,0,1,0
2023-02-18,2022-2023,Premier League,Crystal Palace,Brentford,Away,1,1,D,Albert Sambi Lokonga,Y,CM,62,0,0,0,0,0,0,1,0,0,2,1
2023-02-25,2022-2023,Premier League,Crystal Palace,Liverpool,Home,0,0,D,Albert Sambi Lokonga,Y,DM,90,0,0,0,0,0,0,0,0,0,1,0
2023-03-04,2022-2023,Premier League,Crystal Palace,Aston Villa,Away,0,1,L,Albert Sambi Lokonga,Y,DM,80,0,0,0,0,0,0,0,0,0,3,1
2023-03-11,2022-2023,Premier League,Crystal Palace,Manchester City,Home,0,1,L,Albert Sambi Lokonga,Y,DM,90,0,0,0,0,0,0,0,0,0,2,1
2023-03-15,2022-2023,Premier League,Crystal Palace,Brighton,Away,0,1,L,Albert Sambi Lokonga,Y,CM,90,0,0,0,0,0,0,4,0,0,0,2
2023-04-15,2022-2023,Premier League,Crystal Palace,Southampton,Away,2,0,W,Albert Sambi Lokonga,N,,6,0,0,0,0,0,0,0,0,0,0,0
2023-04-25,2022-2023,Premier League,Crystal Palace,Wolves,Away,0,2,L,Albert Sambi Lokonga,Y,CM,64,0,0,2,1,1,0,1,0,0,0,0
2023-09-16,2023-2024,Premier League,Luton Town,Fulham,Away,0,1,L,Albert Sambi Lokonga,Y,CM,73,0,0,0,0,0,0,2,0,2,0,0
2023-09-23,2023-2024,Premier League,Luton Town,Wolves,Home,1,1,D,Albert Sambi Lokonga,Y,CM,56,0,0,2,1,0,0,2,0,4,0,0
2023-12-10,2023-2024,Premier League,Luton Town,Manchester City,Home,1,2,L,Albert Sambi Lokonga,N,,19,0,0,0,0,0,0,0,0,0,0,1
2023-12-23,2023-2024,Premier League,Luton Town,Newcastle,Home,1,0,W,Albert Sambi Lokonga,Y,DM,79,0,0,0,0,0,0,3,0,0,1,0
