Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2021-09-20,2021-2022,La Liga,Barcelona,Granada,Home,1,1,Draw,Alejandro Balde,Y,LB,41,0,0,0,0,0,0,1,0,2,0,0
2021-10-30,2021-2022,La Liga,Barcelona,Alavés,Home,1,1,Draw,Alejandro Balde,N,LB,11,0,0,0,0,0,0,1,0,2,0,0
2021-11-06,2021-2022,La Liga,Barcelona,Celta Vigo,Away,3,3,Draw,Alejandro Balde,N,LB,45,0,0,0,0,0,0,0,0,0,0,0
2021-12-18,2021-2022,La Liga,Barcelona,Elche,Home,3,2,Win,Alejandro Balde,N,LB,2,0,0,0,0,0,0,0,0,0,1,0
2022-05-15,2021-2022,La Liga,Barcelona,Getafe,Away,0,0,Draw,Alejandro Balde,Y,LB,89,0,0,1,0,0,0,2,0,2,0,1
2022-08-21,2022-2023,La Liga,Barcelona,Real Sociedad,Away,4,1,Win,Alejandro Balde,Y,FW,63,0,1,0,0,0,0,1,0,0,0,1
2022-08-28,2022-2023,La Liga,Barcelona,Valladolid,Home,4,0,Win,Alejandro Balde,Y,LB,90,0,0,1,0,0,0,1,1,2,2,2
2022-09-03,2022-2023,La Liga,Barcelona,Sevilla,Away,3,0,Win,Alejandro Balde,Y,LB,63,0,0,0,0,1,0,0,0,1,0,0
2022-09-10,2022-2023,La Liga,Barcelona,Cádiz,Away,4,0,Win,Alejandro Balde,Y,LB,77,0,0,0,0,0,0,1,2,1,1,0
2022-09-17,2022-2023,La Liga,Barcelona,Elche,Home,3,0,Win,Alejandro Balde,Y,LB,90,0,2,0,0,0,0,0,2,2,0,0
2022-10-01,2022-2023,La Liga,Barcelona,Mallorca,Away,1,0,Win,Alejandro Balde,Y,RB,90,0,0,0,0,0,0,0,2,0,1,0
2022-10-09,2022-2023,La Liga,Barcelona,Celta Vigo,Home,1,0,Win,Alejandro Balde,Y,RB,76,0,0,1,0,0,0,0,0,0,1,0
2022-10-16,2022-2023,La Liga,Barcelona,Real Madrid,Away,1,3,Loss,Alejandro Balde,Y,LB,59,0,0,0,0,0,0,1,0,1,3,0
2022-10-23,2022-2023,La Liga,Barcelona,Athletic Club,Home,4,0,Win,Alejandro Balde,Y,LB,90,0,0,0,0,0,0,0,2,0,1,0
2022-10-29,2022-2023,La Liga,Barcelona,Valencia,Away,1,0,Win,Alejandro Balde,Y,RB,90,0,0,0,0,0,0,0,0,0,0,2
2022-11-05,2022-2023,La Liga,Barcelona,Almería,Home,2,0,Win,Alejandro Balde,Y,RB,90,0,0,3,2,0,0,1,0,3,1,0
2022-11-08,2022-2023,La Liga,Barcelona,Osasuna,Away,2,1,Win,Alejandro Balde,Y,RB,90,0,0,1,0,1,0,2,2,1,3,0
2022-12-31,2022-2023,La Liga,Barcelona,Espanyol,Home,1,1,Draw,Alejandro Balde,N,LB,9,0,0,0,0,0,0,0,0,4,0,0
2023-01-08,2022-2023,La Liga,Barcelona,Atlético Madrid,Away,1,0,Win,Alejandro Balde,Y,LB,80,0,0,0,0,0,0,1,0,0,4,1
2023-01-22,2022-2023,La Liga,Barcelona,Getafe,Home,1,0,Win,Alejandro Balde,Y,LB,45,0,0,0,0,0,0,2,0,1,1,0
2023-01-28,2022-2023,La Liga,Barcelona,Girona,Away,1,0,Win,Alejandro Balde,N,LB,10,0,0,0,0,0,0,2,0,0,1,0
2023-02-01,2022-2023,La Liga,Barcelona,Real Betis,Away,2,1,Win,Alejandro Balde,Y,LB,90,0,1,0,0,0,0,2,0,2,0,0
2023-02-05,2022-2023,La Liga,Barcelona,Sevilla,Home,3,0,Win,Alejandro Balde,N,LB,8,0,0,0,0,0,0,0,0,1,0,0
2023-02-12,2022-2023,La Liga,Barcelona,Villarreal,Away,1,0,Win,Alejandro Balde,Y,LB,90,0,0,0,0,0,0,2,1,1,0,1
2023-02-19,2022-2023,La Liga,Barcelona,Cádiz,Home,2,0,Win,Alejandro Balde,Y,LB,90,0,0,1,0,0,0,2,0,4,1,1
2023-03-05,2022-2023,La Liga,Barcelona,Valencia,Home,1,0,Win,Alejandro Balde,Y,LB,90,0,0,0,0,0,0,0,2,2,0,0
2023-03-12,2022-2023,La Liga,Barcelona,Athletic Club,Away,1,0,Win,Alejandro Balde,Y,LB,90,0,0,0,0,0,0,0,2,4,1,0
2023-03-19,2022-2023,La Liga,Barcelona,Real Madrid,Home,2,1,Win,Alejandro Balde,Y,LB,90,0,1,0,0,1,0,1,0,7,0,0
2023-04-10,2022-2023,La Liga,Barcelona,Girona,Home,0,0,Draw,Alejandro Balde,Y,LB,90,0,0,0,0,0,0,0,2,0,7,1
2023-04-16,2022-2023,La Liga,Barcelona,Getafe,Away,0,0,Draw,Alejandro Balde,Y,FW,90,0,0,4,1,0,0,1,0,3,5,2
2023-04-23,2022-2023,La Liga,Barcelona,Atlético Madrid,Home,1,0,Win,Alejandro Balde,Y,LB,90,0,0,1,0,0,0,0,2,4,0,0
2023-04-26,2022-2023,La Liga,Barcelona,Rayo Vallecano,Away,1,2,Loss,Alejandro Balde,Y,LB,90,0,0,1,0,1,0,2,2,1,0,0
