Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2021-12-28,2021-2022,Premier League,West Ham United,Watford,Away,4,1,W,Alex Král,N,N/A,1,0,0,0,0,0,0,0,0,0,0,0
2022-08-07,2022-23,Bundesliga,Schalke 04,Köln,Away,1,3,L,Alex Král,Y,DM,88,0,0,1,0,0,0,1,0,0,0,1
2022-08-13,2022-23,Bundesliga,Schalke 04,Gladbach,Home,2,2,D,Alex Král,Y,CM,84,0,0,0,0,1,0,0,0,0,0,0
2022-08-20,2022-23,Bundesliga,Schalke 04,Wolfsburg,Away,0,0,D,Alex Král,Y,CM,90,0,0,1,0,0,0,0,1,0,4,3
2022-08-27,2022-23,Bundesliga,Schalke 04,Union Berlin,Home,1,6,L,Alex Král,Y,DM,60,0,0,0,0,0,0,1,2,0,0,0
2022-09-17,2022-23,Bundesliga,Schalke 04,Dortmund,Away,0,1,L,Alex Král,N,DM,15,0,0,0,0,0,0,0,0,0,0,0
2022-10-08,2022-23,Bundesliga,Schalke 04,Leverkusen,Away,0,4,L,Alex Král,N,DM,27,0,0,0,0,0,0,0,0,0,2,1
2022-10-14,2022-23,Bundesliga,Schalke 04,Hoffenheim,Home,0,3,L,Alex Král,Y,CM,90,0,0,1,0,0,0,0,1,0,1,2
2022-10-23,2022-23,Bundesliga,Schalke 04,Hertha BSC,Away,1,2,L,Alex Král,Y,DM,90,0,0,0,0,0,0,2,1,0,1,1
2022-10-30,2022-23,Bundesliga,Schalke 04,Freiburg,Home,0,2,L,Alex Král,Y,DM,90,0,0,1,0,0,0,1,0,1,1,0
2022-11-05,2022-23,Bundesliga,Schalke 04,Werder Bremen,Away,1,2,L,Alex Král,Y,DM,90,0,0,2,1,0,0,1,0,0,2,0
2022-11-09,2022-23,Bundesliga,Schalke 04,Mainz 05,Home,1,0,W,Alex Král,Y,DM,90,0,0,1,0,0,0,3,1,0,1,2
2022-11-12,2022-23,Bundesliga,Schalke 04,Bayern Munich,Home,0,2,L,Alex Král,Y,DM,90,0,0,1,0,0,0,0,0,1,1,0
2023-01-29,2022-23,Bundesliga,Schalke 04,Köln,Home,0,0,D,Alex Král,N,DM,13,0,0,0,0,0,0,0,0,0,0,1
2023-02-04,2022-23,Bundesliga,Schalke 04,Gladbach,Away,0,0,D,Alex Král,Y,AM,90,0,0,1,0,0,0,0,0,0,2,3
2023-02-10,2022-23,Bundesliga,Schalke 04,Wolfsburg,Home,0,0,D,Alex Král,Y,DM,90,0,0,6,0,0,0,0,2,1,1,0
2023-02-19,2022-23,Bundesliga,Schalke 04,Union Berlin,Away,0,0,D,Alex Král,Y,DM,90,0,0,3,0,0,0,3,1,0,2,1
2023-02-25,2022-23,Bundesliga,Schalke 04,Stuttgart,Home,2,1,W,Alex Král,Y,DM,90,0,0,1,0,1,0,1,0,2,0,0
2023-03-04,2022-23,Bundesliga,Schalke 04,Bochum,Away,2,0,W,Alex Král,Y,CM,90,0,0,1,0,0,0,0,1,1,1,0
2023-03-11,2022-23,Bundesliga,Schalke 04,Dortmund,Home,2,2,D,Alex Král,Y,DM,90,0,0,1,0,0,0,0,0,0,1,0
2023-03-18,2022-23,Bundesliga,Schalke 04,Augsburg,Away,1,1,D,Alex Král,Y,CM,90,0,0,1,0,1,0,3,2,0,3,2
2023-04-01,2022-23,Bundesliga,Schalke 04,Leverkusen,Home,0,3,L,Alex Král,Y,DM,90,0,0,1,0,0,0,0,1,0,2,1
2023-04-09,2022-23,Bundesliga,Schalke 04,Hoffenheim,Away,0,2,L,Alex Král,Y,DM,90,0,0,1,1,0,0,1,0,0,2,0
2023-04-14,2022-23,Bundesliga,Schalke 04,Hertha BSC,Home,5,2,W,Alex Král,Y,DM,90,0,0,0,0,0,0,1,1,0,2,1
2023-04-23,2022-23,Bundesliga,Schalke 04,Freiburg,Away,0,4,L,Alex Král,Y,DM,90,0,0,2,0,0,0,0,0,1,3,0
2023-04-29,2022-23,Bundesliga,Schalke 04,Werder Bremen,Home,2,1,W,Alex Král,Y,DM,90,0,0,0,0,0,0,0,3,0,1,3
2023-05-05,2022-23,Bundesliga,Schalke 04,Mainz 05,Away,3,2,W,Alex Král,Y,DM,90,0,0,1,0,0,0,2,1,0,0,0
2023-05-13,2022-23,Bundesliga,Schalke 04,Bayern Munich,Away,0,6,L,Alex Král,Y,DM,90,0,0,2,0,0,0,0,1,0,1,1
2023-05-20,2022-23,Bundesliga,Schalke 04,Eintracht Frankfurt,Home,2,2,D,Alex Král,Y,DM,90,0,0,2,0,0,0,0,0,0,0,1
2023-05-27,2022-23,Bundesliga,Schalke 04,RB Leipzig,Away,2,4,L,Alex Král,Y,DM,90,0,0,1,0,0,0,1,0,0,2,0
2023-08-20,2023-24,Bundesliga,Union Berlin,Mainz 05,Home,4,1,W,Alex Král,Y,CM,90,0,0,0,0,0,0,2,1,0,1,0
2023-08-26,2023-24,Bundesliga,Union Berlin,Darmstadt 98,Away,4,1,W,Alex Král,Y,CM,90,0,0,0,0,0,0,2,2,0,2,0
2023-09-03,2023-24,Bundesliga,Union Berlin,RB Leipzig,Home,0,3,L,Alex Král,Y,DM,90,0,0,1,0,1,0,1,1,1,1,0
2023-09-16,2023-24,Bundesliga,Union Berlin,Wolfsburg,Away,1,2,L,Alex Král,Y,CM,90,0,0,2,1,0,0,0,1,0,2,1
2023-09-30,2023-24,Bundesliga,Union Berlin,Heidenheim,Away,0,1,L,Alex Král,Y,CM,90,0,0,1,1,1,0,3,1,0,0,0
2023-10-07,2023-24,Bundesliga,Union Berlin,Dortmund,Away,2,4,L,Alex Král,Y,CM,19,0,0,0,0,0,0,0,0,1,0,0
2023-10-21,2023-24,Bundesliga,Union Berlin,Stuttgart,Home,0,3,L,Alex Král,N,CM,45,0,0,1,0,0,0,0,0,1,0,0
2023-10-28,2023-24,Bundesliga,Union Berlin,Werder Bremen,Away,0,2,L,Alex Král,N,CM,26,0,0,1,0,0,0,0,0,0,1,0
2023-11-04,2023-24,Bundesliga,Union Berlin,Eintracht Frankfurt,Home,0,3,L,Alex Král,Y,CM,72,0,0,2,0,0,0,0,1,1,0,0
2023-11-12,2023-24,Bundesliga,Union Berlin,Leverkusen,Away,0,4,L,Alex Král,Y,DM,90,0,0,0,0,0,0,0,1,0,0,0
2023-12-16,2023-24,Bundesliga,Union Berlin,Bochum,Away,0,3,L,Alex Král,N,CM,31,0,0,0,0,0,0,0,0,1,1,0
2023-12-20,2023-24,Bundesliga,Union Berlin,Köln,Home,2,0,W,Alex Král,N,CM,29,0,0,1,1,0,0,1,0,0,0,0
2024-01-13,2023-24,Bundesliga,Union Berlin,Freiburg,Away,0,0,D,Alex Král,Y,CM,90,0,0,0,0,0,0,1,2,0,0,1
2024-01-24,2023-24,Bundesliga,Union Berlin,Bayern Munich,Away,0,1,L,Alex Král,Y,CM,77,0,0,0,0,0,0,0,0,1,0,1
2024-01-28,2023-24,Bundesliga,Union Berlin,Darmstadt 98,Home,1,0,W,Alex Král,Y,CM,90,0,0,3,1,0,0,2,0,4,1,2
2024-02-07,2023-24,Bundesliga,Union Berlin,Mainz 05,Away,1,1,D,Alex Král,N,CM,15,0,0,0,0,0,0,0,0,0,0,0
2024-02-10,2023-24,Bundesliga,Union Berlin,Wolfsburg,Home,1,0,W,Alex Král,Y,RM,80,0,0,0,0,0,0,2,1,3,2,1
2024-02-17,2023-24,Bundesliga,Union Berlin,Hoffenheim,Away,1,0,W,Alex Král,N,RM,85,0,0,0,0,0,0,0,1,0,1,1
2024-02-24,2023-24,Bundesliga,Union Berlin,Heidenheim,Home,2,2,D,Alex Král,N,RM,1,0,0,0,0,0,0,0,0,0,0,0
2024-03-08,2023-24,Bundesliga,Union Berlin,Stuttgart,Away,0,2,L,Alex Král,N,RM,25,0,0,0,0,0,0,0,0,0,0,1
2024-03-16,2023-24,Bundesliga,Union Berlin,Werder Bremen,Home,2,1,W,Alex Král,N,RM,6,0,0,0,0,0,0,1,0,0,0,0
2024-04-06,2023-24,Bundesliga,Union Berlin,Leverkusen,Home,0,1,L,Alex Král,N,RM,28,0,0,2,0,0,0,0,0,0,2,0
2024-04-12,2023-24,Bundesliga,Union Berlin,Augsburg,Away,0,2,L,Alex Král,Y,CM,90,0,0,4,1,0,0,1,2,4,0,1
2024-05-05,2023-24,Bundesliga,Union Berlin,Bochum,Home,3,4,L,Alex Král,N,CM,21,0,0,0,0,0,0,0,0,0,0,1
2024-08-19,2024-25,La Liga,Espanyol,Valladolid,Away,0,1,L,Alex Král,N,CM,34,0,0,1,0,0,0,1,0,0,2,0
