Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2018-02-10,2017-2018,Premier League,Crystal Palace,Everton,Away,1,3,L,Alexander Sørloth,Y,FW,90,0,0,2,1,0,0,3,2,0,4,2
2018-02-25,2017-2018,Premier League,Crystal Palace,Tottenham Hotspur,Home,0,1,L,Alexander Sørloth,Y,FW,90,0,0,1,1,0,0,1,0,0,0,1
2018-03-05,2017-2018,Premier League,Crystal Palace,Manchester Utd,Home,2,3,L,Alexander Sørloth,Y,FW,90,0,0,2,1,0,0,2,0,2,2,0
2018-03-10,2017-2018,Premier League,Crystal Palace,Chelsea,Away,1,2,L,Alexander Sørloth,Y,FW,90,0,0,2,0,0,0,0,1,1,1,0
2018-08-11,2018-2019,Premier League,Crystal Palace,Fulham,Away,2,0,W,Alexander Sørloth,N,FW,8,0,0,0,0,0,0,0,0,0,0,0
2018-08-20,2018-2019,Premier League,Crystal Palace,Liverpool,Home,0,2,L,Alexander Sørloth,N,FW,21,0,0,0,0,0,0,0,0,1,0,0
2018-08-26,2018-2019,Premier League,Crystal Palace,Watford,Away,1,2,L,Alexander Sørloth,N,FW,6,0,0,0,1,0,0,0,0,0,0,0
2018-09-01,2018-2019,Premier League,Crystal Palace,Southampton,Home,0,2,L,Alexander Sørloth,N,FW,15,0,0,0,0,0,0,1,0,0,0,0
2018-09-22,2018-2019,Premier League,Crystal Palace,Newcastle United,Home,0,0,D,Alexander Sørloth,N,FW,20,0,0,0,0,0,0,1,0,0,0,0
2018-10-01,2018-2019,Premier League,Crystal Palace,Bournemouth,Away,1,2,L,Alexander Sørloth,N,FW,9,0,0,0,1,0,0,1,0,0,0,0
2018-10-06,2018-2019,Premier League,Crystal Palace,Wolves,Home,0,1,L,Alexander Sørloth,N,FW,9,0,0,0,0,0,0,1,0,0,0,0
2018-10-28,2018-2019,Premier League,Crystal Palace,Arsenal,Home,2,2,D,Alexander Sørloth,N,FW,27,0,0,0,0,0,0,0,0,0,0,0
2018-11-10,2018-2019,Premier League,Crystal Palace,Tottenham Hotspur,Home,0,1,L,Alexander Sørloth,N,FW,21,0,0,0,1,1,0,0,1,0,0,0
2018-12-01,2018-2019,Premier League,Crystal Palace,Burnley,Home,2,0,W,Alexander Sørloth,N,FW,3,0,0,0,0,0,0,0,0,0,0,0
2018-12-04,2018-2019,Premier League,Crystal Palace,Brighton,Away,1,3,L,Alexander Sørloth,N,FW,33,0,0,0,1,0,0,0,0,0,1,0
2018-12-15,2018-2019,Premier League,Crystal Palace,Leicester City,Home,1,0,W,Alexander Sørloth,N,FW,13,0,0,0,0,0,0,0,1,0,0,0
2020-09-26,2020-2021,Bundesliga,RB Leipzig,Leverkusen,Away,1,1,D,Alexander Sørloth,N,FW,64,0,0,0,0,0,0,0,1,0,1,0
2020-10-03,2020-2021,Bundesliga,RB Leipzig,Schalke 04,Home,4,0,W,Alexander Sørloth,N,FW,19,0,0,0,0,1,0,2,0,0,0,0
2020-10-17,2020-2021,Bundesliga,RB Leipzig,Augsburg,Away,2,0,W,Alexander Sørloth,N,FW,1,0,0,0,0,0,0,0,0,0,0,0
2020-10-24,2020-2021,Bundesliga,RB Leipzig,Hertha BSC,Home,2,1,W,Alexander Sørloth,Y,FW,90,0,1,3,0,0,0,0,0,0,2,0
2020-10-31,2020-2021,Bundesliga,RB Leipzig,Gladbach,Away,0,1,L,Alexander Sørloth,Y,FW,90,0,0,5,1,0,0,3,1,1,0,0
2020-11-07,2020-2021,Bundesliga,RB Leipzig,Freiburg,Home,3,0,W,Alexander Sørloth,N,FW,28,0,0,1,1,0,0,2,1,0,0,1
2020-11-21,2020-2021,Bundesliga,RB Leipzig,Eintracht Frankfurt,Away,1,1,D,Alexander Sørloth,Y,FW,45,0,0,2,0,0,0,0,0,1,1,0
2020-11-28,2020-2021,Bundesliga,RB Leipzig,Arminia,Home,2,1,W,Alexander Sørloth,Y,FW,90,0,0,3,1,0,0,1,1,2,1,0
2020-12-05,2020-2021,Bundesliga,RB Leipzig,Bayern Munich,Away,3,3,D,Alexander Sørloth,N,FW,14,0,0,0,0,0,0,0,0,0,0,0
