Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2020-09-12,2020-2021,La Liga,Cádiz,Osasuna,Home,0,2,L,Alfonso Espino,Y,LB,90,0,0,0,0,0,0,0,0,1,1,2
2020-09-20,2020-2021,La Liga,Cádiz,Huesca,Away,2,0,W,Alfonso Espino,Y,LB,90,0,0,1,0,1,0,3,0,1,2,3
2020-09-27,2020-2021,La Liga,Cádiz,Sevilla,Home,1,3,L,Alfonso Espino,Y,LB,90,0,0,1,0,0,0,1,0,3,1,3
2020-10-01,2020-2021,La Liga,Cádiz,Athletic Club,Away,1,0,W,Alfonso Espino,Y,LB,90,0,0,0,0,0,0,0,0,1,0,1
2020-10-04,2020-2021,La Liga,Cádiz,Granada,Home,1,1,D,Alfonso Espino,Y,LB,90,0,0,0,0,1,0,2,0,1,1,2
2020-10-17,2020-2021,La Liga,Cádiz,Real Madrid,Away,1,0,W,Alfonso Espino,Y,LB,90,0,0,0,0,0,0,1,0,3,1,1
2020-10-25,2020-2021,La Liga,Cádiz,Villarreal,Home,0,0,D,Alfonso Espino,Y,LB,90,0,0,0,0,0,0,0,0,3,2,0
2020-10-30,2020-2021,La Liga,Cádiz,Eibar,Away,2,0,W,Alfonso Espino,Y,LB,90,0,1,0,0,0,0,2,1,2,3,1
2020-11-07,2020-2021,La Liga,Cádiz,Atlético Madrid,Away,0,4,L,Alfonso Espino,Y,LB,45,0,0,0,0,0,0,0,0,0,1,2
2020-11-22,2020-2021,La Liga,Cádiz,Real Sociedad,Home,0,1,L,Alfonso Espino,Y,LB,90,0,0,0,0,0,0,0,0,2,5,1
2020-11-28,2020-2021,La Liga,Cádiz,Elche,Away,1,1,D,Alfonso Espino,Y,LB,90,0,0,0,0,0,0,1,0,4,2,1
2020-12-05,2020-2021,La Liga,Cádiz,Barcelona,Home,2,1,W,Alfonso Espino,Y,LB,90,0,0,0,0,0,0,0,0,1,3,3
2020-12-14,2020-2021,La Liga,Cádiz,Celta Vigo,Away,0,4,L,Alfonso Espino,Y,LB,45,0,0,0,0,0,0,1,0,2,1,2
2020-12-20,2020-2021,La Liga,Cádiz,Getafe,Home,0,2,L,Alfonso Espino,Y,LB,65,0,0,0,0,1,0,1,0,2,2,0
2020-12-23,2020-2021,La Liga,Cádiz,Real Betis,Away,0,1,L,Alfonso Espino,Y,LB,90,0,0,0,0,0,0,2,0,2,0,1
2020-12-29,2020-2021,La Liga,Cádiz,Valladolid,Home,0,0,D,Alfonso Espino,Y,LB,90,0,0,1,1,0,0,1,0,6,1,1
2021-01-04,2020-2021,La Liga,Cádiz,Valencia,Away,1,1,D,Alfonso Espino,Y,LB,90,0,0,0,0,0,0,1,0,2,1,0
2021-01-10,2020-2021,La Liga,Cádiz,Alavés,Home,3,1,W,Alfonso Espino,Y,LB,90,0,1,1,1,0,0,2,0,5,0,1
2021-02-07,2020-2021,La Liga,Cádiz,Real Sociedad,Away,1,4,L,Alfonso Espino,N,,31,0,0,0,0,0,0,0,0,1,2,2
2021-02-15,2020-2021,La Liga,Cádiz,Athletic Club,Home,0,4,L,Alfonso Espino,Y,LB,90,0,0,1,1,0,0,1,1,4,2,2
2021-02-21,2020-2021,La Liga,Cádiz,Barcelona,Away,1,1,D,Alfonso Espino,Y,LB,90,0,0,0,0,0,0,3,0,2,2,1
2021-02-28,2020-2021,La Liga,Cádiz,Real Betis,Home,0,1,L,Alfonso Espino,Y,LB,90,0,0,0,0,1,0,3,0,2,1,2
2021-03-06,2020-2021,La Liga,Cádiz,Eibar,Home,1,0,W,Alfonso Espino,Y,LB,90,0,1,0,0,0,0,0,0,2,1,0
2021-03-13,2020-2021,La Liga,Cádiz,Alavés,Away,1,1,D,Alfonso Espino,Y,LB,90,0,0,0,0,0,0,2,0,4,1,1
2021-03-21,2020-2021,La Liga,Cádiz,Villarreal,Away,1,2,L,Alfonso Espino,Y,LB,74,0,0,0,0,0,0,0,1,3,1,4
2021-04-04,2020-2021,La Liga,Cádiz,Valencia,Home,2,1,W,Alfonso Espino,Y,LB,90,0,0,0,0,0,0,2,0,3,1,1
2021-04-10,2020-2021,La Liga,Cádiz,Getafe,Away,1,0,W,Alfonso Espino,Y,LB,90,0,0,1,1,0,0,0,0,3,3,1
2021-04-18,2020-2021,La Liga,Cádiz,Celta Vigo,Home,0,0,D,Alfonso Espino,Y,LB,90,0,0,1,0,0,0,0,0,3,2,1
2021-04-21,2020-2021,La Liga,Cádiz,Real Madrid,Home,0,3,L,Alfonso Espino,Y,LB,64,0,0,0,0,0,0,1,0,3,0,0
2021-04-24,2020-2021,La Liga,Cádiz,Valladolid,Away,1,1,D,Alfonso Espino,Y,LB,57,0,0,1,0,1,0,1,0,4,0,0
2021-05-11,2020-2021,La Liga,Cádiz,Osasuna,Away,2,3,L,Alfonso Espino,Y,LB,90,0,0,0,0,1,0,1,0,4,2,2
2021-05-16,2020-2021,La Liga,Cádiz,Elche,Home,1,3,L,Alfonso Espino,Y,LB,60,0,0,0,0,0,0,0,0,0,1,0
2021-08-14,2021-2022,La Liga,Cádiz,Levante,Home,1,1,D,Alfonso Espino,Y,LB,90,1,0,1,1,1,0,2,0,3,1,3
2021-08-20,2021-2022,La Liga,Cádiz,Real Betis,Away,1,1,D,Alfonso Espino,Y,LB,90,0,0,1,0,0,0,1,0,6,1,2
2021-08-29,2021-2022,La Liga,Cádiz,Osasuna,Home,2,3,L,Alfonso Espino,Y,LB,90,0,0,0,0,0,0,2,0,6,1,4
2021-09-12,2021-2022,La Liga,Cádiz,Real Sociedad,Home,0,2,L,Alfonso Espino,Y,LB,90,0,0,0,0,1,0,2,0,2,4,4
2021-09-17,2021-2022,La Liga,Cádiz,Celta Vigo,Away,2,1,W,Alfonso Espino,Y,LB,90,1,0,1,1,0,0,2,0,0,3,1
2021-09-23,2021-2022,La Liga,Cádiz,Barcelona,Home,0,0,D,Alfonso Espino,Y,LB,90,0,0,0,0,0,0,0,0,3,3,2
2021-09-26,2021-2022,La Liga,Cádiz,Rayo Vallecano,Away,1,3,L,Alfonso Espino,Y,LB,90,0,0,1,0,0,0,2,0,4,2,0
2021-10-02,2021-2022,La Liga,Cádiz,Valencia,Home,0,0,D,Alfonso Espino,Y,LB,90,0,0,1,1,0,0,1,0,3,3,2
2021-10-18,2021-2022,La Liga,Cádiz,Espanyol,Away,0,2,L,Alfonso Espino,Y,LB,90,0,0,1,0,0,0,1,0,3,0,4
2021-10-23,2021-2022,La Liga,Cádiz,Alavés,Home,0,2,L,Alfonso Espino,Y,LB,90,0,0,0,0,0,0,2,0,11,1,1
2021-10-26,2021-2022,La Liga,Cádiz,Villarreal,Away,3,3,D,Alfonso Espino,Y,LB,90,0,0,1,0,1,0,1,0,4,1,3
2021-10-31,2021-2022,La Liga,Cádiz,Mallorca,Home,1,1,D,Alfonso Espino,Y,LB,90,0,0,0,0,0,0,0,0,4,3,0
2021-11-05,2021-2022,La Liga,Cádiz,Athletic Club,Away,1,0,W,Alfonso Espino,Y,LB,90,0,0,0,0,0,0,0,0,6,3,2
2021-11-21,2021-2022,La Liga,Cádiz,Getafe,Away,0,4,L,Alfonso Espino,Y,LB,90,0,0,0,0,0,0,0,0,7,0,1
