Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2016-08-21,2016-2017,Serie A,Sampdoria,Empoli,Away,1,0,Win,Ante Budimir,No,FW,16,0,0,0,0,0,0,3,0,0,1,0
2016-08-28,2016-2017,Serie A,Sampdoria,Atalanta,Home,2,1,Win,Ante Budimir,No,FW,17,0,0,0,0,0,0,1,1,0,1,0
2016-09-11,2016-2017,Serie A,Sampdoria,Roma,Away,2,3,Loss,Ante Budimir,No,FW,29,0,0,0,0,0,0,1,0,0,0,0
2016-09-26,2016-2017,Serie A,Sampdoria,Cagliari,Away,1,2,Loss,Ante Budimir,No,FW,17,0,0,0,0,0,0,0,0,0,0,0
2016-10-15,2016-2017,Serie A,Sampdoria,Pescara,Away,1,1,Draw,Ante Budimir,Yes,FW,90,0,0,6,4,0,0,1,0,0,1,0
2016-10-26,2016-2017,Serie A,Sampdoria,Juventus,Away,1,4,Loss,Ante Budimir,Yes,FW,60,0,0,1,1,0,0,4,0,0,0,0
2016-10-30,2016-2017,Serie A,Sampdoria,Inter,Home,1,0,Win,Ante Budimir,No,FW,13,0,0,1,1,0,0,1,0,0,1,0
2016-11-06,2016-2017,Serie A,Sampdoria,Fiorentina,Away,1,1,Draw,Ante Budimir,No,FW,8,0,0,1,0,0,0,1,0,0,0,0
2017-01-22,2016-2017,Serie A,Sampdoria,Atalanta,Away,0,1,Loss,Ante Budimir,No,FW,8,0,0,0,0,0,0,2,0,0,0,0
2017-04-29,2016-2017,Serie A,Sampdoria,Torino,Away,1,1,Draw,Ante Budimir,No,FW,44,0,0,1,0,0,0,2,0,1,0,0
2017-05-21,2016-2017,Serie A,Sampdoria,Udinese,Away,1,1,Draw,Ante Budimir,No,FW,9,0,0,0,0,0,0,1,2,1,0,0
2017-08-20,2017-2018,Serie A,Crotone,Milan,Home,0,3,Loss,Ante Budimir,Yes,FW,90,0,0,3,1,0,0,1,2,0,1,1
2017-08-27,2017-2018,Serie A,Crotone,Hellas Verona,Home,0,0,Draw,Ante Budimir,Yes,FW,90,0,0,3,1,0,0,4,2,0,0,1
2017-09-10,2017-2018,Serie A,Crotone,Cagliari,Away,0,1,Loss,Ante Budimir,Yes,FW,90,0,0,2,1,0,0,3,1,1,4,0
2017-09-16,2017-2018,Serie A,Crotone,Inter,Home,0,2,Loss,Ante Budimir,Yes,FW,90,0,0,2,1,0,0,4,2,1,1,0
2017-09-20,2017-2018,Serie A,Crotone,Atalanta,Away,1,5,Loss,Ante Budimir,No,FW,20,0,0,0,0,0,0,0,0,0,0,0
2017-10-15,2017-2018,Serie A,Crotone,Torino,Home,2,2,Draw,Ante Budimir,No,FW,1,0,0,0,0,0,0,0,0,0,0,0
2017-10-21,2017-2018,Serie A,Crotone,Sampdoria,Away,0,5,Loss,Ante Budimir,Yes,FW,90,0,0,3,1,1,0,2,2,0,2,2
2017-10-25,2017-2018,Serie A,Crotone,Roma,Away,0,1,Loss,Ante Budimir,Yes,FW,90,0,0,0,0,1,0,2,5,0,1,0
2017-10-29,2017-2018,Serie A,Crotone,Fiorentina,Home,2,1,Win,Ante Budimir,Yes,FW,78,1,0,2,1,1,0,4,0,0,1,0
2017-11-04,2017-2018,Serie A,Crotone,Bologna,Away,3,2,Win,Ante Budimir,Yes,FW,89,2,0,4,3,1,0,1,0,0,0,0
2017-11-19,2017-2018,Serie A,Crotone,Genoa,Home,0,1,Loss,Ante Budimir,Yes,FW,90,0,0,0,0,0,0,3,0,0,1,0
2017-11-26,2017-2018,Serie A,Crotone,Juventus,Home,0,3,Loss,Ante Budimir,Yes,FW,90,0,0,1,1,1,0,2,1,0,3,1
2017-12-10,2017-2018,Serie A,Crotone,Sassuolo,Away,1,2,Loss,Ante Budimir,Yes,FW,90,0,0,1,1,0,0,2,0,0,0,0
