Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2010-08-29,2010-2011,La Liga,Real Sociedad,Villarreal,Home,1,0,W,Antoine Griezmann,N,,30,0,0,,,0,0,,,,,
2010-09-13,2010-2011,La Liga,Real Sociedad,Almería,Away,2,2,D,Antoine Griezmann,N,,27,0,0,,,0,0,,,,,
2010-09-18,2010-2011,La Liga,Real Sociedad,Real Madrid,Home,1,2,L,Antoine Griezmann,Y,,90,0,0,,,0,0,,,,,
2010-09-21,2010-2011,La Liga,Real Sociedad,Osasuna,Away,1,3,L,Antoine Griezmann,N,,30,0,0,,,0,0,,,,,
2010-09-26,2010-2011,La Liga,Real Sociedad,Mallorca,Away,0,2,L,Antoine Griezmann,Y,,76,0,0,,,1,0,,,,,
2010-10-02,2010-2011,La Liga,Real Sociedad,Espanyol,Home,1,0,W,Antoine Griezmann,Y,,78,0,0,,,1,0,,,,,
2010-10-17,2010-2011,La Liga,Real Sociedad,Levante,Away,2,1,W,Antoine Griezmann,Y,,63,0,0,,,1,0,,,,,
2010-10-25,2010-2011,La Liga,Real Sociedad,Dep La Coruña,Home,3,0,W,Antoine Griezmann,Y,,80,1,0,,,1,0,,,,,
2010-10-31,2010-2011,La Liga,Real Sociedad,Málaga,Away,2,1,W,Antoine Griezmann,Y,,90,1,0,,,0,0,,,,,
2010-11-06,2010-2011,La Liga,Real Sociedad,Racing Sant,Home,1,0,W,Antoine Griezmann,Y,,77,0,0,,,0,0,,,,,
2010-11-14,2010-2011,La Liga,Real Sociedad,Hércules,Away,1,2,L,Antoine Griezmann,Y,,72,1,0,,,0,0,,,,,
2010-11-21,2010-2011,La Liga,Real Sociedad,Atlético Madrid,Home,2,4,L,Antoine Griezmann,Y,,62,0,0,,,0,0,,,,,
2010-11-28,2010-2011,La Liga,Real Sociedad,Sporting Gijón,Away,3,1,W,Antoine Griezmann,Y,,88,0,0,,,0,0,,,,,
2010-12-05,2010-2011,La Liga,Real Sociedad,Athletic Club,Home,2,0,W,Antoine Griezmann,Y,,90,0,0,,,0,0,,,,,
2010-12-12,2010-2011,La Liga,Real Sociedad,Barcelona,Away,0,5,L,Antoine Griezmann,Y,,90,0,0,,,0,0,,,,,
2010-12-18,2010-2011,La Liga,Real Sociedad,Valencia,Home,1,2,L,Antoine Griezmann,Y,,90,0,0,,,0,0,,,,,
2011-01-03,2010-2011,La Liga,Real Sociedad,Zaragoza,Away,1,2,L,Antoine Griezmann,Y,,90,0,0,,,1,0,,,,,
2011-01-15,2010-2011,La Liga,Real Sociedad,Getafe,Away,4,0,W,Antoine Griezmann,Y,,66,1,0,,,0,0,,,,,
