Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2021-04-18,2020-2021,La Liga,Real Madrid,Getafe,Away,0,0,D,Antonio Blanco,N,,26,0,0,0,0,0,0,0,2,0,1,1
2021-04-21,2020-2021,La Liga,Real Madrid,Cádiz,Away,3,0,W,Antonio Blanco,Y,CM,90,0,0,0,1,0,0,0,4,0,0,3
2021-04-24,2020-2021,La Liga,Real Madrid,Real Betis,Home,0,0,D,Antonio Blanco,N,,14,0,0,0,0,0,0,0,0,0,0,0
2021-05-01,2020-2021,La Liga,Real Madrid,Osasuna,Home,2,0,W,Antonio Blanco,Y,DM,90,0,0,0,1,0,0,0,2,2,1,2
2021-09-22,2021-2022,La Liga,Real Madrid,Mallorca,Home,6,1,W,Antonio Blanco,N,,31,0,0,0,0,0,0,1,0,0,0,1
2022-08-29,2022-2023,La Liga,Cádiz,Athletic Club,Home,0,4,L,Antonio Blanco,Y,CM,60,0,0,0,0,0,0,1,0,0,1,0
2022-09-02,2022-2023,La Liga,Cádiz,Celta Vigo,Away,0,3,L,Antonio Blanco,Y,AM,73,0,0,0,0,0,0,1,1,0,2,1
2022-10-22,2022-2023,La Liga,Cádiz,Rayo Vallecano,Away,1,5,L,Antonio Blanco,N,,25,0,0,0,0,0,0,0,0,0,1,0
2023-08-14,2023-2024,La Liga,Alavés,Cádiz,Away,0,1,L,Antonio Blanco,Y,CM,63,0,0,1,0,0,0,0,2,0,1,2
2023-08-21,2023-2024,La Liga,Alavés,Sevilla,Home,4,3,W,Antonio Blanco,N,,12,0,0,0,0,0,0,0,0,1,0,0
2023-08-28,2023-2024,La Liga,Alavés,Getafe,Away,0,1,L,Antonio Blanco,N,,1,0,0,2,0,0,0,0,0,1,0,0
2023-09-02,2023-2024,La Liga,Alavés,Valencia,Home,1,0,W,Antonio Blanco,Y,DM,87,0,0,0,0,0,0,2,2,0,2,0
2023-09-15,2023-2024,La Liga,Alavés,Rayo Vallecano,Away,0,2,L,Antonio Blanco,Y,DM,90,0,0,0,0,0,0,2,4,1,5,0
2023-09-28,2023-2024,La Liga,Alavés,Celta Vigo,Away,1,1,D,Antonio Blanco,N,,28,0,0,2,0,0,0,1,0,2,0,0
2023-10-01,2023-2024,La Liga,Alavés,Osasuna,Home,0,2,L,Antonio Blanco,Y,DM,48,0,0,0,0,0,0,1,0,0,0,1
2023-10-22,2023-2024,La Liga,Alavés,Villarreal,Away,1,1,D,Antonio Blanco,Y,DM,90,0,0,1,0,0,0,0,1,0,5,2
