Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2018-04-29,2017-18,La Liga,Alavés,Atlético Madrid,Home,0,1,L,Antonio Sivera,Y,GK,62,0,0,0,0,0,0,0,0,0,0,0
2018-11-04,2018-19,La Liga,Alavés,Eibar,Away,1,2,L,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-11-11,2018-19,La Liga,Alavés,Huesca,Home,2,1,W,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2019-05-18,2018-19,La Liga,Alavés,Girona,Home,2,1,W,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2019-08-31,2019-20,La Liga,Alavés,Getafe,Away,1,1,D,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2019-09-29,2019-20,La Liga,Alavés,Mallorca,Home,2,0,W,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2019-10-05,2019-20,La Liga,Alavés,Valencia,Away,1,2,L,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2021-05-23,2020-21,La Liga,Alavés,Sevilla,Away,0,1,L,Antonio Sivera,Y,GK,71,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,2021-22,La Liga,Alavés,Osasuna,Home,0,2,L,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2021-10-26,2021-22,La Liga,Alavés,Elche,Home,1,0,W,Antonio Sivera,N,GK,7,0,0,0,0,0,0,0,0,0,0,0
2021-10-30,2021-22,La Liga,Alavés,Barcelona,Away,1,1,D,Antonio Sivera,Y,GK,90,0,0,0,0,1,0,0,0,0,0,0
2022-05-22,2021-22,La Liga,Alavés,Cádiz,Home,0,1,L,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-08-14,2023-24,La Liga,Alavés,Cádiz,Away,0,1,L,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-08-21,2023-24,La Liga,Alavés,Sevilla,Home,4,3,W,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-08-28,2023-24,La Liga,Alavés,Getafe,Away,0,1,L,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-09-02,2023-24,La Liga,Alavés,Valencia,Home,1,0,W,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-09-15,2023-24,La Liga,Alavés,Rayo Vallecano,Away,0,2,L,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-09-22,2023-24,La Liga,Alavés,Athletic Club,Home,0,2,L,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-09-28,2023-24,La Liga,Alavés,Celta Vigo,Away,1,1,D,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-10-01,2023-24,La Liga,Alavés,Osasuna,Home,0,2,L,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-10-08,2023-24,La Liga,Alavés,Real Betis,Home,1,1,D,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-10-22,2023-24,La Liga,Alavés,Villarreal,Away,1,1,D,Antonio Sivera,Y,GK,90,0,0,0,0,1,0,0,0,0,0,0
2023-10-29,2023-24,La Liga,Alavés,Atlético Madrid,Away,1,2,L,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-11-05,2023-24,La Liga,Alavés,Almería,Home,1,0,W,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-11-12,2023-24,La Liga,Alavés,Barcelona,Away,1,2,L,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-11-24,2023-24,La Liga,Alavés,Granada,Home,3,1,W,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-12-03,2023-24,La Liga,Alavés,Mallorca,Away,0,0,D,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-12-09,2023-24,La Liga,Alavés,Las Palmas,Home,0,1,L,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-12-18,2023-24,La Liga,Alavés,Girona,Home,0,3,L,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-12-21,2023-24,La Liga,Alavés,Real Madrid,Home,0,1,L,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-01-02,2023-24,La Liga,Alavés,Real Sociedad,Away,1,1,D,Antonio Sivera,Y,GK,90,0,0,0,0,1,0,0,0,0,0,0
2024-01-12,2023-24,La Liga,Alavés,Sevilla,Away,3,2,W,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-01-19,2023-24,La Liga,Alavés,Cádiz,Home,1,0,W,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-01-26,2023-24,La Liga,Alavés,Almería,Away,3,0,W,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-02-03,2023-24,La Liga,Alavés,Barcelona,Home,1,3,L,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-02-10,2023-24,La Liga,Alavés,Villarreal,Home,1,1,D,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-02-18,2023-24,La Liga,Alavés,Real Betis,Away,0,0,D,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-02-24,2023-24,La Liga,Alavés,Mallorca,Home,1,1,D,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-03-04,2023-24,La Liga,Alavés,Osasuna,Away,0,1,L,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-03-10,2023-24,La Liga,Alavés,Rayo Vallecano,Home,1,0,W,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-03-16,2023-24,La Liga,Alavés,Athletic Club,Away,0,2,L,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-03-31,2023-24,La Liga,Alavés,Real Sociedad,Home,0,1,L,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-04-14,2023-24,La Liga,Alavés,Granada,Away,0,2,L,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-04-21,2023-24,La Liga,Alavés,Atlético Madrid,Home,2,0,W,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-04-27,2023-24,La Liga,Alavés,Celta Vigo,Home,3,0,W,Antonio Sivera,Y,GK,90,0,0,0,0,1,0,0,0,0,0,0
2024-05-05,2023-24,La Liga,Alavés,Valencia,Away,1,0,W,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-08-16,2024-25,La Liga,Alavés,Celta Vigo,Away,1,2,L,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-08-25,2024-25,La Liga,Alavés,Real Betis,Home,0,0,D,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-08-28,2024-25,La Liga,Alavés,Real Sociedad,Away,2,1,W,Antonio Sivera,Y,GK,90,0,0,0,0,1,0,0,0,0,0,0
2024-09-01,2024-25,La Liga,Alavés,Las Palmas,Home,2,0,W,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-09-14,2024-25,La Liga,Alavés,Espanyol,Away,2,3,L,Antonio Sivera,Y,GK,90,0,0,0,0,1,0,1,0,0,0,0
2024-09-20,2024-25,La Liga,Alavés,Sevilla,Home,2,1,W,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-09-24,2024-25,La Liga,Alavés,Real Madrid,Away,2,3,L,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-09-28,2024-25,La Liga,Alavés,Getafe,Away,0,2,L,Antonio Sivera,Y,GK,90,0,0,0,0,1,0,0,0,0,0,0
2024-10-06,2024-25,La Liga,Alavés,Barcelona,Home,0,3,L,Antonio Sivera,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
