Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2021-09-22,2021-2022,La Liga,Mallorca,Real Madrid,Away,1,6,L,Antonio Sánchez,N,,32,0,0,1,1,0,0,0,0,1,0,0
2021-10-23,2021-2022,La Liga,Mallorca,Valencia,Away,2,2,D,Antonio Sánchez,Y,AM,84,0,0,1,0,0,1,1,0,1,2,1
2021-10-27,2021-2022,La Liga,Mallorca,Sevilla,Home,1,1,D,Antonio Sánchez,Y,RM,71,1,0,2,1,1,0,1,0,0,1,1
2021-10-31,2021-2022,La Liga,Mallorca,Cádiz,Away,1,1,D,Antonio Sánchez,N,,28,0,0,2,0,0,0,2,0,0,1,0
2021-11-07,2021-2022,La Liga,Mallorca,Elche,Home,2,2,D,Antonio Sánchez,Y,AM,63,0,0,0,0,0,0,0,2,1,1,2
2021-11-22,2021-2022,La Liga,Mallorca,Rayo Vallecano,Away,1,3,L,Antonio Sánchez,Y,AM,69,0,0,1,1,0,0,1,0,1,1,0
2021-12-04,2021-2022,La Liga,Mallorca,Atlético Madrid,Away,2,1,W,Antonio Sánchez,Y,AM,73,0,0,1,0,0,0,0,0,0,1,1
2021-12-10,2021-2022,La Liga,Mallorca,Celta Vigo,Home,0,0,D,Antonio Sánchez,Y,LM,68,0,0,0,0,0,0,3,0,1,0,3
2021-12-19,2021-2022,La Liga,Mallorca,Granada,Away,1,4,L,Antonio Sánchez,N,,31,0,0,0,0,0,0,1,0,2,1,0
2022-01-02,2021-2022,La Liga,Mallorca,Barcelona,Home,0,1,L,Antonio Sánchez,Y,AM,69,0,0,0,0,0,0,2,0,1,2,0
2022-01-08,2021-2022,La Liga,Mallorca,Levante,Away,0,2,L,Antonio Sánchez,Y,AM,56,0,0,0,0,0,0,1,0,1,0,0
2022-01-22,2021-2022,La Liga,Mallorca,Villarreal,Away,0,3,L,Antonio Sánchez,N,,34,0,0,1,0,0,0,2,0,1,0,1
2022-02-05,2021-2022,La Liga,Mallorca,Cádiz,Home,2,1,W,Antonio Sánchez,N,,9,0,0,0,0,0,0,1,0,0,0,0
2022-02-14,2021-2022,La Liga,Mallorca,Athletic Club,Home,3,2,W,Antonio Sánchez,N,,29,0,0,1,0,0,0,0,0,0,0,0
2022-02-20,2021-2022,La Liga,Mallorca,Real Betis,Away,1,2,L,Antonio Sánchez,N,,46,0,0,1,0,0,0,1,0,0,0,1
2022-02-26,2021-2022,La Liga,Mallorca,Valencia,Home,0,1,L,Antonio Sánchez,Y,DM,70,0,0,1,0,0,0,3,0,1,2,3
2022-03-02,2021-2022,La Liga,Mallorca,Real Sociedad,Home,0,2,L,Antonio Sánchez,Y,DM,79,0,0,0,0,0,0,3,0,0,2,4
2022-03-06,2021-2022,La Liga,Mallorca,Celta Vigo,Away,3,4,L,Antonio Sánchez,Y,CM,78,0,0,1,0,0,0,3,0,0,3,2
2022-03-14,2021-2022,La Liga,Mallorca,Real Madrid,Home,0,3,L,Antonio Sánchez,Y,CM,67,0,0,0,0,0,0,1,0,0,0,1
2022-03-20,2021-2022,La Liga,Mallorca,Espanyol,Away,0,1,L,Antonio Sánchez,Y,CM,59,0,0,0,0,0,0,2,0,1,1,1
2022-04-02,2021-2022,La Liga,Mallorca,Getafe,Away,0,1,L,Antonio Sánchez,N,,5,0,0,0,0,0,0,0,0,0,1,0
2022-04-09,2021-2022,La Liga,Mallorca,Atlético Madrid,Home,1,0,W,Antonio Sánchez,Y,CM,85,0,0,0,0,0,0,1,0,2,1,2
2022-04-16,2021-2022,La Liga,Mallorca,Elche,Away,0,3,L,Antonio Sánchez,Y,CM,90,0,0,0,0,1,0,3,0,0,0,0
2022-04-19,2021-2022,La Liga,Mallorca,Alavés,Home,2,1,W,Antonio Sánchez,N,,9,0,0,0,0,0,0,1,0,0,1,0
2022-05-01,2021-2022,La Liga,Mallorca,Barcelona,Away,1,2,L,Antonio Sánchez,Y,DM,69,0,0,1,1,0,0,3,1,1,1,2
2022-05-07,2021-2022,La Liga,Mallorca,Granada,Home,2,6,L,Antonio Sánchez,N,,23,0,0,0,0,0,0,0,0,0,0,1
2022-05-11,2021-2022,La Liga,Mallorca,Sevilla,Away,0,0,D,Antonio Sánchez,Y,CM,86,0,0,2,0,1,0,1,0,0,1,1
2022-05-15,2021-2022,La Liga,Mallorca,Rayo Vallecano,Home,2,1,W,Antonio Sánchez,Y,CM,63,0,0,0,0,0,0,0,0,0,1,1
2022-05-22,2021-2022,La Liga,Mallorca,Osasuna,Away,2,0,W,Antonio Sánchez,Y,RM,71,0,0,2,0,0,0,3,0,2,2,1
2022-08-15,2022-2023,La Liga,Mallorca,Athletic Club,Away,0,0,D,Antonio Sánchez,N,,26,0,0,0,0,1,0,2,0,0,1,0
2022-08-20,2022-2023,La Liga,Mallorca,Real Betis,Home,1,2,L,Antonio Sánchez,N,,27,0,0,1,1,0,0,1,0,0,0,2
2022-08-27,2022-2023,La Liga,Mallorca,Rayo Vallecano,Away,2,0,W,Antonio Sánchez,N,,24,0,0,0,0,1,0,1,0,0,0,2
2022-09-03,2022-2023,La Liga,Mallorca,Girona,Home,1,1,D,Antonio Sánchez,Y,CM,59,0,0,1,0,1,0,2,0,1,0,2
2022-09-11,2022-2023,La Liga,Mallorca,Real Madrid,Away,1,4,L,Antonio Sánchez,N,,32,0,0,2,0,1,0,0,0,1,0,0
2022-09-17,2022-2023,La Liga,Mallorca,Almería,Home,1,0,W,Antonio Sánchez,Y,CM,58,0,0,1,1,0,0,1,0,1,0,0
2022-10-01,2022-2023,La Liga,Mallorca,Barcelona,Home,0,1,L,Antonio Sánchez,Y,RM,66,0,0,1,1,0,0,1,0,3,0,0
2022-10-10,2022-2023,La Liga,Mallorca,Elche,Away,1,1,D,Antonio Sánchez,Y,AM,60,0,0,0,0,0,0,1,0,3,0,0
2022-10-15,2022-2023,La Liga,Mallorca,Sevilla,Home,0,1,L,Antonio Sánchez,Y,RM,66,0,0,0,0,0,0,1,0,2,1,0
2022-10-19,2022-2023,La Liga,Mallorca,Real Sociedad,Away,0,1,L,Antonio Sánchez,N,,14,0,0,1,0,0,0,1,0,0,0,0
2022-10-22,2022-2023,La Liga,Mallorca,Valencia,Away,2,1,W,Antonio Sánchez,Y,RM,54,0,0,0,0,0,0,3,0,2,0,0
2022-10-28,2022-2023,La Liga,Mallorca,Espanyol,Home,1,1,D,Antonio Sánchez,N,,4,0,0,0,0,0,0,0,0,1,0,1
2022-11-06,2022-2023,La Liga,Mallorca,Villarreal,Away,2,0,W,Antonio Sánchez,N,,19,0,0,0,0,0,0,0,0,0,0,1
2022-11-09,2022-2023,La Liga,Mallorca,Atlético Madrid,Home,1,0,W,Antonio Sánchez,Y,RM,71,0,0,2,1,0,0,0,0,0,1,0
2022-12-30,2022-2023,La Liga,Mallorca,Getafe,Away,0,2,L,Antonio Sánchez,N,,22,0,0,0,0,0,0,0,0,1,1,0
2023-01-14,2022-2023,La Liga,Mallorca,Osasuna,Away,0,1,L,Antonio Sánchez,N,,7,0,0,0,0,0,0,1,0,0,0,0
2023-01-28,2022-2023,La Liga,Mallorca,Cádiz,Away,0,2,L,Antonio Sánchez,N,,17,0,0,0,0,0,0,0,0,0,1,0
2023-02-05,2022-2023,La Liga,Mallorca,Real Madrid,Home,1,0,W,Antonio Sánchez,N,,13,0,0,1,1,0,0,0,0,2,0,1
