Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2022-09-04,2022-2023,Premier League,Manchester Utd,Arsenal,Home,3,1,W,Antony,Y,AM,57,1,0,3,2,0,0,0,0,1,1,1
2022-10-02,2022-2023,Premier League,Manchester Utd,Manchester City,Away,3,6,L,Antony,Y,AM,90,1,0,5,2,0,0,0,0,1,0,1
2022-10-09,2022-2023,Premier League,Manchester Utd,Everton,Away,2,1,W,Antony,Y,AM,89,1,0,2,1,0,0,2,0,2,0,0
2022-10-16,2022-2023,Premier League,Manchester Utd,Newcastle,Home,0,0,D,Antony,Y,AM,90,0,0,4,2,0,0,2,0,6,1,0
2022-10-19,2022-2023,Premier League,Manchester Utd,Tottenham,Home,2,0,W,Antony,Y,AM,75,0,0,4,1,0,0,0,0,0,0,0
2022-10-22,2022-2023,Premier League,Manchester Utd,Chelsea,Away,1,1,D,Antony,Y,AM,90,0,0,2,1,1,0,2,0,1,0,1
2022-12-27,2022-2023,Premier League,Manchester Utd,Nottingham,Home,3,0,W,Antony,Y,AM,64,0,0,2,1,0,0,1,0,2,0,0
2022-12-31,2022-2023,Premier League,Manchester Utd,Wolves,Away,1,0,W,Antony,Y,AM,89,0,0,5,2,0,0,0,1,3,0,1
2023-01-14,2022-2023,Premier League,Manchester Utd,Manchester City,Home,2,1,W,Antony,N,,45,0,0,0,0,0,0,1,1,0,0,0
2023-01-18,2022-2023,Premier League,Manchester Utd,Crystal Palace,Away,1,1,D,Antony,Y,AM,69,0,0,3,1,0,0,0,0,0,0,0
2023-01-22,2022-2023,Premier League,Manchester Utd,Arsenal,Away,2,3,L,Antony,Y,AM,70,0,0,1,0,1,0,1,0,2,1,0
2023-02-04,2022-2023,Premier League,Manchester Utd,Crystal Palace,Home,2,1,W,Antony,Y,AM,80,0,0,2,1,1,0,4,0,0,0,0
2023-03-05,2022-2023,Premier League,Manchester Utd,Liverpool,Away,0,7,L,Antony,Y,AM,90,0,0,2,2,1,0,3,0,5,0,0
2023-03-12,2022-2023,Premier League,Manchester Utd,Southampton,Home,0,0,D,Antony,Y,RW,73,0,0,1,0,0,0,1,0,0,1,0
2023-04-02,2022-2023,Premier League,Manchester Utd,Newcastle,Away,0,2,L,Antony,Y,AM,61,0,0,2,1,0,0,2,0,2,1,1
