Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2018-08-17,2018-2019,La Liga,Valladolid,Girona,Away,0,0,D,Anuar,Y,AM,70,0,0,0,0,0,0,4,0,0,1,0
2018-08-25,2018-2019,La Liga,Valladolid,Barcelona,Home,0,1,L,Anuar,Y,DM,90,0,0,0,0,0,0,3,0,0,1,1
2018-08-31,2018-2019,La Liga,Valladolid,Getafe,Away,0,0,D,Anuar,Y,DM,90,0,0,0,0,0,0,3,0,0,2,1
2018-09-16,2018-2019,La Liga,Valladolid,Alavés,Home,0,1,L,Anuar,Y,DM,66,0,0,1,0,1,0,1,0,0,3,1
2018-09-30,2018-2019,La Liga,Valladolid,Villarreal,Away,1,0,W,Anuar,N,,21,0,0,0,0,0,0,0,0,0,0,0
2018-10-07,2018-2019,La Liga,Valladolid,Huesca,Home,1,0,W,Anuar,N,,28,0,0,0,0,0,0,1,0,0,0,0
2018-10-21,2018-2019,La Liga,Valladolid,Real Betis,Away,1,0,W,Anuar,N,,29,0,0,0,0,0,0,1,0,0,1,1
2018-12-09,2018-2019,La Liga,Valladolid,Real Sociedad,Home,2,1,W,Anuar,N,,1,0,0,0,0,0,0,0,0,0,0,0
2019-01-12,2018-2019,La Liga,Valladolid,Valencia,Away,1,1,D,Anuar,Y,CM,65,0,0,0,0,0,0,1,0,0,2,2
2019-01-27,2018-2019,La Liga,Valladolid,Celta Vigo,Home,2,1,W,Anuar,N,,1,0,0,1,0,0,0,0,0,0,0,0
2019-02-01,2018-2019,La Liga,Valladolid,Huesca,Away,0,4,L,Anuar,N,,9,0,0,0,0,1,0,0,0,0,0,0
2019-02-16,2018-2019,La Liga,Valladolid,Barcelona,Away,0,1,L,Anuar,Y,DM,90,0,0,0,0,1,0,2,0,1,8,2
2019-02-24,2018-2019,La Liga,Valladolid,Real Betis,Home,0,2,L,Anuar,N,,29,0,0,0,0,0,0,0,0,0,0,1
2019-03-02,2018-2019,La Liga,Valladolid,Espanyol,Away,1,3,L,Anuar,Y,DM,90,0,0,0,0,0,0,2,0,0,0,1
2019-03-10,2018-2019,La Liga,Valladolid,Real Madrid,Home,1,4,L,Anuar,Y,AM,62,1,0,3,2,0,0,1,0,0,0,0
2019-03-17,2018-2019,La Liga,Valladolid,Eibar,Away,2,1,W,Anuar,Y,AM,90,0,0,1,0,1,0,2,2,0,1,0
2019-03-31,2018-2019,La Liga,Valladolid,Real Sociedad,Home,1,1,D,Anuar,Y,CM,84,0,0,2,1,1,0,2,1,0,0,0
2019-04-07,2018-2019,La Liga,Valladolid,Sevilla,Home,0,2,L,Anuar,Y,AM,85,0,0,1,1,0,0,3,1,0,0,1
2019-04-14,2018-2019,La Liga,Valladolid,Getafe,Home,2,2,D,Anuar,Y,CM,81,0,0,1,0,1,0,3,0,0,0,0
