Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2024-01-27,2023-2024,La Liga,Real Madrid,Las Palmas,Away,2,1,W,Arda Güler,N,SUB,10,0,0,0,0,0,0,3,0,0,2,0
2024-02-10,2023-2024,La Liga,Real Madrid,Girona,Home,4,0,W,Arda Güler,N,SUB,14,0,0,0,0,0,0,0,1,0,0,0
2024-02-18,2023-2024,La Liga,Real Madrid,Rayo Vallecano,Away,1,1,D,Arda Güler,N,SUB,4,0,0,0,0,0,0,1,0,0,0,0
2024-03-10,2023-2024,La Liga,Real Madrid,Celta Vigo,Home,4,0,W,Arda Güler,N,SUB,2,1,0,1,1,0,0,0,0,0,0,0
2024-03-16,2023-2024,La Liga,Real Madrid,Osasuna,Away,4,2,W,Arda Güler,N,SUB,6,0,0,1,0,0,0,0,1,0,0,0
2024-04-26,2023-2024,La Liga,Real Madrid,Real Sociedad,Home,1,0,W,Arda Güler,Y,AM,67,1,0,3,1,1,0,1,1,1,1,0
2024-05-04,2023-2024,La Liga,Real Madrid,Cádiz,Home,3,0,W,Arda Güler,Y,FW,65,0,0,2,0,0,0,0,3,0,6,1
2024-05-11,2023-2024,La Liga,Real Madrid,Granada,Away,4,0,W,Arda Güler,Y,FW,90,1,0,2,1,0,0,3,0,0,5,0
2024-05-14,2023-2024,La Liga,Real Madrid,Alavés,Home,5,0,W,Arda Güler,N,SUB,29,1,0,2,1,0,0,0,0,0,0,0
2024-05-19,2023-2024,La Liga,Real Madrid,Villarreal,Away,4,4,D,Arda Güler,Y,AM,90,2,0,4,2,0,0,3,2,0,1,0
2024-08-18,2024-2025,La Liga,Real Madrid,Mallorca,Away,1,1,D,Arda Güler,N,SUB,3,0,0,0,0,0,0,1,1,1,0,0
2024-08-25,2024-2025,La Liga,Real Madrid,Valladolid,Home,3,0,W,Arda Güler,Y,AM,68,0,0,5,3,1,0,1,3,2,4,0
2024-08-29,2024-2025,La Liga,Real Madrid,Las Palmas,Away,1,1,D,Arda Güler,N,SUB,27,0,0,1,0,0,0,0,0,0,2,0
2024-09-14,2024-2025,La Liga,Real Madrid,Real Sociedad,Away,2,0,W,Arda Güler,Y,AM,76,0,0,2,0,0,0,1,2,0,0,1
2024-09-21,2024-2025,La Liga,Real Madrid,Espanyol,Home,4,1,W,Arda Güler,Y,FW,54,0,0,2,1,0,0,1,1,0,1,0
2024-09-24,2024-2025,La Liga,Real Madrid,Alavés,Home,3,2,W,Arda Güler,N,SUB,11,0,0,0,0,0,0,0,0,0,0,0
2024-10-05,2024-2025,La Liga,Real Madrid,Villarreal,Home,2,0,W,Arda Güler,N,SUB,12,0,0,0,0,0,0,0,0,0,2,0
2024-11-09,2024-2025,La Liga,Real Madrid,Osasuna,Home,4,0,W,Arda Güler,N,SUB,16,0,0,0,0,0,0,1,0,0,1,0
2024-11-24,2024-2025,La Liga,Real Madrid,Leganés,Away,3,0,W,Arda Güler,Y,RM,74,0,1,5,3,0,0,1,2,0,4,0
2024-12-01,2024-2025,La Liga,Real Madrid,Getafe,Home,2,0,W,Arda Güler,N,SUB,45,0,0,0,0,0,0,0,4,0,2,1
2024-12-04,2024-2025,La Liga,Real Madrid,Athletic Club,Away,1,2,L,Arda Güler,N,SUB,3,0,0,0,0,0,0,1,1,0,0,0
2024-12-07,2024-2025,La Liga,Real Madrid,Girona,Away,3,0,W,Arda Güler,Y,AM,88,1,0,1,1,0,0,1,1,0,1,0
2024-12-14,2024-2025,La Liga,Real Madrid,Rayo Vallecano,Away,3,3,D,Arda Güler,Y,AM,78,0,2,3,0,0,0,0,3,1,1,2
2024-12-22,2024-2025,La Liga,Real Madrid,Sevilla,Home,4,2,W,Arda Güler,N,SUB,20,0,0,0,0,0,0,0,2,0,0,0
2025-01-19,2024-2025,La Liga,Real Madrid,Las Palmas,Home,4,1,W,Arda Güler,N,SUB,15,0,0,0,0,0,0,2,0,1,0,0
2025-01-25,2024-2025,La Liga,Real Madrid,Valladolid,Away,3,0,W,Arda Güler,N,SUB,18,0,0,0,0,0,0,0,0,0,2,0
2025-03-01,2024-2025,La Liga,Real Madrid,Real Betis,Away,1,2,L,Arda Güler,N,SUB,32,0,0,2,0,0,0,1,1,0,0,1
2025-03-15,2024-2025,La Liga,Real Madrid,Villarreal,Away,2,1,W,Arda Güler,N,SUB,8,0,0,1,0,0,0,0,0,0,0,0
2025-03-29,2024-2025,La Liga,Real Madrid,Leganés,Home,3,2,W,Arda Güler,Y,AM,61,0,0,1,1,0,0,0,2,0,5,1
2025-04-05,2024-2025,La Liga,Real Madrid,Valencia,Home,1,2,L,Arda Güler,N,SUB,6,0,0,0,0,0,0,0,0,0,3,0
2025-04-13,2024-2025,La Liga,Real Madrid,Alavés,Away,1,0,W,Arda Güler,Y,RW,62,0,0,2,1,0,0,1,4,0,0,0
2025-04-20,2024-2025,La Liga,Real Madrid,Athletic Club,Home,1,0,W,Arda Güler,N,SUB,13,0,0,0,0,0,0,0,0,0,1,0
2025-04-23,2024-2025,La Liga,Real Madrid,Getafe,Away,1,0,W,Arda Güler,Y,CM,77,1,0,2,1,0,0,0,1,0,5,2
2025-05-04,2024-2025,La Liga,Real Madrid,Celta Vigo,Home,3,2,W,Arda Güler,Y,AM,82,1,1,4,3,0,0,1,0,0,5,1
2025-05-11,2024-2025,La Liga,Real Madrid,Barcelona,Away,3,4,L,Arda Güler,Y,AM,45,0,0,0,0,0,0,0,0,0,1,0
2025-05-14,2024-2025,La Liga,Real Madrid,Mallorca,Home,2,1,W,Arda Güler,Y,RM,90,0,0,6,2,0,0,0,2,0,16,1
2025-05-18,2025-2025,La Liga,Real Madrid,Sevilla,Away,2,0,W,Arda Güler,Y,RM,76,0,0,1,0,0,0,2,0,0,2,1
2025-05-24,2024-2025,La Liga,Real Madrid,Real Sociedad,Home,2,0,W,Arda Güler,Y,FW,90,0,0,1,1,0,0,0,1,0,3,1
