Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2019-08-17,2019-2020,La Liga,Osasuna,Leganés,Away,1,0,W,Aridane Hernández,Y,CB,90,0,0,0,0,0,0,0,0,0,0,2
2019-08-24,2019-2020,La Liga,Osasuna,Eibar,Home,0,0,D,Aridane Hernández,Y,CB,90,0,0,0,0,0,0,0,0,0,1,2
2019-08-31,2019-2020,La Liga,Osasuna,Barcelona,Home,2,2,D,Aridane Hernández,Y,CB,90,0,0,0,0,0,0,0,0,0,1,0
2019-09-15,2019-2020,La Liga,Osasuna,Valladolid,Away,1,1,D,Aridane Hernández,Y,CB,90,0,0,0,0,0,0,1,0,0,0,2
2019-09-20,2019-2020,La Liga,Osasuna,Real Betis,Home,0,0,D,Aridane Hernández,Y,CB,90,0,0,0,0,0,0,1,0,0,0,2
2019-09-29,2019-2020,La Liga,Osasuna,Levante,Away,1,1,D,Aridane Hernández,Y,CB,90,0,0,1,0,0,0,0,0,0,0,1
2019-10-05,2019-2020,La Liga,Osasuna,Villarreal,Home,2,1,W,Aridane Hernández,Y,CB,90,0,0,0,0,0,0,0,0,0,0,1
2019-10-18,2019-2020,La Liga,Osasuna,Granada,Away,0,1,L,Aridane Hernández,Y,CB,90,0,0,0,0,1,0,1,0,0,1,0
2019-10-27,2019-2020,La Liga,Osasuna,Valencia,Home,3,1,W,Aridane Hernández,Y,CB,90,0,0,0,0,0,0,0,0,0,1,1
2019-10-31,2019-2020,La Liga,Osasuna,Mallorca,Away,2,2,D,Aridane Hernández,Y,CB,90,0,0,0,0,1,0,1,0,0,1,1
2019-11-03,2019-2020,La Liga,Osasuna,Alavés,Home,4,2,W,Aridane Hernández,Y,CB,90,0,0,0,0,0,0,0,0,0,1,2
2019-11-10,2019-2020,La Liga,Osasuna,Getafe,Away,0,0,D,Aridane Hernández,Y,CB,90,0,0,0,0,0,0,0,0,0,1,1
2019-12-22,2019-2020,La Liga,Osasuna,Real Sociedad,Home,3,4,L,Aridane Hernández,Y,CB,90,1,0,3,1,1,0,1,0,0,0,0
2020-01-05,2019-2020,La Liga,Osasuna,Celta Vigo,Away,1,1,D,Aridane Hernández,Y,CB,90,0,0,0,0,0,0,1,0,0,0,2
2020-01-18,2019-2020,La Liga,Osasuna,Valladolid,Home,0,0,D,Aridane Hernández,Y,CB,90,0,0,2,0,1,0,1,0,0,3,0
2020-01-24,2019-2020,La Liga,Osasuna,Levante,Home,2,0,W,Aridane Hernández,Y,CB,90,0,0,0,0,0,0,0,0,0,4,2
2020-02-02,2019-2020,La Liga,Osasuna,Villarreal,Away,1,3,L,Aridane Hernández,Y,CB,90,1,0,2,1,1,0,2,0,0,0,2
