Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2022-08-14,2022-2023,La Liga,Girona,Valencia,Away,0,1,L,Arnau Martinez,N,-,9,0,0,0,0,0,0,0,0,0,0,0
2022-09-03,2022-2023,La Liga,Girona,Mallorca,Away,1,1,D,Arnau Martinez,Y,RM,90,0,0,1,0,0,0,2,1,1,2,1
2022-09-09,2022-2023,La Liga,Girona,Valladolid,Home,2,1,W,Arnau Martinez,Y,DM,73,0,0,0,0,0,0,1,1,0,1,1
2022-09-18,2022-2023,La Liga,Girona,Real Betis,Away,1,2,L,Arnau Martinez,Y,DM,88,1,0,1,1,0,0,1,3,0,1,0
2022-10-02,2022-2023,La Liga,Girona,Real Sociedad,Home,1,3,L,Arnau Martinez,Y,RB,78,1,0,1,1,0,0,0,6,0,2,0
2022-10-08,2022-2023,La Liga,Girona,Atlético Madrid,Away,1,2,L,Arnau Martinez,Y,RB,45,0,0,0,0,0,0,0,3,0,2,3
2022-10-15,2022-2023,La Liga,Girona,Cádiz,Home,1,1,D,Arnau Martinez,Y,RB,90,0,0,2,0,1,0,1,0,0,6,1
2022-10-20,2022-2023,La Liga,Girona,Almería,Away,2,3,L,Arnau Martinez,Y,RB,68,0,0,2,0,0,0,1,0,0,4,0
2022-10-30,2022-2023,La Liga,Girona,Real Madrid,Away,1,1,D,Arnau Martinez,Y,RB,90,0,0,1,0,1,0,1,2,0,1,0
2022-11-04,2022-2023,La Liga,Girona,Athletic Club,Home,2,1,W,Arnau Martinez,Y,RB,90,0,0,2,0,0,0,1,3,0,2,3
2022-11-08,2022-2023,La Liga,Girona,Elche,Away,2,1,W,Arnau Martinez,Y,RB,90,0,1,2,0,0,0,1,2,1,2,0
2022-12-29,2022-2023,La Liga,Girona,Rayo Vallecano,Home,2,2,D,Arnau Martinez,Y,RB,90,0,0,2,0,1,0,1,2,0,3,0
2023-01-07,2022-2023,La Liga,Girona,Espanyol,Away,2,2,D,Arnau Martinez,Y,RB,90,0,0,0,0,0,0,2,2,0,2,2
2023-01-14,2022-2023,La Liga,Girona,Sevilla,Home,2,1,W,Arnau Martinez,Y,RB,90,0,0,0,0,1,0,2,2,0,4,1
2023-01-22,2022-2023,La Liga,Girona,Villarreal,Away,0,1,L,Arnau Martinez,Y,RB,90,0,0,1,0,0,0,1,2,0,0,2
2023-01-28,2022-2023,La Liga,Girona,Barcelona,Home,0,1,L,Arnau Martinez,Y,RB,90,0,0,0,0,1,0,1,4,3,1,2
2023-02-10,2022-2023,La Liga,Girona,Cádiz,Away,0,2,L,Arnau Martinez,Y,RB,90,0,0,0,0,1,0,1,4,0,0,2
2023-02-17,2022-2023,La Liga,Girona,Almería,Home,6,2,W,Arnau Martinez,Y,RB,90,0,1,0,0,0,0,0,3,0,2,3
2023-02-26,2022-2023,La Liga,Girona,Athletic Club,Away,3,2,W,Arnau Martinez,Y,RB,90,0,0,0,0,1,0,3,2,0,1,1
2023-03-04,2022-2023,La Liga,Girona,Getafe,Away,2,3,L,Arnau Martinez,Y,RB,45,0,0,0,0,0,0,0,2,0,1,0
2023-03-13,2022-2023,La Liga,Girona,Atlético Madrid,Home,0,1,L,Arnau Martinez,Y,RB,90,0,0,0,0,0,0,2,1,0,3,1
2023-03-18,2022-2023,La Liga,Girona,Rayo Vallecano,Away,2,2,D,Arnau Martinez,Y,RB,90,0,0,0,0,0,0,2,0,0,2,3
2023-04-01,2022-2023,La Liga,Girona,Espanyol,Home,2,1,W,Arnau Martinez,Y,RB,90,1,0,1,1,1,0,1,1,0,1,1
2023-04-10,2022-2023,La Liga,Girona,Barcelona,Away,0,0,D,Arnau Martinez,Y,RB,90,0,0,0,0,0,0,3,1,1,0,2
