Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2019-09-28,2019-2020,Premier League,Bournemouth,West Ham,Home,2,2,D,Arnaut Danjuma,N,,14,0,0,0,0,0,0,0,0,0,2,0
2019-10-06,2019-2020,Premier League,Bournemouth,Arsenal,Away,0,1,L,Arnaut Danjuma,N,,12,0,0,1,0,0,0,0,0,0,1,0
2019-10-19,2019-2020,Premier League,Bournemouth,Norwich City,Home,0,0,D,Arnaut Danjuma,N,,22,0,0,3,1,0,0,0,0,0,0,0
2019-10-26,2019-2020,Premier League,Bournemouth,Watford,Away,0,0,D,Arnaut Danjuma,Y,LM,60,0,0,1,1,0,0,0,1,0,1,0
2019-11-09,2019-2020,Premier League,Bournemouth,Newcastle,Away,1,2,L,Arnaut Danjuma,N,,13,0,0,0,0,0,0,1,1,0,0,0
2019-11-23,2019-2020,Premier League,Bournemouth,Wolves,Home,1,2,L,Arnaut Danjuma,N,,45,0,0,1,0,0,0,0,0,1,0,0
2019-11-30,2019-2020,Premier League,Bournemouth,Tottenham,Away,2,3,L,Arnaut Danjuma,Y,RM,90,0,0,2,2,0,0,0,0,3,3,0
2019-12-03,2019-2020,Premier League,Bournemouth,Crystal Palace,Away,0,1,L,Arnaut Danjuma,Y,LM,63,0,0,0,0,0,0,1,0,2,0,0
2019-12-07,2019-2020,Premier League,Bournemouth,Liverpool,Home,0,3,L,Arnaut Danjuma,Y,RM,90,0,0,2,0,0,0,0,0,0,0,0
2020-06-20,2019-2020,Premier League,Bournemouth,Crystal Palace,Home,0,2,L,Arnaut Danjuma,N,,45,0,0,0,0,0,0,0,0,1,0,0
2020-06-24,2019-2020,Premier League,Bournemouth,Wolves,Away,0,1,L,Arnaut Danjuma,N,,25,0,0,1,0,0,0,1,0,0,0,0
2020-07-01,2019-2020,Premier League,Bournemouth,Newcastle,Home,1,4,L,Arnaut Danjuma,Y,LM,61,0,0,1,0,0,0,0,1,2,0,0
2020-07-04,2019-2020,Premier League,Bournemouth,Manchester Utd,Away,2,5,L,Arnaut Danjuma,N,,45,0,0,1,0,0,0,0,2,0,0,0
2020-07-12,2019-2020,Premier League,Bournemouth,Leicester City,Home,4,1,W,Arnaut Danjuma,Y,LM,45,0,0,0,0,0,0,0,0,0,1,0
2021-08-21,2021-2022,La Liga,Villarreal,Espanyol,Away,0,0,D,Arnaut Danjuma,N,,5,0,0,0,0,0,0,0,0,0,1,0
2021-08-29,2021-2022,La Liga,Villarreal,Atlético Madrid,Away,2,2,D,Arnaut Danjuma,N,,28,1,0,1,1,0,0,0,0,0,0,1
2021-09-19,2021-2022,La Liga,Villarreal,Mallorca,Away,0,0,D,Arnaut Danjuma,Y,FW,56,0,0,4,0,0,0,0,1,1,0,1
2021-09-22,2021-2022,La Liga,Villarreal,Elche,Home,4,1,W,Arnaut Danjuma,Y,FW,85,1,0,4,2,0,0,0,1,1,1,0
2021-09-25,2021-2022,La Liga,Villarreal,Real Madrid,Away,0,0,D,Arnaut Danjuma,Y,FW,83,0,0,3,2,0,0,1,0,1,1,0
2021-10-03,2021-2022,La Liga,Villarreal,Real Betis,Home,2,0,W,Arnaut Danjuma,Y,LW,89,2,0,7,4,0,0,1,0,0,2,0
2021-10-17,2021-2022,La Liga,Villarreal,Osasuna,Home,1,2,L,Arnaut Danjuma,Y,FW,77,0,0,1,0,0,0,0,1,1,3,0
2021-10-23,2021-2022,La Liga,Villarreal,Athletic Club,Away,1,2,L,Arnaut Danjuma,Y,FW,90,0,1,4,2,0,0,0,0,3,0,1
2021-10-26,2021-2022,La Liga,Villarreal,Cádiz,Home,3,3,D,Arnaut Danjuma,Y,FW,90,1,0,5,3,0,0,0,3,2,3,0
2021-10-30,2021-2022,La Liga,Villarreal,Valencia,Away,0,2,L,Arnaut Danjuma,Y,FW,90,0,0,3,0,1,0,1,2,0,3,1
2021-11-07,2021-2022,La Liga,Villarreal,Getafe,Home,1,0,W,Arnaut Danjuma,Y,FW,11,0,0,0,0,0,0,0,1,0,0,0
2021-11-27,2021-2022,La Liga,Villarreal,Barcelona,Home,1,3,L,Arnaut Danjuma,Y,FW,90,0,1,4,1,0,0,0,0,1,2,0
2022-02-06,2021-2022,La Liga,Villarreal,Real Betis,Away,2,0,W,Arnaut Danjuma,N,,28,0,0,1,1,0,0,0,0,0,0,0
2022-02-12,2021-2022,La Liga,Villarreal,Real Madrid,Home,0,0,D,Arnaut Danjuma,Y,FW,66,0,0,2,0,0,0,1,0,0,0,0
2022-02-19,2021-2022,La Liga,Villarreal,Granada,Away,4,1,W,Arnaut Danjuma,Y,FW,90,3,0,7,4,0,0,0,0,2,2,0
2022-02-27,2021-2022,La Liga,Villarreal,Espanyol,Home,5,1,W,Arnaut Danjuma,Y,FW,75,0,1,3,2,0,0,0,0,1,0,1
2022-03-05,2021-2022,La Liga,Villarreal,Osasuna,Away,0,1,L,Arnaut Danjuma,Y,FW,90,0,0,1,0,0,0,0,1,1,1,0
2022-03-12,2021-2022,La Liga,Villarreal,Celta Vigo,Home,1,0,W,Arnaut Danjuma,Y,FW,79,0,0,2,0,0,0,0,2,0,3,0
2022-03-20,2021-2022,La Liga,Villarreal,Cádiz,Away,0,1,L,Arnaut Danjuma,N,,45,0,0,1,1,0,0,0,0,1,1,0
2022-04-02,2021-2022,La Liga,Villarreal,Levante,Away,0,2,L,Arnaut Danjuma,Y,FW,75,0,0,2,0,0,0,3,0,1,0,0
2022-04-09,2021-2022,La Liga,Villarreal,Athletic Club,Home,1,1,D,Arnaut Danjuma,N,,30,0,0,1,1,0,0,0,0,0,2,1
2022-04-16,2021-2022,La Liga,Villarreal,Getafe,Away,2,1,W,Arnaut Danjuma,N,,30,0,0,1,1,0,0,1,0,2,0,0
2022-04-19,2021-2022,La Liga,Villarreal,Valencia,Home,2,0,W,Arnaut Danjuma,Y,FW,70,2,0,5,4,0,0,1,2,1,0,0
2022-09-18,2022-2023,La Liga,Villarreal,Sevilla,Home,1,1,D,Arnaut Danjuma,N,,31,0,0,1,0,0,0,1,0,0,1,0
2022-10-01,2022-2023,La Liga,Villarreal,Cádiz,Away,0,0,D,Arnaut Danjuma,N,,24,0,0,0,0,0,0,1,0,0,0,0
2022-10-09,2022-2023,La Liga,Villarreal,Real Sociedad,Away,0,1,L,Arnaut Danjuma,Y,FW,45,0,0,0,0,0,0,2,0,0,0,0
2022-10-17,2022-2023,La Liga,Villarreal,Osasuna,Home,2,0,W,Arnaut Danjuma,Y,FW,70,2,0,3,3,0,0,1,1,1,0,0
2022-10-20,2022-2023,La Liga,Villarreal,Barcelona,Away,0,3,L,Arnaut Danjuma,Y,FW,45,0,0,1,0,0,0,0,0,0,0,0
2022-10-23,2022-2023,La Liga,Villarreal,Almería,Home,2,1,W,Arnaut Danjuma,N,,5,0,0,0,0,0,0,0,0,0,0,0
2022-10-30,2022-2023,La Liga,Villarreal,Athletic Club,Away,0,1,L,Arnaut Danjuma,Y,FW,90,0,0,1,1,0,0,2,0,2,0,0
2022-11-06,2022-2023,La Liga,Villarreal,Mallorca,Home,0,2,L,Arnaut Danjuma,Y,FW,90,0,0,0,0,0,0,2,1,3,2,0
