Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2014-08-17,2014-2015,Premier League,Newcastle,Manchester City,Home,0,2,L,Ayoze Pérez,N,,8,0,0,1,0,0,0,0,0,0,1,0
2014-08-23,2014-2015,Premier League,Newcastle,Aston Villa,Away,0,0,D,Ayoze Pérez,N,,13,0,0,1,0,0,0,0,0,0,0,0
2014-08-30,2014-2015,Premier League,Newcastle,Crystal Palace,Home,3,3,D,Ayoze Pérez,N,,12,0,0,1,0,0,0,0,0,0,0,0
2014-09-13,2014-2015,Premier League,Newcastle,Southampton,Away,0,4,L,Ayoze Pérez,N,,22,0,0,1,0,0,0,0,0,0,0,0
2014-09-20,2014-2015,Premier League,Newcastle,Hull City,Home,2,2,D,Ayoze Pérez,N,,1,0,0,0,0,0,0,0,0,0,0,0
2014-10-04,2014-2015,Premier League,Newcastle,Swansea City,Away,2,2,D,Ayoze Pérez,N,,6,0,0,0,0,0,0,0,1,0,0,0
2014-10-18,2014-2015,Premier League,Newcastle,Leicester City,Home,1,0,W,Ayoze Pérez,N,,32,0,0,2,1,0,0,0,1,0,1,1
2014-10-26,2014-2015,Premier League,Newcastle,Tottenham,Away,2,1,W,Ayoze Pérez,Y,,78,1,0,1,1,0,0,0,2,1,0,0
2014-11-01,2014-2015,Premier League,Newcastle,Liverpool,Home,1,0,W,Ayoze Pérez,N,,45,1,0,1,1,0,0,0,0,0,1,4
2014-11-09,2014-2015,Premier League,Newcastle,West Brom,Away,2,0,W,Ayoze Pérez,Y,,90,1,0,2,2,0,0,2,1,1,1,1
2014-11-22,2014-2015,Premier League,Newcastle,QPR,Home,1,0,W,Ayoze Pérez,Y,,88,0,0,2,2,0,0,3,1,1,3,1
2014-11-29,2014-2015,Premier League,Newcastle,West Ham,Away,0,1,L,Ayoze Pérez,Y,,90,0,0,3,1,0,0,1,2,0,1,0
2014-12-02,2014-2015,Premier League,Newcastle,Burnley,Away,1,1,D,Ayoze Pérez,Y,,45,0,0,0,0,0,0,1,0,0,0,1
2014-12-06,2014-2015,Premier League,Newcastle,Chelsea,Home,2,1,W,Ayoze Pérez,Y,,90,0,0,1,0,0,0,0,0,0,1,1
2014-12-13,2014-2015,Premier League,Newcastle,Arsenal,Away,1,4,L,Ayoze Pérez,Y,,81,1,0,1,1,0,0,2,3,0,2,1
2014-12-21,2014-2015,Premier League,Newcastle,Sunderland,Home,0,1,L,Ayoze Pérez,Y,,90,0,0,3,2,0,0,1,3,0,2,1
