Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2021-09-26,2021-2022,La Liga,Real Sociedad,Elche,Home,1,0,W,Beñat Turrientes,Y,DM,83,0,0,4,1,0,0,2,0,0,0,1
2021-10-24,2021-10-24,La Liga,Real Sociedad,Atlético Madrid,Away,2,2,D,Beñat Turrientes,N,MF,27,0,0,0,0,0,0,0,0,0,0,0
2021-10-28,2021-10-28,La Liga,Real Sociedad,Celta Vigo,Away,2,0,W,Beñat Turrientes,N,MF,26,0,0,0,0,0,0,1,0,1,0,0
2021-11-07,2021-11-07,La Liga,Real Sociedad,Osasuna,Away,2,0,W,Beñat Turrientes,N,MF,8,0,0,0,0,0,0,0,0,0,0,1
2021-11-21,2021-11-21,La Liga,Real Sociedad,Valencia,Home,0,0,D,Beñat Turrientes,N,MF,7,0,0,1,1,1,0,1,0,0,0,0
2021-12-04,2021-12-04,La Liga,Real Sociedad,Real Madrid,Home,0,2,L,Beñat Turrientes,N,MF,30,0,0,0,0,0,0,1,0,0,0,0
2021-12-12,2021-12-12,La Liga,Real Sociedad,Real Betis,Away,0,4,L,Beñat Turrientes,N,MF,17,0,0,2,0,0,0,0,0,0,0,0
2022-01-23,2021-2022,La Liga,Real Sociedad,Getafe,Home,0,0,D,Beñat Turrientes,N,MF,9,0,0,0,0,0,0,0,1,1,0,0
2022-08-21,2022-2023,La Liga,Real Sociedad,Barcelona,Home,1,4,L,Beñat Turrientes,N,,22,0,0,0,0,0,0,0,0,0,2,0
2022-09-11,2022-2023,La Liga,Real Sociedad,Getafe,Away,1,2,L,Beñat Turrientes,Y,CM,45,0,0,0,0,0,0,2,1,0,1,1
2022-09-18,2022-2023,La Liga,Real Sociedad,Espanyol,Home,2,1,W,Beñat Turrientes,N,,10,0,0,0,0,0,0,0,0,0,1,0
2022-10-02,2022-2023,La Liga,Real Sociedad,Girona,Away,5,3,W,Beñat Turrientes,N,,8,0,0,0,0,0,0,0,0,0,0,0
2022-10-09,2022-2023,La Liga,Real Sociedad,Villarreal,Home,1,0,W,Beñat Turrientes,N,,10,0,0,0,0,0,0,0,0,0,0,0
2022-10-22,2022-2023,La Liga,Real Sociedad,Valladolid,Away,0,1,L,Beñat Turrientes,N,,11,0,0,0,0,0,0,0,0,0,2,0
2023-08-12,2023-2024,La Liga,Real Sociedad,Girona,Home,1,1,D,Beñat Turrientes,Y,CM,79,0,0,1,0,0,0,4,0,0,0,0
2023-08-19,2023-2024,La Liga,Real Sociedad,Celta Vigo,Home,1,1,D,Beñat Turrientes,Y,CM,77,0,0,2,0,0,0,0,0,1,0,0
2023-09-02,2023-2024,La Liga,Real Sociedad,Granada,Home,5,3,W,Beñat Turrientes,N,MF,8,0,0,0,0,0,0,1,0,0,0,0
2023-09-24,2023-2024,La Liga,Real Sociedad,Getafe,Home,4,3,W,Beñat Turrientes,Y,CM,57,0,0,2,1,0,0,3,0,1,0,0
2023-09-27,2023-2024,La Liga,Real Sociedad,Valencia,Away,1,0,W,Beñat Turrientes,Y,CM,60,0,0,0,0,0,0,0,0,1,2,0
2023-09-30,2023-2024,La Liga,Real Sociedad,Athletic Club,Home,3,0,W,Beñat Turrientes,N,MF,10,0,0,0,0,0,0,0,0,0,0,0
2023-10-29,2023-2024,La Liga,Real Sociedad,Rayo Vallecano,Away,2,2,D,Beñat Turrientes,Y,AM,79,0,0,0,0,1,0,3,0,0,1,0
2023-11-11,2023-2024,La Liga,Real Sociedad,Almería,Away,3,1,W,Beñat Turrientes,Y,AM,80,0,0,2,0,0,0,2,0,0,0,1
2023-11-26,2023-2024,La Liga,Real Sociedad,Sevilla,Home,2,1,W,Beñat Turrientes,N,MF,16,0,0,1,1,0,0,0,0,0,0,0
2023-12-09,2023-2024,La Liga,Real Sociedad,Villarreal,Away,3,0,W,Beñat Turrientes,N,MF,61,0,0,0,0,0,0,3,0,1,0,0
2023-12-17,2023-2024,La Liga,Real Sociedad,Real Betis,Home,0,0,D,Beñat Turrientes,N,MF,32,0,0,1,0,0,0,1,0,0,1,0
