Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2024-08-25,2024-2025,La Liga,Girona,Atlético Madrid,Away,0,3,L,Bojan Miovski,N,,32,0,0,2,1,0,0,0,0,0,0,0
2024-08-29,2024-2025,La Liga,Girona,Osasuna,Home,4,0,W,Bojan Miovski,Y,FW,63,0,0,1,0,0,0,1,0,3,2,1
2024-09-21,2024-2025,La Liga,Girona,Valencia,Away,0,2,L,Bojan Miovski,Y,FW,77,0,0,1,0,0,0,1,1,1,0,1
2024-10-19,2024-2025,La Liga,Girona,Real Sociedad,Home,0,1,L,Bojan Miovski,Y,FW,58,0,0,0,0,0,0,1,1,0,0,0
2024-10-26,2024-2025,La Liga,Girona,Las Palmas,Away,0,1,L,Bojan Miovski,Y,FW,90,0,0,2,1,0,0,3,0,1,0,1
2024-11-02,2024-2025,La Liga,Girona,Leganés,Home,4,3,W,Bojan Miovski,Y,FW,61,0,0,2,0,0,0,0,3,1,0,1
2024-11-10,2024-2025,La Liga,Girona,Getafe,Away,1,0,W,Bojan Miovski,Y,FW,72,0,0,0,0,0,0,3,1,0,0,0
2024-11-23,2024-2025,La Liga,Girona,Espanyol,Home,4,1,W,Bojan Miovski,Y,FW,70,2,1,3,2,0,0,2,0,0,0,0
2024-12-01,2024-2025,La Liga,Girona,Villarreal,Away,2,2,D,Bojan Miovski,Y,FW,57,0,0,0,0,0,0,1,0,0,0,0
2024-12-07,2024-2025,La Liga,Girona,Real Madrid,Home,0,3,L,Bojan Miovski,Y,FW,57,0,0,0,0,0,0,0,1,0,1,0
2025-02-14,2024-2025,La Liga,Girona,Getafe,Home,1,2,L,Bojan Miovski,N,,1,0,0,1,0,0,0,0,0,0,0,0
2025-02-23,2024-2025,La Liga,Girona,Real Madrid,Away,0,2,L,Bojan Miovski,N,,16,0,0,0,0,0,0,0,0,0,0,0
2025-03-01,2024-2025,La Liga,Girona,Celta Vigo,Home,2,2,D,Bojan Miovski,Y,FW,67,0,0,0,0,0,0,0,1,0,0,0
2025-03-10,2024-2025,La Liga,Girona,Espanyol,Away,1,1,D,Bojan Miovski,Y,FW,68,0,0,2,0,0,0,2,1,1,0,1
2025-03-15,2024-2025,La Liga,Girona,Valencia,Home,1,1,D,Bojan Miovski,Y,FW,58,0,0,0,0,0,0,1,0,1,0,0
2025-05-05,2024-2025,La Liga,Girona,Mallorca,Home,1,0,W,Bojan Miovski,N,,4,0,0,0,0,0,0,0,0,0,0,0
2025-05-10,2024-2025,La Liga,Girona,Villarreal,Away,0,1,L,Bojan Miovski,N,,18,0,0,0,0,0,0,0,0,0,0,0
