Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2015-10-31,2015-2016,La Liga,Real Madrid,Las Palmas,Home,3,1,W,Borja Mayoral,N,,4,0,0,0,0,0,0,0,0,0,0,0
2016-02-27,2015-2016,La Liga,Real Madrid,Atlético Madrid,Home,0,1,L,Borja Mayoral,N,,45,0,0,2,0,0,0,0,1,1,1,0
2016-03-02,2015-2016,La Liga,Real Madrid,Levante,Away,3,1,W,Borja Mayoral,Y,FW,85,0,0,1,0,0,0,2,0,0,0,0
2016-03-05,2015-2016,La Liga,Real Madrid,Celta Vigo,Home,7,1,W,Borja Mayoral,Y,FW,69,0,0,0,0,0,0,1,0,0,1,1
2016-04-09,2015-2016,La Liga,Real Madrid,Eibar,Home,4,0,W,Borja Mayoral,N,,15,0,0,0,0,0,0,0,1,0,0,0
2016-04-30,2015-2016,La Liga,Real Madrid,Real Sociedad,Away,1,0,W,Borja Mayoral,Y,FW,64,0,0,0,0,0,0,1,1,0,0,0
2016-10-16,2016-2017,Bundesliga,Wolfsburg,RB Leipzig,Home,0,1,L,Borja Mayoral,N,,14,0,0,0,0,0,0,0,0,0,0,0
2016-10-22,2016-2017,Bundesliga,Wolfsburg,Darmstadt 98,Away,1,3,L,Borja Mayoral,N,,7,0,0,0,0,0,0,0,0,0,0,0
2016-10-29,2016-2017,Bundesliga,Wolfsburg,Leverkusen,Home,1,2,L,Borja Mayoral,N,,4,0,0,0,0,0,0,0,0,0,0,0
2016-11-05,2016-2017,Bundesliga,Wolfsburg,Freiburg,Away,3,0,W,Borja Mayoral,N,,9,0,0,0,0,0,0,0,0,0,0,0
2016-11-26,2016-2017,Bundesliga,Wolfsburg,Ingolstadt,Away,1,1,D,Borja Mayoral,N,,45,0,0,1,0,0,0,1,0,0,0,0
2016-12-03,2016-2017,Bundesliga,Wolfsburg,Hertha BSC,Home,2,3,L,Borja Mayoral,Y,FW,77,1,0,1,1,0,0,1,0,0,0,0
2016-12-10,2016-2017,Bundesliga,Wolfsburg,Bayern Munich,Away,0,5,L,Borja Mayoral,Y,FW,60,0,0,0,0,0,0,0,0,0,0,1
2016-12-17,2016-2017,Bundesliga,Wolfsburg,Frankfurt,Home,1,0,W,Borja Mayoral,N,,3,0,0,1,0,0,0,0,0,0,0,0
2016-12-20,2016-2017,Bundesliga,Wolfsburg,Gladbach,Away,2,1,W,Borja Mayoral,N,,4,0,0,2,0,0,0,0,0,0,0,0
2017-01-21,2016-2017,Bundesliga,Wolfsburg,Hamburger SV,Home,1,0,W,Borja Mayoral,N,,11,0,0,0,0,0,0,0,0,0,0,0
2017-01-28,2016-2017,Bundesliga,Wolfsburg,Augsburg,Home,1,2,L,Borja Mayoral,N,,19,0,0,0,0,0,0,0,0,0,0,0
2017-02-04,2016-2017,Bundesliga,Wolfsburg,Köln,Away,0,1,L,Borja Mayoral,N,,5,0,0,0,0,0,0,0,0,0,0,0
2017-02-24,2016-2017,Bundesliga,Wolfsburg,Werder Bremen,Home,1,2,L,Borja Mayoral,Y,FW,73,1,0,3,2,0,0,1,0,0,0,0
2017-03-04,2016-2017,Bundesliga,Wolfsburg,Mainz 05,Away,1,1,D,Borja Mayoral,N,,13,0,0,0,0,0,0,1,0,1,0,0
2017-03-18,2016-2017,Bundesliga,Wolfsburg,Darmstadt 98,Home,1,0,W,Borja Mayoral,N,,5,0,0,1,1,0,0,0,0,0,0,0
2017-04-05,2016-2017,Bundesliga,Wolfsburg,Freiburg,Home,0,1,L,Borja Mayoral,N,,7,0,0,1,0,0,0,0,0,0,1,0
2017-04-08,2016-2017,Bundesliga,Wolfsburg,Schalke 04,Away,1,4,L,Borja Mayoral,N,,11,0,0,1,0,0,0,1,0,0,0,0
2017-04-15,2016-2017,Bundesliga,Wolfsburg,Ingolstadt,Home,3,0,W,Borja Mayoral,N,,3,0,0,0,0,0,0,0,0,0,0,0
2017-04-22,2016-2017,Bundesliga,Wolfsburg,Hertha BSC,Away,0,1,L,Borja Mayoral,N,,17,0,0,1,0,1,0,1,0,0,0,0
2017-08-27,2017-2018,La Liga,Real Madrid,Valencia,Home,2,2,D,Borja Mayoral,N,,7,0,0,1,0,0,0,0,0,0,0,0
2017-09-17,2017-2018,La Liga,Real Madrid,Real Sociedad,Away,3,1,W,Borja Mayoral,Y,FW,74,1,0,3,2,0,0,0,2,0,0,0
2017-09-20,2017-2018,La Liga,Real Madrid,Real Betis,Home,0,1,L,Borja Mayoral,N,,19,0,0,2,2,0,0,0,0,0,0,0
2017-09-23,2017-2018,La Liga,Real Madrid,Alavés,Away,2,1,W,Borja Mayoral,N,,1,0,0,0,0,0,0,1,0,0,0,0
2017-10-01,2017-2018,La Liga,Real Madrid,Espanyol,Home,2,0,W,Borja Mayoral,N,,1,0,0,0,0,0,0,0,0,0,0,0
2017-10-14,2017-2018,La Liga,Real Madrid,Getafe,Away,2,1,W,Borja Mayoral,N,,10,0,0,0,0,0,0,0,0,0,0,0
2017-11-25,2017-2018,La Liga,Real Madrid,Málaga,Home,3,2,W,Borja Mayoral,N,,2,0,0,0,0,0,0,0,0,0,0,0
2017-12-02,2017-2018,La Liga,Real Madrid,Athletic Club,Away,0,0,D,Borja Mayoral,N,,9,0,0,0,0,0,0,0,0,0,0,0
2018-01-21,2017-2018,La Liga,Real Madrid,Dep. La Coruña,Home,7,1,W,Borja Mayoral,Y,FW,63,0,0,3,1,0,0,1,3,0,0,0
2018-02-27,2017-2018,La Liga,Real Madrid,Espanyol,Away,0,1,L,Borja Mayoral,N,,2,0,0,0,0,0,0,0,0,0,0,0
2018-04-15,2017-2018,La Liga,Real Madrid,Málaga,Away,2,1,W,Borja Mayoral,N,,19,0,0,1,1,0,0,1,1,0,0,0
2018-04-28,2017-2018,La Liga,Real Madrid,Leganés,Home,2,1,W,Borja Mayoral,Y,FW,90,1,0,2,2,0,0,0,0,0,0,0
2018-05-09,2017-2018,La Liga,Real Madrid,Sevilla,Away,2,3,L,Borja Mayoral,N,,21,1,0,2,2,0,0,1,1,0,0,0
2018-05-12,2017-2018,La Liga,Real Madrid,Celta Vigo,Home,6,0,W,Borja Mayoral,N,,27,0,1,1,1,0,0,0,0,0,0,0
2018-09-16,2018-2019,La Liga,Levante,Espanyol,Away,0,1,L,Borja Mayoral,N,,26,0,0,1,1,0,0,1,0,0,0,0
2018-09-23,2018-2019,La Liga,Levante,Sevilla,Home,2,6,L,Borja Mayoral,Y,FW,90,0,0,2,2,0,0,1,1,0,0,0
2018-09-27,2018-2019,La Liga,Levante,Valladolid,Away,1,2,L,Borja Mayoral,Y,FW,72,0,0,1,0,0,0,2,0,0,0,0
2018-10-06,2018-2019,La Liga,Levante,Getafe,Away,1,0,W,Borja Mayoral,N,,7,0,0,0,0,0,0,1,0,0,0,0
2018-11-04,2018-2019,La Liga,Levante,Villarreal,Away,1,1,D,Borja Mayoral,N,,30,0,0,1,1,0,0,2,0,0,0,0
2018-11-09,2018-2019,La Liga,Levante,Real Sociedad,Home,1,3,L,Borja Mayoral,Y,FW,76,0,0,0,0,0,0,0,1,0,0,0
2018-11-24,2018-2019,La Liga,Levante,Huesca,Away,2,2,D,Borja Mayoral,Y,FW,90,0,0,0,0,0,0,1,1,0,1,0
2018-12-03,2018-2019,La Liga,Levante,Athletic Club,Home,3,0,W,Borja Mayoral,N,,3,0,0,0,0,0,0,0,0,0,0,0
2018-12-09,2018-2019,La Liga,Levante,Eibar,Away,4,4,D,Borja Mayoral,N,,21,1,0,1,1,0,0,0,0,0,0,0
2018-12-16,2018-2019,La Liga,Levante,Barcelona,Home,0,5,L,Borja Mayoral,N,,29,0,0,1,1,0,0,0,1,0,0,0
2018-12-23,2018-2019,La Liga,Levante,Rayo Vallecano,Away,1,2,L,Borja Mayoral,Y,FW,90,0,0,1,0,0,0,0,3,1,0,0
2019-01-13,2018-2019,La Liga,Levante,Atlético Madrid,Away,0,1,L,Borja Mayoral,N,,23,0,0,0,0,0,0,0,0,0,0,0
2019-01-20,2018-2019,La Liga,Levante,Valladolid,Home,2,0,W,Borja Mayoral,Y,FW,82,0,0,1,0,0,0,1,0,0,1,0
2019-01-26,2018-2019,La Liga,Levante,Sevilla,Away,0,5,L,Borja Mayoral,Y,FW,90,0,0,0,0,0,0,4,1,0,0,0
2019-02-02,2018-2019,La Liga,Levante,Getafe,Home,0,0,D,Borja Mayoral,N,,20,0,0,0,0,0,0,0,0,0,0,0
2019-02-11,2018-2019,La Liga,Levante,Alavés,Away,0,2,L,Borja Mayoral,N,,24,0,0,0,0,0,0,1,0,0,0,0
2019-02-16,2018-2019,La Liga,Levante,Celta Vigo,Away,4,1,W,Borja Mayoral,Y,FW,90,1,1,2,1,0,0,4,1,0,1,0
2019-03-04,2018-2019,La Liga,Levante,Leganés,Away,0,1,L,Borja Mayoral,Y,FW,90,0,0,2,1,0,0,2,2,0,0,0
2019-03-10,2018-2019,La Liga,Levante,Villarreal,Home,0,2,L,Borja Mayoral,N,,21,0,0,0,0,0,0,0,0,0,0,0
2019-03-15,2018-2019,La Liga,Levante,Real Sociedad,Away,1,1,D,Borja Mayoral,Y,FW,90,1,0,2,2,0,0,2,2,0,0,0
2019-03-31,2018-2019,La Liga,Levante,Eibar,Home,2,2,D,Borja Mayoral,Y,FW,90,0,0,1,0,0,0,2,1,1,0,0
