Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2018-01-20,2017-18,Premier League,Manchester City,Newcastle United,Home,3,1,W,Brahim Díaz,N,N/A,4,0,0,0,0,0,0,0,1,0,0,1
2018-01-31,2017-18,Premier League,Manchester City,West Brom,Home,3,0,W,Brahim Díaz,N,N/A,13,0,0,2,1,0,0,0,1,0,0,1
2018-02-03,2017-18,Premier League,Manchester City,Burnley,Away,1,1,D,Brahim Díaz,N,N/A,17,0,0,0,0,0,0,0,0,0,0,0
2018-05-09,2017-18,Premier League,Manchester City,Brighton,Home,3,1,W,Brahim Díaz,N,N/A,8,0,0,1,0,0,0,0,2,0,0,0
2018-05-13,2017-18,Premier League,Manchester City,Southampton,Away,1,0,W,Brahim Díaz,N,N/A,13,0,0,0,0,0,0,1,0,0,0,0
2019-01-13,2018-19,La Liga,Real Madrid,Real Betis,Away,2,1,W,Brahim Díaz,N,N/A,9,0,0,0,0,0,0,0,0,0,1,0
2019-03-31,2018-19,La Liga,Real Madrid,Huesca,Home,3,2,W,Brahim Díaz,Y,FW,63,0,1,0,0,0,0,2,3,0,0,0
2019-04-06,2018-19,La Liga,Real Madrid,Eibar,Home,2,1,W,Brahim Díaz,N,N/A,1,0,0,0,0,0,0,0,0,0,0,0
2019-04-21,2018-19,La Liga,Real Madrid,Athletic Club,Home,3,0,W,Brahim Díaz,N,N/A,7,0,0,1,1,0,0,0,0,0,0,0
2019-04-25,2018-19,La Liga,Real Madrid,Getafe,Away,0,0,D,Brahim Díaz,Y,FW,70,0,0,2,1,0,0,0,2,1,2,0
2019-04-28,2018-19,La Liga,Real Madrid,Rayo Vallecano,Away,0,1,L,Brahim Díaz,N,N/A,30,0,0,0,0,0,0,1,5,0,2,0
2019-05-05,2018-19,La Liga,Real Madrid,Villarreal,Home,3,2,W,Brahim Díaz,Y,FW,73,0,0,3,2,0,0,0,2,2,1,0
2019-05-12,2018-19,La Liga,Real Madrid,Real Sociedad,Away,1,3,L,Brahim Díaz,Y,FW,64,1,0,1,1,0,0,1,2,1,0,0
2019-05-19,2018-19,La Liga,Real Madrid,Real Betis,Home,0,2,L,Brahim Díaz,Y,FW,59,0,0,0,0,0,0,0,0,0,1,0
2019-10-19,2019-20,La Liga,Real Madrid,Mallorca,Away,0,1,L,Brahim Díaz,N,N/A,10,0,0,0,0,0,0,2,0,0,0,0
2019-11-09,2019-20,La Liga,Real Madrid,Eibar,Away,4,0,W,Brahim Díaz,N,N/A,10,0,0,0,0,0,0,1,0,0,0,0
2019-12-07,2019-20,La Liga,Real Madrid,Espanyol,Home,2,0,W,Brahim Díaz,N,N/A,6,0,0,0,0,0,0,1,0,0,0,0
2020-06-24,2019-20,La Liga,Real Madrid,Mallorca,Home,2,0,W,Brahim Díaz,N,N/A,8,0,0,1,1,0,0,0,0,0,0,0
2020-07-10,2019-20,La Liga,Real Madrid,Alavés,Home,2,0,W,Brahim Díaz,N,N/A,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-19,2019-20,La Liga,Real Madrid,Leganés,Away,2,2,D,Brahim Díaz,N,N/A,30,0,0,2,1,1,0,1,1,0,0,0
2020-09-21,2020-21,Serie A,Milan,Bologna,Home,2,0,W,Brahim Díaz,N,N/A,20,0,0,0,0,0,0,0,0,1,0,0
2020-09-27,2020-21,Serie A,Milan,Crotone,Away,2,0,W,Brahim Díaz,Y,AM,82,1,0,5,2,0,0,2,3,0,0,0
2020-10-04,2020-21,Serie A,Milan,Spezia,Home,3,0,W,Brahim Díaz,Y,AM,70,0,0,4,1,0,0,1,4,3,1,1
2020-11-01,2020-21,Serie A,Milan,Udinese,Away,2,1,W,Brahim Díaz,N,N/A,34,0,0,0,0,0,0,0,1,1,0,1
2020-11-08,2020-21,Serie A,Milan,Hellas Verona,Home,2,2,D,Brahim Díaz,N,N/A,13,0,1,0,0,0,0,0,0,1,0,0
2020-11-29,2020-21,Serie A,Milan,Fiorentina,Home,2,0,W,Brahim Díaz,Y,AM,73,0,0,1,0,0,0,1,1,0,1,0
2020-12-06,2020-21,Serie A,Milan,Sampdoria,Away,2,1,W,Brahim Díaz,Y,AM,45,0,0,1,0,0,0,2,1,0,0,0
2020-12-13,2020-21,Serie A,Milan,Parma,Home,2,2,D,Brahim Díaz,Y,AM,45,0,0,3,0,0,0,0,2,0,0,0
2020-12-16,2020-21,Serie A,Milan,Genoa,Away,2,2,D,Brahim Díaz,N,N/A,14,0,0,0,0,0,0,0,2,1,0,0
2020-12-20,2020-21,Serie A,Milan,Sassuolo,Away,2,1,W,Brahim Díaz,Y,AM,56,0,0,0,0,0,0,1,0,0,0,0
2021-01-03,2020-21,Serie A,Milan,Benevento,Away,2,0,W,Brahim Díaz,Y,AM,35,0,0,1,0,0,0,0,1,0,1,0
