Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2019-01-05,2018-2019,La Liga,Sevilla,Atlético Madrid,Home,1,1,D,Bryan Gil,N,,1,0,0,0,0,0,0,0,0,0,0,0
2019-01-13,2018-2019,La Liga,Sevilla,Athletic Club,Away,0,2,L,Bryan Gil,N,,4,0,0,1,0,0,0,0,0,0,0,0
2019-01-19,2018-2019,La Liga,Sevilla,Real Madrid,Away,0,2,L,Bryan Gil,N,,5,0,0,0,0,0,0,0,0,0,1,0
2019-02-10,2018-2019,La Liga,Sevilla,Eibar,Home,2,2,D,Bryan Gil,N,,17,0,0,1,0,0,0,1,1,0,0,0
2019-03-10,2018-2019,La Liga,Sevilla,Real Sociedad,Home,5,2,W,Bryan Gil,N,,16,0,0,0,0,0,0,0,0,1,1,0
2019-03-31,2018-2019,La Liga,Sevilla,Valencia,Home,0,1,L,Bryan Gil,N,,24,0,0,0,0,0,0,0,1,0,3,0
2019-04-07,2018-2019,La Liga,Sevilla,Valladolid,Home,2,0,W,Bryan Gil,N,,20,0,1,0,0,0,0,0,1,3,0,0
2019-04-25,2018-2019,La Liga,Sevilla,Rayo Vallecano,Home,5,0,W,Bryan Gil,N,,16,1,0,1,1,0,0,0,1,0,0,0
2019-04-28,2018-2019,La Liga,Sevilla,Girona,Away,0,1,L,Bryan Gil,N,,21,0,0,0,0,0,0,2,0,2,1,0
2019-05-01,2018-2019,La Liga,Sevilla,Leganés,Home,0,3,L,Bryan Gil,N,,21,0,0,1,0,0,0,0,3,0,1,0
2019-05-18,2018-2019,La Liga,Sevilla,Athletic Club,Home,2,0,W,Bryan Gil,N,,22,0,0,0,0,0,0,0,1,0,1,0
2019-08-30,2019-2020,La Liga,Sevilla,Celta Vigo,Home,1,1,D,Bryan Gil,N,,36,0,0,0,0,1,0,1,0,0,1,0
2019-12-01,2019-2020,La Liga,Sevilla,Leganés,Home,1,0,W,Bryan Gil,N,,29,0,0,0,0,1,0,0,0,0,1,0
2020-02-16,2019-2020,La Liga,Leganés,Real Betis,Home,0,0,D,Bryan Gil,N,,36,0,0,0,0,1,0,1,1,0,2,0
2020-02-22,2019-2020,La Liga,Leganés,Celta Vigo,Away,0,1,L,Bryan Gil,N,,24,0,0,1,0,0,0,2,1,0,0,1
2020-02-29,2019-2020,La Liga,Leganés,Alavés,Home,1,1,D,Bryan Gil,N,,33,0,0,0,0,1,0,3,2,1,1,0
2020-06-13,2019-2020,La Liga,Leganés,Valladolid,Home,1,2,L,Bryan Gil,N,,32,0,0,0,0,0,0,0,1,0,1,1
2020-06-16,2019-2020,La Liga,Leganés,Barcelona,Away,0,2,L,Bryan Gil,N,,6,0,0,0,0,0,0,0,0,0,0,0
2020-06-19,2019-2020,La Liga,Leganés,Mallorca,Away,1,1,D,Bryan Gil,N,,35,0,0,2,0,0,0,1,1,0,6,1
2020-06-22,2019-2020,La Liga,Leganés,Granada,Home,0,0,D,Bryan Gil,N,,9,0,0,0,0,0,0,0,0,0,1,0
2020-06-27,2019-2020,La Liga,Leganés,Osasuna,Away,1,2,L,Bryan Gil,Y,CM,60,0,0,3,2,0,0,2,2,0,6,0
2020-06-30,2019-2020,La Liga,Leganés,Sevilla,Home,0,3,L,Bryan Gil,Y,FW,79,0,0,1,0,0,0,0,0,0,2,1
2020-07-12,2019-2020,La Liga,Leganés,Valencia,Home,1,0,W,Bryan Gil,N,,64,0,0,2,0,0,0,1,0,1,1,1
2020-07-16,2019-2020,La Liga,Leganés,Athletic Club,Away,2,0,W,Bryan Gil,Y,LM,90,0,0,2,0,0,0,0,1,0,2,0
2020-07-19,2019-2020,La Liga,Leganés,Real Madrid,Home,2,2,D,Bryan Gil,Y,LM,90,1,0,3,2,0,0,0,3,0,8,0
2020-09-27,2020-2021,La Liga,Sevilla,Cádiz,Away,3,1,W,Bryan Gil,N,,13,0,0,0,0,0,0,1,0,0,1,1
2020-10-18,2020-2021,La Liga,Eibar,Osasuna,Home,0,0,D,Bryan Gil,N,,21,0,0,2,2,0,0,0,2,0,2,0
2020-10-24,2020-2021,La Liga,Eibar,Sevilla,Away,1,0,W,Bryan Gil,Y,,84,0,0,0,0,0,0,1,3,0,2,1
2020-10-30,2020-2021,La Liga,Eibar,Cádiz,Home,0,2,L,Bryan Gil,Y,AM,90,0,0,2,0,0,0,1,2,0,14,3
2020-11-07,2020-2021,La Liga,Eibar,Huesca,Away,1,1,D,Bryan Gil,Y,AM,85,0,0,1,0,0,0,2,3,0,5,0
2020-11-22,2020-2021,La Liga,Eibar,Getafe,Home,0,0,D,Bryan Gil,Y,LM,90,0,0,1,0,0,0,0,4,0,10,0
2020-11-30,2020-2021,La Liga,Eibar,Real Betis,Away,2,0,W,Bryan Gil,Y,AM,89,0,0,2,2,1,0,4,1,10,3,1
2020-12-07,2020-2021,La Liga,Eibar,Valencia,Home,0,0,D,Bryan Gil,Y,LM,90,0,0,2,0,0,0,1,0,0,17,2
2020-12-13,2020-2021,La Liga,Eibar,Real Sociedad,Away,1,1,D,Bryan Gil,Y,LM,89,0,0,2,0,0,0,1,4,0,15,0
