Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2023-08-14,2023-2024,La Liga,Granada,Atlético Madrid,Away,1,3,Loss,Bryan Zaragoza,No,FW,10,0,0,0,0,0,0,0,1,1,1,0
2023-08-21,2023-2024,La Liga,Granada,Rayo Vallecano,Home,0,2,Loss,Bryan Zaragoza,Yes,FW,90,0,0,4,2,0,0,0,0,3,2,1
2023-08-26,2023-2024,La Liga,Granada,Mallorca,Home,3,2,Win,Bryan Zaragoza,Yes,FW,71,1,0,1,1,0,0,0,0,3,0,0
2023-09-02,2023-2024,La Liga,Granada,Real Sociedad,Away,3,5,Loss,Bryan Zaragoza,Yes,FW,90,1,0,3,3,1,0,1,0,6,0,0
2023-09-18,2023-2024,La Liga,Granada,Girona,Home,2,4,Loss,Bryan Zaragoza,Yes,RM,82,0,0,0,0,0,0,1,1,5,0,0
2023-09-24,2023-2024,La Liga,Granada,Las Palmas,Away,0,1,Loss,Bryan Zaragoza,No,FW,18,0,0,0,0,0,0,0,0,2,0,0
2023-09-28,2023-2024,La Liga,Granada,Real Betis,Home,1,1,Draw,Bryan Zaragoza,No,FW,53,0,1,2,1,0,0,1,1,4,0,0
2023-10-01,2023-2024,La Liga,Granada,Almería,Away,3,3,Draw,Bryan Zaragoza,Yes,LM,90,1,0,2,1,0,0,0,1,2,0,0
2023-10-08,2023-2024,La Liga,Granada,Barcelona,Home,2,2,Draw,Bryan Zaragoza,Yes,LM,90,2,0,3,2,1,0,0,1,2,1,0
2023-10-20,2023-2024,La Liga,Granada,Osasuna,Away,0,2,Loss,Bryan Zaragoza,Yes,AM,90,0,0,2,1,1,0,1,1,5,0,0
2023-10-30,2023-2024,La Liga,Granada,Villarreal,Home,2,3,Loss,Bryan Zaragoza,Yes,AM,90,0,1,2,2,0,0,0,2,12,0,0
2023-11-05,2023-2024,La Liga,Granada,Valencia,Away,0,1,Loss,Bryan Zaragoza,Yes,CM,90,0,0,1,0,1,0,0,5,3,0,0
2023-11-11,2023-2024,La Liga,Granada,Getafe,Home,1,1,Draw,Bryan Zaragoza,Yes,LW,73,0,0,1,1,1,0,1,0,5,0,0
2023-12-02,2023-2024,La Liga,Granada,Real Madrid,Away,0,2,Loss,Bryan Zaragoza,Yes,LM,82,0,0,0,0,0,0,0,0,1,0,0
2023-12-11,2023-2024,La Liga,Granada,Athletic Club,Home,1,1,Draw,Bryan Zaragoza,Yes,AM,90,0,0,1,1,0,0,0,3,3,1,0
2023-12-16,2023-2024,La Liga,Granada,Celta Vigo,Away,0,1,Loss,Bryan Zaragoza,Yes,AM,90,0,0,3,0,0,0,0,5,6,0,0
2023-12-19,2023-2024,La Liga,Granada,Sevilla,Home,0,3,Loss,Bryan Zaragoza,Yes,LW,90,0,0,0,0,0,0,0,1,11,0,2
2024-01-03,2023-2024,La Liga,Granada,Cádiz,Home,2,0,Win,Bryan Zaragoza,Yes,RM,90,1,0,3,2,0,0,3,0,7,1,0
2024-01-13,2023-2024,La Liga,Granada,Real Betis,Away,0,1,Loss,Bryan Zaragoza,Yes,RM,90,0,0,1,1,0,0,2,1,6,1,0
2024-01-22,2023-2024,La Liga,Granada,Atlético Madrid,Home,0,1,Loss,Bryan Zaragoza,Yes,FW,79,0,0,1,0,0,0,1,0,6,1,0
2024-01-29,2023-2024,La Liga,Granada,Getafe,Away,0,2,Loss,Bryan Zaragoza,Yes,FW,90,0,0,3,1,0,0,1,2,6,0,0
