Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2023-08-19,2023-2024,La Liga,Celta Vigo,Real Sociedad,Away,1,1,D,Carl Starfelt,Y,CB,90,0,0,1,1,0,0,1,0,0,1,0
2023-08-25,2023-2024,La Liga,Celta Vigo,Real Madrid,Home,0,1,L,Carl Starfelt,Y,CB,90,0,0,0,0,0,0,1,0,0,0,0
2023-09-01,2023-2024,La Liga,Celta Vigo,Almería,Away,3,2,W,Carl Starfelt,Y,CB,90,0,0,1,1,0,0,0,0,0,1,3
2023-09-16,2023-2024,La Liga,Celta Vigo,Mallorca,Home,0,1,L,Carl Starfelt,Y,CB,90,0,0,1,0,0,0,1,0,0,0,1
2023-09-23,2023-2024,La Liga,Celta Vigo,Barcelona,Away,2,3,L,Carl Starfelt,Y,CB,90,0,0,0,0,0,0,0,0,0,2,1
2023-09-28,2023-2024,La Liga,Celta Vigo,Alavés,Home,1,1,D,Carl Starfelt,Y,CB,90,0,0,0,0,0,0,1,0,0,0,1
2023-10-02,2023-2024,La Liga,Celta Vigo,Las Palmas,Away,1,2,L,Carl Starfelt,Y*,CB,90,0,0,0,1,0,0,1,0,0,2,3
2023-10-08,2023-2024,La Liga,Celta Vigo,Getafe,Home,2,2,D,Carl Starfelt,Y,CB,90,0,0,2,1,0,0,1,0,0,1,3
2023-10-21,2023-2024,La Liga,Celta Vigo,Atlético Madrid,Home,0,3,L,Carl Starfelt,Y,CB,90,0,0,0,0,1,0,1,0,0,1,0
2023-10-27,2023-2024,La Liga,Celta Vigo,Girona,Away,0,1,L,Carl Starfelt,Y,CB,90,0,0,0,0,0,0,0,0,0,1,2
2023-11-04,2023-2024,La Liga,Celta Vigo,Sevilla,Home,1,1,D,Carl Starfelt,Y,CB,90,1,0,2,1,0,0,0,0,0,0,1
2023-11-10,2023-2024,La Liga,Celta Vigo,Athletic Club,Away,3,4,L,Carl Starfelt,Y,CB,90,0,0,0,0,0,0,1,0,0,1,0
