Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2017-04-02,2016-2017,La Liga,Barcelona,Granada,Away,4,1,W,Carles Aleñá,N,,4,0,0,0,0,0,0,1,0,0,0,0
2017-04-05,2016-2017,La Liga,Barcelona,Sevilla,Home,3,0,W,Carles Aleñá,N,,11,0,0,0,0,1,0,1,0,0,0,1
2017-04-26,2016-2017,La Liga,Barcelona,Osasuna,Home,7,1,W,Carles Aleñá,N,,28,0,0,1,0,0,0,0,0,0,0,0
2018-11-11,2018-2019,La Liga,Barcelona,Real Betis,Home,3,4,L,Carles Aleñá,N,Sub,22,0,0,1,0,0,0,0,0,2,0,0
2018-12-02,2018-2019,La Liga,Barcelona,Villarreal,Home,2,0,W,Carles Aleñá,N,Sub,21,1,0,1,1,0,0,2,0,0,0,0
2018-12-22,2018-2019,La Liga,Barcelona,Celta Vigo,Home,2,0,W,Carles Aleñá,N,Sub,5,0,0,0,0,0,0,0,0,0,0,0
2019-01-06,2018-2019,La Liga,Barcelona,Getafe,Away,2,1,W,Carles Aleñá,N,Sub,3,0,0,0,0,0,0,0,0,0,0,0
2019-01-20,2018-2019,La Liga,Barcelona,Leganés,Home,3,1,W,Carles Aleñá,Y,CM,63,0,0,0,0,1,0,2,0,0,0,1
2019-02-02,2018-2019,La Liga,Barcelona,Valencia,Home,2,2,D,Carles Aleñá,Y,CM,65,0,0,1,1,0,0,1,0,0,0,0
2019-02-10,2018-2019,La Liga,Barcelona,Athletic Club,Away,0,0,D,Carles Aleñá,N,Sub,28,0,0,1,0,0,0,0,0,0,1,0
2019-02-16,2018-2019,La Liga,Barcelona,Valladolid,Home,1,0,W,Carles Aleñá,Y,CM,75,0,0,0,0,0,0,3,0,0,0,0
2019-02-23,2018-2019,La Liga,Barcelona,Sevilla,Away,4,2,W,Carles Aleñá,N,Sub,12,0,0,2,0,0,0,0,0,0,0,0
2019-03-17,2018-2019,La Liga,Barcelona,Real Betis,Away,4,1,W,Carles Aleñá,N,Sub,3,0,0,0,0,0,0,0,0,0,0,0
2019-04-02,2018-2019,La Liga,Barcelona,Villarreal,Away,4,4,D,Carles Aleñá,N,Sub,18,0,0,0,0,1,0,1,0,0,0,0
