Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2019-05-19,2018-2019,La Liga,Barcelona,Eibar,Away,2,2,D,Carles Pérez,N,-,18,0,0,1,0,0,0,0,0,0,0,0
2019-08-16,2019-2020,La Liga,Barcelona,Athletic Club,Away,0,1,L,Carles Pérez,N,,15,0,0,0,0,0,0,0,0,0,0,0
2019-08-25,2019-2020,La Liga,Barcelona,Real Betis,Home,5,2,W,Carles Pérez,Y,FW,77,1,0,5,1,0,0,0,1,0,6,2
2019-08-31,2019-2020,La Liga,Barcelona,Osasuna,Away,2,2,D,Carles Pérez,Y,FW,90,0,2,3,1,0,0,1,1,0,1,0
2019-09-14,2019-2020,La Liga,Barcelona,Valencia,Home,5,2,W,Carles Pérez,Y,FW,90,0,0,2,1,0,0,0,1,0,3,1
2019-09-21,2019-2020,La Liga,Barcelona,Granada,Away,0,2,L,Carles Pérez,Y,FW,45,0,0,0,0,0,0,1,0,0,3,0
2019-09-28,2019-2020,La Liga,Barcelona,Getafe,Away,2,0,W,Carles Pérez,Y,FW,85,0,0,3,2,0,0,1,0,0,2,0
2019-11-02,2019-2020,La Liga,Barcelona,Levante,Away,1,3,L,Carles Pérez,N,,50,0,0,0,0,0,0,0,0,2,1,0
2019-12-07,2019-2020,La Liga,Barcelona,Mallorca,Home,5,2,W,Carles Pérez,N,,6,0,0,1,1,0,0,0,0,0,0,0
2019-12-21,2019-2020,La Liga,Barcelona,Alavés,Home,4,1,W,Carles Pérez,N,,6,0,0,0,0,0,0,0,0,0,1,0
2020-01-19,2019-2020,La Liga,Barcelona,Granada,Home,1,0,W,Carles Pérez,N,,12,0,0,0,0,0,0,1,1,0,0,0
2020-02-01,2019-2020,Serie A,Roma,Sassuolo,Away,2,4,L,Carles Pérez,N,-,25,0,0,0,0,0,0,0,0,0,1,1
2020-02-07,2019-2020,Serie A,Roma,Bologna,Home,2,3,L,Carles Pérez,N,-,34,0,0,3,1,0,0,1,0,0,1,2
2020-02-15,2019-2020,Serie A,Roma,Atalanta,Away,1,2,L,Carles Pérez,N,-,29,0,0,0,0,0,0,2,0,0,1,0
2020-02-23,2019-2020,Serie A,Roma,Lecce,Home,4,0,W,Carles Pérez,N,-,30,0,1,0,0,0,0,0,1,0,1,0
2020-03-01,2019-2020,Serie A,Roma,Cagliari,Away,4,3,W,Carles Pérez,N,-,15,0,0,0,0,0,0,0,0,0,1,0
2020-06-24,2019-2020,Serie A,Roma,Sampdoria,Home,2,1,W,Carles Pérez,Y,AM,71,0,0,0,0,0,0,1,2,0,1,0
2020-06-28,2019-2020,Serie A,Roma,Milan,Away,0,2,L,Carles Pérez,N,-,33,0,0,0,0,0,0,2,0,0,1,0
2020-07-02,2019-2020,Serie A,Roma,Udinese,Home,0,2,L,Carles Pérez,Y,AM,90,0,0,0,0,0,0,2,0,0,1,0
2020-07-08,2019-2020,Serie A,Roma,Parma,Home,2,1,W,Carles Pérez,N,-,8,0,0,0,0,0,0,0,0,0,0,0
2020-07-11,2019-2020,Serie A,Roma,Brescia,Away,3,0,W,Carles Pérez,Y,AM,66,0,1,0,0,0,0,1,2,0,0,0
2020-07-19,2019-2020,Serie A,Roma,Inter,Home,2,2,D,Carles Pérez,N,-,7,0,0,0,0,0,0,1,0,0,0,0
2020-07-22,2019-2020,Serie A,Roma,SPAL,Away,6,1,W,Carles Pérez,Y,AM,77,1,0,0,0,0,0,1,1,0,1,1
2020-07-26,2019-2020,Serie A,Roma,Fiorentina,Home,2,1,W,Carles Pérez,N,-,9,0,0,0,0,0,0,3,1,0,1,0
2020-07-29,2019-2020,Serie A,Roma,Torino,Away,3,2,W,Carles Pérez,Y,AM,72,0,1,0,0,0,0,2,0,0,3,1
2020-10-03,2020-2021,Serie A,Roma,Udinese,Away,1,0,W,Carles Pérez,N,-,20,0,0,0,0,0,0,1,0,0,1,0
2020-10-18,2020-2021,Serie A,Roma,Benevento,Home,5,2,W,Carles Pérez,N,-,13,1,0,1,1,0,0,1,0,0,1,0
2020-11-01,2020-2021,Serie A,Roma,Fiorentina,Home,2,0,W,Carles Pérez,N,-,20,0,0,0,0,0,0,0,0,0,0,0
2020-11-22,2020-2021,Serie A,Roma,Parma,Home,3,0,W,Carles Pérez,N,-,26,0,0,2,0,0,0,1,0,0,0,0
2020-11-29,2020-2021,Serie A,Roma,Napoli,Away,0,4,L,Carles Pérez,N,-,20,0,0,1,0,0,0,0,0,0,0,1
2020-12-13,2020-2021,Serie A,Roma,Bologna,Away,5,1,W,Carles Pérez,N,-,9,0,0,0,0,0,0,0,0,0,0,0
2020-12-20,2020-2021,Serie A,Roma,Atalanta,Away,1,4,L,Carles Pérez,N,-,10,0,0,0,0,0,0,0,0,0,0,1
2021-01-03,2020-2021,Serie A,Roma,Sampdoria,Home,1,0,W,Carles Pérez,N,-,9,0,0,1,0,0,0,1,0,0,0,0
2021-01-06,2020-2021,Serie A,Roma,Crotone,Away,3,1,W,Carles Pérez,Y,AM,90,0,0,0,0,0,0,0,1,0,2,1
2021-01-23,2020-2021,Serie A,Roma,Spezia,Home,4,3,W,Carles Pérez,Y,AM,88,0,0,1,0,0,0,2,0,0,0,1
2021-01-31,2020-2021,Serie A,Roma,Hellas Verona,Home,3,1,W,Carles Pérez,N,-,5,0,0,0,0,0,0,0,0,0,1,0
2021-02-06,2020-2021,Serie A,Roma,Juventus,Away,0,2,L,Carles Pérez,N,-,28,0,0,1,1,0,0,2,0,0,0,0
2021-03-07,2020-2021,Serie A,Roma,Genoa,Home,1,0,W,Carles Pérez,N,-,17,0,0,0,0,0,0,0,1,0,0,1
2021-03-14,2020-2021,Serie A,Roma,Parma,Away,0,2,L,Carles Pérez,N,-,31,0,0,2,1,0,0,2,0,0,2,0
2021-03-21,2020-2021,Serie A,Roma,Napoli,Home,0,2,L,Carles Pérez,N,-,24,0,0,1,0,0,0,1,0,0,0,1
2021-04-03,2020-2021,Serie A,Roma,Sassuolo,Away,2,2,D,Carles Pérez,Y,FW,90,0,0,3,2,0,0,1,1,0,3,0
2021-04-11,2020-2021,Serie A,Roma,Bologna,Home,1,0,W,Carles Pérez,Y,AM,75,0,0,1,0,0,0,0,0,0,5,0
2021-04-18,2020-2021,Serie A,Roma,Torino,Away,1,3,L,Carles Pérez,Y,AM,90,0,0,1,1,0,0,2,1,0,5,0
2021-04-22,2020-2021,Serie A,Roma,Atalanta,Home,1,1,D,Carles Pérez,N,-,15,0,0,2,1,0,0,0,0,0,0,0
2021-04-25,2020-2021,Serie A,Roma,Cagliari,Away,3,2,W,Carles Pérez,Y,AM,90,1,1,6,1,0,0,0,0,0,8,1
2021-05-12,2020-2021,Serie A,Roma,Inter,Away,1,3,L,Carles Pérez,N,-,3,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,2021-2022,Serie A,Roma,Fiorentina,Home,3,1,W,Carles Pérez,N,,7,0,0,0,0,0,0,0,0,1,0,0
2021-08-29,2021-2022,Serie A,Roma,Salernitana,Away,4,0,W,Carles Pérez,Y,AM,76,0,1,4,0,1,0,2,0,7,0,0
2021-09-12,2021-2022,Serie A,Roma,Sassuolo,Home,2,1,W,Carles Pérez,N,,17,0,0,0,0,0,0,1,1,0,1,0
2021-09-19,2021-2022,Serie A,Roma,Hellas Verona,Away,2,3,L,Carles Pérez,N,,25,0,0,2,1,0,0,1,0,2,0,0
2021-09-26,2021-2022,Serie A,Roma,Lazio,Away,2,3,L,Carles Pérez,N,,14,0,0,0,0,0,0,1,0,0,0,0
2021-10-31,2021-2022,Serie A,Roma,Milan,Home,1,2,L,Carles Pérez,N,,23,0,0,3,1,0,0,0,0,0,1,0
2021-11-07,2021-2022,Serie A,Roma,Venezia,Away,2,3,L,Carles Pérez,N,,25,0,0,2,0,0,0,0,0,0,0,0
2021-11-28,2021-2022,Serie A,Roma,Torino,Home,1,0,W,Carles Pérez,N,,75,0,0,1,0,0,0,1,1,2,0,0
2021-12-01,2021-2022,Serie A,Roma,Bologna,Away,0,1,L,Carles Pérez,N,,45,0,0,0,0,1,0,2,1,0,1,0
2022-01-06,2021-2022,Serie A,Roma,Milan,Away,1,3,L,Carles Pérez,N,,6,0,0,0,0,0,0,0,0,0,0,0
2022-01-09,2021-2022,Serie A,Roma,Juventus,Home,3,4,L,Carles Pérez,N,,13,0,0,1,0,0,0,2,0,0,0,0
