Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2021-11-20,2021-2022,La Liga,Atlético Madrid,Osasuna,Home,1,0,W,Carlos Martín,N,,6,0,0,0,0,1,0,1,0,0,0,0
2023-03-04,2022-2023,La Liga,Atlético Madrid,Sevilla,Home,6,1,W,Carlos Martín,N,,5,0,0,0,0,0,0,0,0,0,0,0
2023-05-14,2022-2023,La Liga,Atlético Madrid,Elche,Away,0,1,L,Carlos Martín,N,,9,0,0,0,1,0,0,0,0,2,0,0
2023-05-21,2022-2023,La Liga,Atlético Madrid,Osasuna,Home,3,0,W,Carlos Martín,N,,1,0,0,0,0,0,0,1,0,0,0,0
2023-05-24,2022-2023,La Liga,Atlético Madrid,Espanyol,Away,3,3,D,Carlos Martín,N,,13,0,0,0,0,1,0,1,1,0,2,1
2024-08-25,2024-2025,La Liga,Alavés,Real Betis,Home,0,0,D,Carlos Martín,N,,30,0,0,0,0,0,0,1,0,0,0,0
2024-09-01,2024-2025,La Liga,Alavés,Las Palmas,Home,2,1,W,Carlos Martín,N,,27,0,0,0,0,0,0,0,0,1,0,0
2024-09-20,2024-2025,La Liga,Alavés,Sevilla,Home,2,1,W,Carlos Martín,Y,AM,76,1,0,1,1,0,0,2,0,0,2,0
2024-09-28,2024-2025,La Liga,Alavés,Getafe,Away,0,2,L,Carlos Martín,Y,AM,45,0,0,0,0,0,0,1,0,0,0,0
2024-10-26,2024-2025,La Liga,Alavés,Rayo Vallecano,Away,0,1,L,Carlos Martín,Y,LM,72,0,0,3,1,0,0,0,1,1,0,0
2024-11-01,2024-2025,La Liga,Alavés,Mallorca,Home,1,0,W,Carlos Martín,N,,1,0,0,1,1,0,0,0,0,0,0,0
2024-11-09,2024-2025,La Liga,Alavés,Villarreal,Away,0,3,L,Carlos Martín,N,,39,0,0,1,0,1,0,2,0,4,0,0
2024-11-23,2024-2025,La Liga,Alavés,Atlético Madrid,Away,1,2,L,Carlos Martín,Y,AM,84,0,0,1,0,0,0,2,0,0,1,0
2024-11-30,2024-2025,La Liga,Alavés,Leganés,Home,1,1,D,Carlos Martín,Y,FW,69,0,0,2,1,0,0,2,0,1,1,0
2024-12-08,2024-2025,La Liga,Alavés,Osasuna,Away,2,2,D,Carlos Martín,Y,DM,66,0,1,1,0,0,0,2,1,2,5,1
2024-12-15,2024-2025,La Liga,Alavés,Athletic Club,Home,1,1,D,Carlos Martín,Y,AM,60,0,0,1,1,0,0,2,0,0,0,0
2024-12-22,2024-2025,La Liga,Alavés,Valencia,Away,2,2,D,Carlos Martín,Y,LM,80,1,0,3,1,1,0,1,0,2,1,1
2025-01-11,2024-2025,La Liga,Alavés,Girona,Home,0,1,L,Carlos Martín,Y,LM,29,0,0,0,0,0,0,0,0,0,1,1
2025-01-27,2024-2025,La Liga,Alavés,Celta Vigo,Home,1,1,D,Carlos Martín,N,,20,0,0,0,0,0,0,0,0,0,0,0
2025-02-02,2024-2025,La Liga,Alavés,Barcelona,Away,0,1,L,Carlos Martín,N,,77,0,0,1,0,0,0,3,1,3,2,1
2025-02-09,2024-2025,La Liga,Alavés,Getafe,Home,0,1,L,Carlos Martín,Y,LM,62,0,0,2,1,0,0,1,1,1,1,0
2025-03-02,2024-2025,La Liga,Alavés,Mallorca,Away,1,1,D,Carlos Martín,Y,AM,90,0,1,5,4,0,0,1,0,2,1,1
2025-03-08,2024-2025,La Liga,Alavés,Villarreal,Home,1,0,W,Carlos Martín,Y,FW,66,0,0,1,0,0,0,0,0,2,0,0
2025-03-14,2024-2025,La Liga,Alavés,Las Palmas,Away,2,2,D,Carlos Martín,Y,FW,76,0,0,1,0,0,0,2,0,0,0,0
2025-03-29,2024-2025,La Liga,Alavés,Rayo Vallecano,Home,0,2,L,Carlos Martín,N,,32,0,0,0,0,0,0,0,0,0,2,1
2025-04-05,2024-2025,La Liga,Alavés,Girona,Away,1,0,W,Carlos Martín,Y,AM,80,0,0,1,0,0,0,2,0,1,0,0
2025-04-13,2024-2025,La Liga,Alavés,Real Madrid,Home,0,1,L,Carlos Martín,Y,AM,59,0,0,1,1,1,0,2,1,2,2,0
2025-04-20,2024-2025,La Liga,Alavés,Sevilla,Away,1,1,D,Carlos Martín,N,,22,0,0,0,0,0,0,0,1,0,0,0
2025-04-23,2024-2025,La Liga,Alavés,Real Sociedad,Home,1,0,W,Carlos Martín,Y,AM,45,0,0,0,0,0,0,3,0,0,1,0
2025-05-11,2024-2025,La Liga,Alavés,Athletic Club,Away,0,1,L,Carlos Martín,N,,14,0,0,0,0,0,0,1,0,0,0,0
2025-05-24,2024-2025,La Liga,Alavés,Osasuna,Home,1,1,D,Carlos Martín,N,,12,0,0,0,0,0,0,1,0,0,1,0
