Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2023-09-17,2023-24,La Liga,Villarreal,Almería,Home,2,1,W,Carlos Romero,Y,LB,61,0,0,1,0,0,0,0,0,0,5,1
2023-09-24,2023-24,La Liga,Villarreal,Rayo Vallecano,Away,1,1,D,Carlos Romero,N,LB,2,0,0,0,0,0,1,0,0,0,0,0
2023-10-30,2023-24,La Liga,Villarreal,Granada,Away,3,2,W,Carlos Romero,N,LB,45,0,0,0,0,1,0,1,2,0,0,1
2023-11-05,2023-24,La Liga,Villarreal,Athletic Club,Home,2,3,L,Carlos Romero,Y,LB,45,0,0,0,0,1,1,0,1,1,1,0
2023-11-12,2023-24,La Liga,Villarreal,Atlético Madrid,Away,1,3,L,Carlos Romero,N,LB,17,0,0,0,0,0,0,0,0,0,0,0
2023-12-20,2023-24,La Liga,Villarreal,Celta Vigo,Home,3,2,W,Carlos Romero,N,LB,69,0,0,1,1,0,0,0,2,0,4,3
2024-03-17,2023-24,La Liga,Villarreal,Valencia,Home,1,0,W,Carlos Romero,N,LB,23,0,0,0,0,0,0,0,0,1,0,0
2024-08-19,2024-25,La Liga,Espanyol,Valladolid,Away,0,1,L,Carlos Romero,Y,LB,90,0,0,0,0,0,0,0,1,0,1,1
2024-08-24,2024-25,La Liga,Espanyol,Real Sociedad,Home,0,1,L,Carlos Romero,Y,LB,86,0,0,2,0,0,0,0,7,1,1,0
2024-08-28,2024-25,La Liga,Espanyol,Atlético Madrid,Away,0,0,D,Carlos Romero,Y,LB,63,0,0,0,0,0,0,1,2,2,1,0
2024-08-31,2024-25,La Liga,Espanyol,Rayo Vallecano,Home,2,1,W,Carlos Romero,Y,LM,90,1,0,2,1,0,0,2,3,3,1,0
2024-09-14,2024-25,La Liga,Espanyol,Alavés,Home,3,2,W,Carlos Romero,Y,LB,84,0,0,2,0,0,0,1,2,1,0,0
2024-09-21,2024-25,La Liga,Espanyol,Real Madrid,Away,1,4,L,Carlos Romero,Y,LB,90,0,0,1,0,1,0,3,0,3,2,1
2024-09-26,2024-25,La Liga,Espanyol,Villarreal,Home,1,2,L,Carlos Romero,N,LB,27,0,0,0,0,1,0,1,3,0,0,0
