Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2024-01-02,2023-2024,La Liga,Alavés,Real Sociedad,Away,1,1,D,Carlos Vicente,N,,34,0,0,0,0,0,0,0,0,2,0,0
2024-01-12,2023-2024,La Liga,Alavés,Sevilla,Away,3,2,W,Carlos Vicente,Y,AM,89,0,1,1,1,0,0,2,0,8,0,1
2024-01-19,2023-2024,La Liga,Alavés,Cádiz,Home,1,0,W,Carlos Vicente,Y,AM,75,0,0,2,0,0,0,0,0,4,1,0
2024-01-26,2023-2024,La Liga,Alavés,Almería,Away,3,0,W,Carlos Vicente,Y,AM,88,0,1,1,0,0,0,1,0,4,1,0
2024-02-10,2023-2024,La Liga,Alavés,Villarreal,Home,1,1,D,Carlos Vicente,N,,22,0,0,1,0,0,0,0,0,2,0,1
2024-02-18,2023-2024,La Liga,Alavés,Real Betis,Away,0,0,D,Carlos Vicente,N,,24,0,0,1,0,0,0,0,0,7,0,0
2024-02-24,2023-2024,La Liga,Alavés,Mallorca,Home,1,1,D,Carlos Vicente,N,,31,0,0,0,0,0,0,1,0,2,0,0
2024-03-04,2023-2024,La Liga,Alavés,Osasuna,Away,0,1,L,Carlos Vicente,N,,45,0,0,1,0,1,0,2,0,3,1,0
2024-03-10,2023-2024,La Liga,Alavés,Rayo Vallecano,Home,1,0,W,Carlos Vicente,Y,AM,77,0,0,1,1,0,0,1,1,6,0,0
2024-03-16,2023-2024,La Liga,Alavés,Athletic Club,Away,0,2,L,Carlos Vicente,Y,AM,90,0,0,2,1,0,0,1,0,4,0,1
2024-03-31,2023-2024,La Liga,Alavés,Real Sociedad,Home,0,1,L,Carlos Vicente,Y,AM,74,0,0,0,0,0,0,0,0,1,0,1
2024-04-14,2023-2024,La Liga,Alavés,Granada,Away,0,2,L,Carlos Vicente,Y,AM,45,0,0,0,0,0,0,1,1,4,0,0
2024-04-21,2023-2024,La Liga,Alavés,Atlético Madrid,Home,2,0,W,Carlos Vicente,N,,12,0,1,0,0,0,0,0,0,1,0,0
2024-04-27,2023-2024,La Liga,Alavés,Celta Vigo,Home,3,0,W,Carlos Vicente,Y,AM,81,0,0,1,1,0,0,1,1,13,2,0
2024-05-05,2023-2024,La Liga,Alavés,Valencia,Away,1,0,W,Carlos Vicente,Y,AM,88,0,1,0,0,0,0,2,0,14,1,0
2024-05-10,2023-2024,La Liga,Alavés,Girona,Home,2,2,D,Carlos Vicente,Y,AM,62,0,0,1,1,0,0,3,0,4,0,0
2024-05-18,2023-2024,La Liga,Alavés,Getafe,Home,1,0,W,Carlos Vicente,Y,AM,87,1,0,1,1,0,0,1,1,5,0,0
2024-05-26,2023-2024,La Liga,Alavés,Las Palmas,Away,1,1,D,Carlos Vicente,Y,AM,90,1,0,2,2,0,0,2,1,6,1,1
2024-08-16,2024-2025,La Liga,Alavés,Celta Vigo,Away,1,2,L,Carlos Vicente,Y,RB,90,0,0,0,0,0,0,0,1,4,2,2
2024-08-25,2024-2025,La Liga,Alavés,Real Betis,Home,0,0,D,Carlos Vicente,Y,RM,87,0,0,0,0,0,0,0,0,8,0,0
2024-08-28,2024-2025,La Liga,Alavés,Real Sociedad,Away,2,1,W,Carlos Vicente,Y,AM,89,0,0,1,0,0,0,0,0,10,1,0
2024-09-01,2024-2025,La Liga,Alavés,Las Palmas,Home,2,0,W,Carlos Vicente,Y,RM,81,1,0,3,2,0,0,0,0,10,1,0
2024-09-14,2024-2025,La Liga,Alavés,Espanyol,Away,2,3,L,Carlos Vicente,Y,FW,90,0,0,2,0,0,0,1,0,11,1,0
2024-09-20,2024-2025,La Liga,Alavés,Sevilla,Home,2,1,W,Carlos Vicente,Y,AM,90,1,0,2,1,0,0,0,1,2,0,0
