Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2019-05-12,2018-2019,La Liga,Rayo Vallecano,Valladolid,Home,1,2,Loss,Catena,Yes,CB,86,0,0,3,1,0,0,1,0,0,3,4
2019-05-18,2018-2019,La Liga,Rayo Vallecano,Celta Vigo,Away,2,2,Draw,Catena,Yes,CB,90,0,0,0,0,1,0,3,2,0,1,4
2021-08-15,2021-2022,La Liga,Rayo Vallecano,Sevilla,Away,0,3,Loss,Catena,Yes,CB,90,0,0,0,0,0,0,0,0,0,2,2
2021-08-22,2021-2022,La Liga,Rayo Vallecano,Real Sociedad,Away,0,1,Loss,Catena,Yes,CB,90,0,0,0,0,0,0,2,1,0,2,2
2021-08-29,2021-2022,La Liga,Rayo Vallecano,Granada,Home,4,0,Win,Catena,Yes,CB,90,0,0,1,0,0,0,0,1,0,1,3
2021-09-11,2021-2022,La Liga,Rayo Vallecano,Levante,Away,1,1,Draw,Catena,Yes,CB,90,0,0,0,0,0,0,1,0,0,1,1
2021-09-18,2021-2022,La Liga,Rayo Vallecano,Getafe,Home,3,0,Win,Catena,Yes,CB,90,0,1,1,1,0,0,0,1,0,0,4
2021-09-21,2021-2022,La Liga,Rayo Vallecano,Athletic Club,Away,2,1,Win,Catena,Yes,CB,90,0,0,0,0,1,0,1,1,0,2,2
2021-09-26,2021-2022,La Liga,Rayo Vallecano,Cádiz,Home,3,1,Win,Catena,Yes,CB,90,0,0,1,0,0,0,0,1,0,0,0
2021-10-02,2021-2022,La Liga,Rayo Vallecano,Osasuna,Away,0,1,Loss,Catena,Yes,CB,90,0,0,1,0,0,0,0,1,0,3,0
2021-10-17,2021-2022,La Liga,Rayo Vallecano,Elche,Home,2,1,Win,Catena,Yes,CB,90,0,0,0,0,0,0,0,0,1,0,2
2021-10-24,2021-2022,La Liga,Rayo Vallecano,Real Betis,Away,2,3,Loss,Catena,Yes,CB,90,0,0,0,0,0,0,0,0,0,0,0
2021-10-27,2021-2022,La Liga,Rayo Vallecano,Barcelona,Home,1,0,Win,Catena,Yes,CB,90,0,0,1,0,0,0,1,0,0,0,0
2021-11-01,2021-2022,La Liga,Rayo Vallecano,Celta Vigo,Home,0,0,Draw,Catena,Yes,CB,90,0,0,0,0,0,0,0,0,0,2,0
