Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2016-08-14,2016-2017,Ligue 1,Nancy,Lyon,Home,0,3,L,Clément Lenglet,Yes,CB,90,0,0,1,0,0,0,1,0,0,2,3
2016-08-20,2016-2017,Ligue 1,Nancy,Rennes,Away,0,2,L,Clément Lenglet,Yes,CB,90,0,0,0,0,0,0,2,0,0,0,2
2016-08-27,2016-2017,Ligue 1,Nancy,Guingamp,Home,0,2,L,Clément Lenglet,Yes,CB,90,0,0,0,0,1,0,2,0,0,2,0
2016-09-10,2016-2017,Ligue 1,Nancy,Lorient,Away,2,0,W,Clément Lenglet,Yes,CB,90,0,0,0,0,0,0,1,0,0,0,1
2016-09-17,2016-2017,Ligue 1,Nancy,Nantes,Home,1,1,D,Clément Lenglet,Yes,CB,90,0,0,0,0,0,0,3,0,0,2,3
2016-09-21,2016-2017,Ligue 1,Nancy,Bastia,Away,0,0,D,Clément Lenglet,Yes,CB,90,0,0,0,0,0,0,4,0,0,1,0
2016-09-25,2016-2017,Ligue 1,Nancy,Nice,Home,0,1,L,Clément Lenglet,Yes,CB,90,0,0,2,0,1,0,2,0,0,3,2
2016-10-01,2016-2017,Ligue 1,Nancy,Lille,Away,0,1,L,Clément Lenglet,Yes,CB,90,0,0,0,0,1,0,1,0,0,3,7
2016-10-22,2016-2017,Ligue 1,Nancy,Bordeaux,Away,1,1,D,Clément Lenglet,Yes,CB,90,0,0,0,0,1,0,3,0,0,3,5
2016-10-29,2016-2017,Ligue 1,Nancy,Caen,Home,2,0,W,Clément Lenglet,Yes,CB,90,0,0,2,1,0,0,1,0,0,2,2
2016-11-05,2016-2017,Ligue 1,Nancy,Monaco,Away,0,6,L,Clément Lenglet,Yes,CB,90,0,0,0,0,0,0,2,0,0,2,4
2016-11-19,2016-2017,Ligue 1,Nancy,Dijon,Home,1,0,W,Clément Lenglet,Yes,CB,90,0,0,1,1,0,0,2,0,0,2,4
2016-11-26,2016-2017,Ligue 1,Nancy,Montpellier,Away,0,0,D,Clément Lenglet,Yes,CB,90,0,0,0,0,0,0,0,0,0,1,4
2016-11-30,2016-2017,Ligue 1,Nancy,Metz,Home,4,0,W,Clément Lenglet,Yes,CB,90,0,0,0,0,0,0,3,0,0,0,1
2016-12-04,2016-2017,Ligue 1,Nancy,Marseille,Away,0,3,L,Clément Lenglet,Yes,CB,90,0,0,0,0,0,0,3,0,0,2,2
2016-12-10,2016-2017,Ligue 1,Nancy,Angers,Home,2,0,W,Clément Lenglet,Yes,CB,90,0,0,0,0,0,0,1,0,0,2,3
2016-12-17,2016-2017,Ligue 1,Nancy,Toulouse,Away,1,1,D,Clément Lenglet,Yes,CB,90,0,0,0,0,0,0,3,0,0,2,1
2016-12-21,2016-2017,Ligue 1,Nancy,Saint-Étienne,Away,0,0,D,Clément Lenglet,Yes,CB,90,0,0,0,0,0,0,0,0,0,2,6
2017-01-29,2016-2017,La Liga,Sevilla,Espanyol,Away,1,3,L,Clément Lenglet,N,,84,0,0,1,1,0,0,3,0,0,0,1
2017-02-05,2016-2017,La Liga,Sevilla,Villarreal,Home,0,0,D,Clément Lenglet,Y,CB,90,0,0,0,0,0,0,4,0,0,1,1
2017-02-12,2016-2017,La Liga,Sevilla,Las Palmas,Away,1,0,W,Clément Lenglet,Y,CB,90,0,0,0,0,0,0,2,1,0,2,4
2017-02-18,2016-2017,La Liga,Sevilla,Eibar,Home,2,0,W,Clément Lenglet,Y,CB,90,0,0,0,0,0,0,3,0,0,3,2
2017-03-06,2016-2017,La Liga,Sevilla,Alavés,Away,1,1,D,Clément Lenglet,Y,CB,90,0,0,0,0,1,0,2,0,0,3,3
2017-03-11,2016-2017,La Liga,Sevilla,Leganés,Home,1,1,D,Clément Lenglet,Y,CB,44,0,0,0,0,0,0,3,0,2,0,0
2017-03-19,2016-2017,La Liga,Sevilla,Atlético Madrid,Away,1,3,L,Clément Lenglet,Y,CB,45,0,0,0,0,0,0,2,0,0,1,4
2017-04-02,2016-2017,La Liga,Sevilla,Sporting Gijón,Home,0,0,D,Clément Lenglet,Y,CB,90,0,0,0,0,0,0,3,0,0,2,1
2017-04-05,2016-2017,La Liga,Sevilla,Barcelona,Away,0,3,L,Clément Lenglet,Y,CB,90,0,0,0,0,0,0,1,0,0,2,3
2017-04-08,2016-2017,La Liga,Sevilla,Dep La Coruña,Home,4,2,W,Clément Lenglet,N,,15,0,0,0,0,0,0,1,0,0,0,0
2017-04-16,2016-2017,La Liga,Sevilla,Valencia,Away,0,0,D,Clément Lenglet,Y,CB,90,0,0,0,0,0,0,0,0,0,3,1
2017-04-21,2016-2017,La Liga,Sevilla,Granada,Home,2,0,W,Clément Lenglet,Y,CB,90,0,0,0,0,0,0,2,0,1,1,0
2017-04-27,2016-2017,La Liga,Sevilla,Celta Vigo,Home,2,1,W,Clément Lenglet,Y,CB,90,0,0,0,0,0,0,3,1,1,3,4
2017-05-01,2016-2017,La Liga,Sevilla,Málaga,Away,2,4,L,Clément Lenglet,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2017-05-05,2016-2017,La Liga,Sevilla,Real Sociedad,Home,1,1,D,Clément Lenglet,Y,CB,90,0,0,0,0,1,0,2,0,1,1,0
2017-05-14,2016-2017,La Liga,Sevilla,Real Madrid,Away,1,4,L,Clément Lenglet,Y,CB,90,0,0,0,0,0,0,2,0,0,5,0
2017-05-20,2016-2017,La Liga,Sevilla,Osasuna,Home,5,0,W,Clément Lenglet,Y,CB,90,0,0,0,0,0,0,2,0,0,1,1
2017-08-19,2017-2018,La Liga,Sevilla,Espanyol,Home,1,1,D,Clément Lenglet,Yes,CB,90,1,0,1,1,0,0,3,0,0,2,1
2017-08-27,2017-2018,La Liga,Sevilla,Getafe,Away,1,0,W,Clément Lenglet,No,,45,0,0,0,0,0,0,2,0,0,2,1
2017-09-09,2017-2018,La Liga,Sevilla,Eibar,Home,3,0,W,Clément Lenglet,Yes,CB,90,0,0,1,1,0,0,2,0,0,2,1
2017-09-17,2017-2018,La Liga,Sevilla,Girona,Away,1,0,W,Clément Lenglet,Yes,CB,90,0,0,0,0,1,0,2,0,0,4,0
2017-09-23,2017-2018,La Liga,Sevilla,Atlético Madrid,Away,0,2,L,Clément Lenglet,Yes,CB,90,0,0,0,0,1,0,6,0,1,2,3
