Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2022-08-15,2022-2023,La Liga,Mallorca,Athletic Club,Away,0,0,D 0–0,Copete,Y,CB,90,0,0,0,0,1,0,3,0,0,2,3
2022-08-20,2022-2023,La Liga,Mallorca,Real Betis,Home,1,2,L 1–2,Copete,Y,CB,86,0,0,0,0,0,0,2,0,0,1,3
2022-08-27,2022-2023,La Liga,Mallorca,Rayo Vallecano,Away,2,0,W 2–0,Copete,Y,CB,90,0,0,0,0,1,0,3,0,0,0,3
2022-09-03,2022-2023,La Liga,Mallorca,Girona,Home,1,1,D 1–1,Copete,Y,CB,90,0,0,0,0,1,0,6,0,0,3,3
2022-09-17,2022-2023,La Liga,Mallorca,Almería,Home,1,0,W 1–0,Copete,Y,CB,90,0,0,0,0,0,0,0,1,2,1,0
2022-10-01,2022-2023,La Liga,Mallorca,Barcelona,Home,0,1,L 0–1,Copete,Y,CB,90,0,0,1,0,0,0,0,0,0,1,1
2022-10-10,2022-2023,La Liga,Mallorca,Elche,Away,1,1,D 1–1,Copete,Y,CB,63,0,0,2,0,0,0,0,0,0,1,0
2022-10-15,2022-2023,La Liga,Mallorca,Sevilla,Home,0,1,L 0–1,Copete,Y,CB,78,0,0,0,0,0,0,0,0,0,1,0
2022-10-22,2022-2023,La Liga,Mallorca,Valencia,Away,2,1,W 2–1,Copete,Y,CB,54,0,0,0,0,0,0,2,0,0,1,1
2022-10-28,2022-2023,La Liga,Mallorca,Espanyol,Home,1,1,D 1–1,Copete,Y,CB,86,0,0,0,0,0,0,0,1,1,1,3
2022-11-06,2022-2023,La Liga,Mallorca,Villarreal,Away,2,0,W 2–0,Copete,Y,CB,90,0,0,0,0,0,0,1,0,0,2,3
2022-11-09,2022-2023,La Liga,Mallorca,Atlético Madrid,Home,1,0,W 1–0,Copete,Y,CB,90,0,0,0,0,0,0,1,1,1,1,2
2022-12-30,2022-2023,La Liga,Mallorca,Getafe,Away,0,2,L 0–2,Copete,Y,CB,68,0,0,0,0,0,0,1,0,0,0,1
2023-01-07,2022-2023,La Liga,Mallorca,Valladolid,Home,1,0,W 1–0,Copete,Y,CB,90,0,0,1,0,1,0,3,0,0,1,1
2023-01-14,2022-2023,La Liga,Mallorca,Osasuna,Away,0,1,L 0–1,Copete,Y,CB,71,0,0,0,0,0,0,2,0,0,0,1
2023-01-20,2022-2023,La Liga,Mallorca,Celta Vigo,Home,1,0,W 1–0,Copete,N,,14,0,0,0,0,0,0,1,0,0,0,0
2023-01-28,2022-2023,La Liga,Mallorca,Cádiz,Away,0,2,L 0–2,Copete,Y,CB,45,0,0,0,0,1,0,2,0,0,0,0
2023-02-18,2022-2023,La Liga,Mallorca,Villarreal,Home,4,2,W 4–2,Copete,Y,CB,77,0,0,0,0,1,0,1,0,0,1,1
2023-03-04,2022-2023,La Liga,Mallorca,Elche,Home,0,1,L 0–1,Copete,Y,CB,90,0,0,0,0,1,0,2,1,1,1,2
2023-03-31,2022-2023,La Liga,Mallorca,Osasuna,Home,0,0,D 0–0,Copete,Y,CB,68,0,0,0,0,0,1,5,0,0,0,1
2023-04-26,2022-2023,La Liga,Mallorca,Atlético Madrid,Away,1,3,L 1–3,Copete,Y,CB,90,0,0,0,0,0,0,1,0,0,3,2
2023-05-01,2022-2023,La Liga,Mallorca,Athletic Club,Home,1,1,D 1–1,Copete,Y,CB,90,0,0,0,0,0,0,1,0,1,1,1
