Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2023-01-29,2022-2023,La Liga,Valladolid,Valencia,Home,1,0,W,Cyle Larin,N,,15,1,0,1,1,0,0,0,0,0,0,0
2023-02-05,2022-2023,La Liga,Valladolid,Real Sociedad,Away,1,0,W,Cyle Larin,N,,32,1,0,2,1,1,0,1,2,0,0,0
2023-02-12,2022-2023,La Liga,Valladolid,Osasuna,Home,0,0,D,Cyle Larin,N,,31,0,0,2,1,0,0,1,2,0,0,0
2023-02-18,2022-2023,La Liga,Valladolid,Real Betis,Away,1,2,L,Cyle Larin,Y,FW,90,1,0,5,1,0,0,2,2,1,1,0
2023-02-26,2022-2023,La Liga,Valladolid,Celta Vigo,Away,0,3,L,Cyle Larin,Y,FW,90,0,0,2,2,0,0,1,4,0,0,0
2023-03-05,2022-2023,La Liga,Valladolid,Espanyol,Home,2,1,W,Cyle Larin,Y,FW,75,0,0,1,0,0,0,0,0,1,0,0
2023-03-11,2022-2023,La Liga,Valladolid,Elche,Away,1,1,D,Cyle Larin,Y,FW,90,1,0,3,1,1,0,4,1,0,0,0
2023-03-17,2022-2023,La Liga,Valladolid,Athletic Club,Home,1,3,L,Cyle Larin,Y,FW,90,1,0,4,2,1,0,3,2,0,0,0
2023-04-09,2022-2023,La Liga,Valladolid,Mallorca,Home,3,3,D,Cyle Larin,Y,FW,90,0,1,2,1,1,0,1,0,0,1,0
2023-04-15,2022-2023,La Liga,Valladolid,Villarreal,Away,2,1,W,Cyle Larin,Y,FW,67,0,1,1,0,0,0,0,0,0,1,0
2023-04-22,2022-2023,La Liga,Valladolid,Girona,Home,1,0,W,Cyle Larin,Y,FW,90,0,0,5,1,0,0,3,0,0,0,0
2023-04-27,2022-2023,La Liga,Valladolid,Valencia,Away,1,2,L,Cyle Larin,Y,FW,90,1,0,3,1,0,0,1,2,0,0,0
2023-04-30,2022-2023,La Liga,Valladolid,Atlético Madrid,Home,2,5,L,Cyle Larin,Y,FW,90,1,0,5,2,0,0,1,3,2,0,0
2023-05-04,2022-2023,La Liga,Valladolid,Rayo Vallecano,Away,1,2,L,Cyle Larin,Y,FW,90,0,0,3,2,0,0,0,1,1,0,0
2023-05-14,2022-2023,La Liga,Valladolid,Sevilla,Home,0,3,L,Cyle Larin,Y,FW,79,0,0,2,0,0,0,0,1,0,0,0
2023-05-19,2022-2023,La Liga,Valladolid,Cádiz,Away,0,2,L,Cyle Larin,Y,FW,90,0,0,3,1,0,0,0,0,0,0,0
2023-05-23,2022-2023,La Liga,Valladolid,Barcelona,Home,3,1,W,Cyle Larin,Y,FW,90,1,1,1,1,0,0,2,1,1,0,0
2023-05-28,2022-2023,La Liga,Valladolid,Almería,Away,0,0,D,Cyle Larin,Y,FW,90,0,0,2,1,0,0,2,6,0,0,0
2023-06-04,2022-2023,La Liga,Valladolid,Getafe,Home,0,0,D,Cyle Larin,Y,FW,90,0,0,4,0,0,0,1,1,0,0,0
2023-08-12,2023-2024,La Liga,Mallorca,Las Palmas,Away,1,1,D,Cyle Larin,N,,31,0,0,1,0,0,0,0,2,0,0,0
2023-08-18,2023-2024,La Liga,Mallorca,Villarreal,Home,0,1,L,Cyle Larin,N,,28,0,0,3,0,0,0,0,1,0,0,0
2023-08-26,2023-2024,La Liga,Mallorca,Granada,Away,2,3,L,Cyle Larin,N,,34,0,0,4,2,1,0,2,1,0,0,0
2023-09-03,2023-2024,La Liga,Mallorca,Athletic Club,Home,0,0,D,Cyle Larin,Y,FW,55,0,0,0,0,0,0,0,2,0,0,0
2023-09-16,2023-2024,La Liga,Mallorca,Celta Vigo,Away,1,0,W,Cyle Larin,N,,15,0,0,1,1,0,0,0,0,0,0,1
2023-09-23,2023-2024,La Liga,Mallorca,Girona,Away,3,5,L,Cyle Larin,N,,26,0,0,2,0,0,0,0,2,0,0,0
2023-09-26,2023-2024,La Liga,Mallorca,Barcelona,Home,2,2,D,Cyle Larin,N,,29,0,0,3,1,0,0,0,0,0,1,0
2023-10-07,2023-2024,La Liga,Mallorca,Valencia,Home,1,1,D,Cyle Larin,N,,30,0,0,1,0,0,0,0,1,0,0,0
2023-10-21,2023-2024,La Liga,Mallorca,Real Sociedad,Away,0,1,L,Cyle Larin,Y,FW,72,0,0,4,4,0,0,2,3,1,0,0
2023-10-28,2023-2024,La Liga,Mallorca,Getafe,Home,0,0,D,Cyle Larin,N,,26,0,0,1,1,0,0,0,0,0,0,0
2023-11-04,2023-2024,La Liga,Mallorca,Real Betis,Away,0,2,L,Cyle Larin,Y,FW,68,0,0,1,0,1,0,3,1,0,0,0
2023-11-25,2023-2024,La Liga,Mallorca,Atlético Madrid,Away,0,1,L,Cyle Larin,N,,29,0,0,2,0,0,0,0,0,0,0,0
2023-11-29,2023-2024,La Liga,Mallorca,Cádiz,Home,1,1,D,Cyle Larin,Y,FW,90,0,0,3,0,0,0,2,3,2,0,0
2023-12-03,2023-2024,La Liga,Mallorca,Alavés,Home,0,0,D,Cyle Larin,N,,45,0,0,3,2,0,0,0,1,1,1,0
2023-12-09,2023-2024,La Liga,Mallorca,Sevilla,Home,1,0,W,Cyle Larin,Y,FW,63,1,0,1,1,0,0,0,0,0,0,0
2023-12-17,2023-2024,La Liga,Mallorca,Almería,Away,0,0,D,Cyle Larin,Y,FW,74,0,0,6,1,0,0,1,2,1,0,0
2023-12-21,2023-2024,La Liga,Mallorca,Osasuna,Home,3,2,W,Cyle Larin,Y,FW,69,0,0,2,0,0,0,0,0,2,0,0
2024-01-03,2023-2024,La Liga,Mallorca,Real Madrid,Away,0,1,L,Cyle Larin,Y,FW,72,0,0,1,0,0,0,2,0,0,0,0
2024-01-13,2023-2024,La Liga,Mallorca,Celta Vigo,Home,1,1,D,Cyle Larin,Y,FW,90,1,0,7,5,1,0,3,0,0,1,0
2024-01-20,2023-2024,La Liga,Mallorca,Villarreal,Away,1,1,D,Cyle Larin,Y,FW,79,0,0,2,1,1,0,0,1,0,1,0
2024-01-27,2023-2024,La Liga,Mallorca,Real Betis,Home,0,1,L,Cyle Larin,Y,FW,57,0,0,2,0,0,0,0,2,2,1,0
2024-02-02,2023-2024,La Liga,Mallorca,Athletic Club,Away,0,4,L,Cyle Larin,Y,FW,75,0,0,0,0,1,0,1,2,3,0,0
2024-02-18,2023-2024,La Liga,Mallorca,Real Sociedad,Home,1,2,L,Cyle Larin,Y,FW,63,0,1,0,0,0,0,0,3,1,0,3
2024-02-24,2023-2024,La Liga,Mallorca,Alavés,Away,1,1,D,Cyle Larin,N,,31,0,0,2,1,1,0,4,0,0,0,0
2024-03-03,2023-2024,La Liga,Mallorca,Girona,Home,1,0,W,Cyle Larin,Y,FW,67,0,1,2,0,0,0,2,0,1,0,0
2024-03-08,2023-2024,La Liga,Mallorca,Barcelona,Away,0,1,L,Cyle Larin,Y,FW,81,0,0,3,1,0,0,0,2,0,1,0
2024-03-16,2023-2024,La Liga,Mallorca,Granada,Home,1,0,W,Cyle Larin,Y,FW,67,0,0,2,1,1,0,2,0,2,0,0
2024-03-30,2023-2024,La Liga,Mallorca,Valencia,Away,0,0,D,Cyle Larin,Y,FW,45,0,0,0,0,1,0,0,0,0,0,0
2024-04-13,2023-2024,La Liga,Mallorca,Real Madrid,Home,0,1,L,Cyle Larin,N,,5,0,0,0,0,0,0,0,0,0,0,0
2024-04-22,2023-2024,La Liga,Mallorca,Sevilla,Away,1,2,L,Cyle Larin,N,,31,0,0,0,0,0,0,0,0,0,0,0
2024-05-04,2023-2024,La Liga,Mallorca,Atlético Madrid,Home,0,1,L,Cyle Larin,N,,29,0,0,2,1,0,0,0,1,1,0,0
2024-05-11,2023-2024,La Liga,Mallorca,Las Palmas,Home,1,0,W,Cyle Larin,Y,FW,61,0,0,1,0,0,0,0,0,0,0,1
