Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2014-09-14,2014-2015,Premier League,Manchester Utd,QPR,Home,4,0,W,Daley Blind,Y,,90,0,0,1,1,0,0,1,0,0,2,2
2014-09-21,2014-2015,Premier League,Manchester Utd,Leicester City,Away,3,5,L,Daley Blind,Y,,90,0,0,1,1,0,0,1,0,0,2,8
2014-09-27,2014-2015,Premier League,Manchester Utd,West Ham,Home,2,1,W,Daley Blind,Y,,90,0,0,0,0,0,0,0,0,0,3,0
2014-10-05,2014-2015,Premier League,Manchester Utd,Everton,Home,2,1,W,Daley Blind,Y,,90,0,0,2,0,1,0,3,0,0,2,2
2014-10-20,2014-2015,Premier League,Manchester Utd,West Brom,Away,2,2,D,Daley Blind,Y,,90,1,0,5,1,1,0,2,0,1,2,4
2014-10-26,2014-2015,Premier League,Manchester Utd,Chelsea,Home,1,1,D,Daley Blind,Y,,90,0,0,0,0,0,0,0,0,0,2,4
2014-11-02,2014-2015,Premier League,Manchester Utd,Manchester City,Away,0,1,L,Daley Blind,Y,,90,0,0,0,0,1,0,1,0,0,4,1
2014-11-08,2014-2015,Premier League,Manchester Utd,Crystal Palace,Home,1,0,W,Daley Blind,Y,,90,0,0,1,0,0,0,0,0,2,1,2
2015-01-11,2014-2015,Premier League,Manchester Utd,Southampton,Home,0,1,L,Daley Blind,Y,,90,0,0,1,0,0,0,0,0,3,2,6
2015-01-17,2014-2015,Premier League,Manchester Utd,QPR,Away,2,0,W,Daley Blind,Y,,90,0,0,0,0,0,0,1,0,2,0,6
2015-01-31,2014-2015,Premier League,Manchester Utd,Leicester City,Home,3,1,W,Daley Blind,Y,,90,0,1,1,1,0,0,1,0,0,3,5
2015-02-08,2014-2015,Premier League,Manchester Utd,West Ham,Away,1,1,D,Daley Blind,Y,,90,1,0,1,1,0,0,2,0,0,2,2
2015-02-11,2014-2015,Premier League,Manchester Utd,Burnley,Home,3,1,W,Daley Blind,Y,,38,0,0,0,0,0,0,0,0,0,0,2
2015-02-21,2014-2015,Premier League,Manchester Utd,Swansea City,Away,1,2,L,Daley Blind,Y,,90,0,0,2,0,0,0,3,0,0,1,9
2015-02-28,2014-2015,Premier League,Manchester Utd,Sunderland,Home,2,0,W,Daley Blind,Y,,90,0,0,2,1,0,0,4,0,1,0,3
2015-03-04,2014-2015,Premier League,Manchester Utd,Newcastle,Away,1,0,W,Daley Blind,Y,,90,0,0,0,0,0,0,1,0,0,1,5
2015-03-15,2014-2015,Premier League,Manchester Utd,Tottenham,Home,3,0,W,Daley Blind,Y,,90,0,0,1,0,0,0,1,1,4,2,3
2015-03-22,2014-2015,Premier League,Manchester Utd,Liverpool,Away,2,1,W,Daley Blind,Y,,89,0,0,0,0,0,0,0,0,2,4,1
2015-04-04,2014-2015,Premier League,Manchester Utd,Aston Villa,Home,3,1,W,Daley Blind,Y,,90,0,1,2,1,0,0,1,0,3,4,3
2015-04-12,2014-2015,Premier League,Manchester Utd,Manchester City,Home,4,2,W,Daley Blind,Y,,90,0,0,0,0,0,0,1,0,1,0,4
2015-04-26,2014-2015,Premier League,Manchester Utd,Everton,Away,0,3,L,Daley Blind,Y,,90,0,0,1,1,0,0,0,0,0,2,1
2015-05-02,2014-2015,Premier League,Manchester Utd,West Brom,Home,0,1,L,Daley Blind,Y,,63,0,0,2,0,0,0,0,0,2,0,1
2015-05-09,2014-2015,Premier League,Manchester Utd,Crystal Palace,Away,2,1,W,Daley Blind,Y,,90,0,0,2,1,0,0,0,0,0,0,2
2015-05-17,2014-2015,Premier League,Manchester Utd,Arsenal,Home,1,1,D,Daley Blind,Y,,90,0,0,3,0,0,0,0,0,0,3,3
2015-05-24,2014-2015,Premier League,Manchester Utd,Hull City,Away,0,0,D,Daley Blind,Y,,90,0,0,0,0,1,0,3,0,0,1,4
2015-08-08,2015-2016,Premier League,Manchester Utd,Tottenham,Home,1,0,W,Daley Blind,Y,CB,90,0,0,0,0,0,0,1,0,0,3,2
2015-08-14,2015-2016,Premier League,Manchester Utd,Aston Villa,Away,1,0,W,Daley Blind,Y,CB,90,0,0,0,0,0,0,0,0,0,1,2
2015-08-22,2015-2016,Premier League,Manchester Utd,Newcastle,Home,0,0,D,Daley Blind,Y,CB,90,0,0,1,0,0,0,0,0,1,0,2
2015-08-30,2015-2016,Premier League,Manchester Utd,Swansea City,Away,1,2,L,Daley Blind,Y,CB,90,0,0,0,0,0,0,1,0,0,1,3
2015-09-12,2015-2016,Premier League,Manchester Utd,Liverpool,Home,3,1,W,Daley Blind,Y,CB,90,1,0,1,1,0,0,1,0,3,2,3
2015-09-20,2015-2016,Premier League,Manchester Utd,Southampton,Away,3,2,W,Daley Blind,Y,LB,90,0,0,0,0,0,0,0,0,0,0,1
2015-09-26,2015-2016,Premier League,Manchester Utd,Sunderland,Home,3,0,W,Daley Blind,Y,CB,73,0,0,0,0,0,0,0,0,0,1,1
2015-10-04,2015-2016,Premier League,Manchester Utd,Arsenal,Away,0,3,L,Daley Blind,Y,CB,90,0,0,0,0,0,0,1,0,2,2,1
2015-10-31,2015-2016,Premier League,Manchester Utd,Crystal Palace,Away,0,0,D,Daley Blind,Y,CB,90,0,0,0,0,0,0,3,0,0,1,4
2015-11-07,2015-2016,Premier League,Manchester Utd,West Brom,Home,2,0,W,Daley Blind,Y,CB,90,0,0,0,0,0,0,0,0,2,2,1
2015-11-21,2015-2016,Premier League,Manchester Utd,Watford,Away,2,1,W,Daley Blind,Y,CB,90,0,0,0,0,0,0,0,0,7,2,2
2015-11-28,2015-2016,Premier League,Manchester Utd,Leicester City,Away,1,1,D,Daley Blind,Y,CB,90,0,1,0,0,0,0,1,0,7,1,1
2015-12-05,2015-2016,Premier League,Manchester Utd,West Ham,Home,0,0,D,Daley Blind,Y,LB,90,0,0,0,0,0,0,0,0,5,1,1
2015-12-12,2015-2016,Premier League,Manchester Utd,Bournemouth,Away,1,2,L,Daley Blind,Y,CB,90,0,0,0,0,0,0,1,0,4,4,1
2015-12-19,2015-2016,Premier League,Manchester Utd,Norwich City,Home,1,2,L,Daley Blind,Y,CB,90,0,0,1,0,0,0,0,0,13,2,5
2015-12-26,2015-2016,Premier League,Manchester Utd,Stoke City,Away,0,2,L,Daley Blind,Y,CB,90,0,0,0,0,0,0,1,0,8,3,3
2015-12-28,2015-2016,Premier League,Manchester Utd,Chelsea,Home,0,0,D,Daley Blind,Y,CB,80,0,0,0,0,0,0,1,0,4,4,3
2016-01-02,2015-2016,Premier League,Manchester Utd,Swansea City,Home,2,1,W,Daley Blind,Y,LB,90,0,0,0,0,1,0,1,0,3,1,3
