Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2020-02-01,2019-2020,Bundesliga,RB Leipzig,Gladbach,Home,2,2,D,Dani Olmo,N,,22,0,0,2,1,0,0,0,0,3,0,0
2020-02-09,2019-2020,Bundesliga,RB Leipzig,Bayern Munich,Away,0,0,D,Dani Olmo,Y,FW,68,0,0,0,0,0,0,0,0,0,2,1
2020-02-15,2019-2020,Bundesliga,RB Leipzig,Werder Bremen,Home,3,0,W,Dani Olmo,Y,AM,68,0,1,1,0,0,0,1,0,3,0,0
2020-03-07,2019-2020,Bundesliga,RB Leipzig,Wolfsburg,Away,0,0,D,Dani Olmo,N,,31,0,0,2,0,1,0,2,1,1,1,0
2020-05-24,2019-2020,Bundesliga,RB Leipzig,Mainz 05,Away,5,0,W,Dani Olmo,Y,RM,90,0,0,0,0,0,0,1,0,0,2,0
2020-05-27,2019-2020,Bundesliga,RB Leipzig,Hertha BSC,Home,2,2,D,Dani Olmo,Y,RW,57,0,0,2,0,0,0,2,0,1,0,0
2020-06-01,2019-2020,Bundesliga,RB Leipzig,Köln,Away,4,2,W,Dani Olmo,Y,RW,83,1,0,3,1,0,0,1,0,0,0,2
2020-06-06,2019-2020,Bundesliga,RB Leipzig,Paderborn 07,Home,1,1,D,Dani Olmo,Y,RW,64,0,0,2,1,0,0,1,0,0,2,1
2020-06-12,2019-2020,Bundesliga,RB Leipzig,Hoffenheim,Away,2,0,W,Dani Olmo,Y,AM,77,2,0,3,2,0,0,1,0,1,1,0
2020-06-17,2019-2020,Bundesliga,RB Leipzig,Düsseldorf,Home,2,2,D,Dani Olmo,Y,FW,62,0,0,0,0,0,0,0,2,2,2,0
2020-06-20,2019-2020,Bundesliga,RB Leipzig,Dortmund,Home,0,2,L,Dani Olmo,N,,52,0,0,2,0,0,0,0,1,1,2,1
2020-06-27,2019-2020,Bundesliga,RB Leipzig,Augsburg,Away,2,1,W,Dani Olmo,Y,AM,73,0,0,4,1,0,0,1,0,5,2,0
2020-09-20,2020-2021,Bundesliga,RB Leipzig,Mainz 05,Home,3,1,W,Dani Olmo,Y,AM,68,0,1,3,2,0,0,0,0,2,1,1
2020-09-26,2020-2021,Bundesliga,RB Leipzig,Leverkusen,Away,1,1,D,Dani Olmo,Y,AM,86,0,0,1,0,0,0,0,0,2,2,0
2020-10-03,2020-2021,Bundesliga,RB Leipzig,Schalke 04,Home,4,0,W,Dani Olmo,Y,FW,82,0,0,5,1,0,0,0,0,1,1,1
2020-10-17,2020-2021,Bundesliga,RB Leipzig,Augsburg,Away,2,0,W,Dani Olmo,Y,FW,78,0,2,2,1,0,0,0,0,1,1,0
2020-10-24,2020-2021,Bundesliga,RB Leipzig,Hertha BSC,Home,2,1,W,Dani Olmo,N,,25,0,0,2,1,0,0,0,0,1,1,0
2020-10-31,2020-2021,Bundesliga,RB Leipzig,Gladbach,Away,0,1,L,Dani Olmo,Y,AM,65,0,0,2,0,0,0,0,0,0,0,1
2020-11-07,2020-2021,Bundesliga,RB Leipzig,Freiburg,Home,3,0,W,Dani Olmo,N,,28,0,0,1,0,0,0,0,0,0,0,1
2020-11-21,2020-2021,Bundesliga,RB Leipzig,Frankfurt,Away,1,1,D,Dani Olmo,Y,AM,45,0,0,3,0,1,0,1,0,0,0,0
2020-11-28,2020-2021,Bundesliga,RB Leipzig,Arminia,Home,2,1,W,Dani Olmo,Y,AM,62,0,1,2,1,0,0,0,0,1,1,1
