Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2017-11-05,2017-2018,La Liga,Villarreal,Málaga,Home,2,0,W 2-0,Dani Raba,N,,9,0,0,0,0,0,0,0,0,0,0,0
2017-11-19,2017-2018,La Liga,Villarreal,Athletic Club,Away,1,1,D 1-1,Dani Raba,N,,5,0,0,0,0,0,0,0,0,1,2,0
2017-12-03,2017-2018,La Liga,Villarreal,Leganés,Away,1,3,L 1-3,Dani Raba,Y,CM,76,1,0,1,1,1,0,2,0,5,1,3
2017-12-10,2017-2018,La Liga,Villarreal,Barcelona,Home,0,2,L 0-2,Dani Raba,Y,RM,59,0,0,1,1,0,1,2,1,2,1,0
2017-12-23,2017-2018,La Liga,Villarreal,Valencia,Away,1,0,W 1-0,Dani Raba,N,,36,0,0,0,0,0,0,3,1,1,1,1
2018-01-07,2017-2018,La Liga,Villarreal,Dep. La Coruña,Home,1,1,D 1-1,Dani Raba,Y,FW,75,0,0,1,0,0,0,1,0,4,1,3
2018-01-13,2017-2018,La Liga,Villarreal,Real Madrid,Away,1,0,W 1-0,Dani Raba,Y,DM,45,0,0,1,0,0,0,0,0,1,2,0
2018-01-20,2017-2018,La Liga,Villarreal,Levante,Home,2,1,W 2-1,Dani Raba,N,,26,0,0,0,0,0,0,0,0,0,0,0
2018-02-10,2017-2018,La Liga,Villarreal,Alavés,Home,1,2,L 1-2,Dani Raba,N,,12,0,0,1,0,1,0,1,0,2,1,0
2018-02-18,2017-2018,La Liga,Villarreal,Espanyol,Away,1,1,D 1-1,Dani Raba,Y,AM,90,0,0,0,0,0,0,1,0,4,1,3
2018-02-25,2017-2018,La Liga,Villarreal,Getafe,Home,1,0,W 1-0,Dani Raba,N,,20,0,0,1,0,0,0,0,0,1,1,0
2018-02-28,2017-2018,La Liga,Villarreal,Eibar,Away,0,1,L 0-1,Dani Raba,Y,RM,90,0,0,2,1,0,0,1,1,3,2,0
2018-03-03,2017-2018,La Liga,Villarreal,Girona,Home,0,2,L 0-2,Dani Raba,Y,FW,45,0,0,0,0,1,0,1,1,0,1,0
2018-03-11,2017-2018,La Liga,Villarreal,Las Palmas,Away,2,0,W 2-0,Dani Raba,Y,AM,58,0,0,2,1,0,0,1,0,2,0,0
2018-03-18,2017-2018,La Liga,Villarreal,Atlético Madrid,Home,2,1,W 2-1,Dani Raba,Y,FW,77,0,0,1,0,0,0,2,0,4,1,2
2018-04-01,2017-2018,La Liga,Villarreal,Málaga,Away,0,1,L 0-1,Dani Raba,N,,30,0,0,1,0,0,0,1,1,4,0,0
2018-04-14,2017-2018,La Liga,Villarreal,Sevilla,Away,2,2,D 2-2,Dani Raba,Y,AM,77,1,1,1,1,0,0,3,1,0,0,1
2018-04-17,2017-2018,La Liga,Villarreal,Leganés,Home,2,1,W 2-1,Dani Raba,Y,AM,79,0,1,2,1,0,0,0,2,1,0,0
2018-04-28,2017-2018,La Liga,Villarreal,Celta Vigo,Home,4,1,W 4-1,Dani Raba,Y,AM,59,0,2,2,0,0,0,1,0,0,0,0
2018-05-05,2017-2018,La Liga,Villarreal,Valencia,Home,1,0,W 1-0,Dani Raba,Y,FW,82,0,0,0,0,0,0,5,0,0,1,3
2018-05-12,2017-2018,La Liga,Villarreal,Dep. La Coruña,Away,4,2,W 4-2,Dani Raba,Y,AM,60,0,0,1,0,0,0,1,0,0,1,2
2018-08-18,2018-2019,La Liga,Villarreal,Real Sociedad,Home,1,2,L,Dani Raba,N,,26,0,0,0,0,0,0,1,0,2,0,0
2018-08-26,2018-2019,La Liga,Villarreal,Sevilla,Away,0,0,D,Dani Raba,N,,12,0,0,0,0,0,0,0,0,0,0,0
2018-09-16,2018-2019,La Liga,Villarreal,Leganés,Away,1,0,W,Dani Raba,Y,RM,45,0,0,0,0,0,0,0,0,0,2,1
2018-10-07,2018-2019,La Liga,Villarreal,Espanyol,Away,1,3,L,Dani Raba,N,,11,0,0,0,0,0,0,0,0,1,0,0
2018-10-28,2018-2019,La Liga,Villarreal,Alavés,Away,1,2,L,Dani Raba,N,,1,0,0,0,0,0,0,0,0,0,0,0
2018-12-02,2018-2019,La Liga,Villarreal,Barcelona,Away,0,2,L,Dani Raba,N,,3,0,0,0,0,0,0,0,0,0,0,0
2019-03-30,2018-2019,La Liga,Villarreal,Celta Vigo,Away,2,3,L,Dani Raba,N,,3,0,0,0,0,0,0,1,0,0,0,0
2019-05-18,2018-2019,La Liga,Villarreal,Getafe,Away,2,2,D,Dani Raba,Y,RM,90,0,1,2,0,0,0,3,0,3,3,0
2019-08-18,2019-2020,La Liga 2,Huesca,Las Palmas,Away,1,0,W 1-0,Dani Raba,Y,FW,62,0,0,1,1,0,0,3,1,1,2,0
2019-08-25,2019-2020,La Liga 2,Huesca,Dep. La Coruña,Home,3,1,W 3-1,Dani Raba,Y,RW,87,1,0,2,2,0,0,4,0,1,0,1
2019-08-31,2019-2020,La Liga 2,Huesca,Almería,Away,0,1,L 0-1,Dani Raba,Y,FW,56,0,0,0,0,0,0,1,0,1,1,0
2019-09-08,2019-2020,La Liga 2,Huesca,Sporting Gijón,Home,1,0,W 1-0,Dani Raba,Y,FW,63,1,0,1,1,1,0,3,1,1,0,1
2019-09-14,2019-2020,La Liga 2,Huesca,Numancia,Away,0,1,L 0-1,Dani Raba,Y,FW,15,0,0,1,0,0,0,0,0,0,0,0
2019-10-27,2019-2020,La Liga 2,Huesca,Elche,Home,2,0,W 2-0,Dani Raba,Y,RW,73,0,0,2,0,1,0,3,0,0,1,0
2019-11-02,2019-2020,La Liga 2,Huesca,Tenerife,Away,0,0,D 0-0,Dani Raba,Y,RW,86,0,0,3,2,0,0,5,0,1,1,0
2019-11-09,2019-2020,La Liga 2,Huesca,Oviedo,Home,3,1,W 3-1,Dani Raba,Y,FW,74,1,0,4,1,0,0,1,0,0,2,1
2019-11-16,2019-2020,La Liga 2,Huesca,CF Fuenlabrada,Away,2,3,L 2-3,Dani Raba,Y,RW,34,0,0,1,0,0,0,0,0,1,2,0
2019-12-07,2019-2020,La Liga 2,Huesca,Rayo Vallecano,Home,0,2,L 0-2,Dani Raba,Y,FW,79,0,0,2,0,0,0,0,0,5,0,0
2019-12-14,2019-2020,La Liga 2,Huesca,Mirandés,Away,0,2,L 0-2,Dani Raba,Y,FW,90,0,0,1,1,0,0,1,0,4,1,0
2019-12-22,2019-2020,La Liga 2,Huesca,Zaragoza,Home,2,1,W 2-1,Dani Raba,N,,10,0,0,0,0,0,0,0,0,0,0,0
2020-01-15,2019-2020,La Liga 2,Huesca,Tenerife,Home,2,1,W 2-1,Dani Raba,N,,33,0,0,0,0,0,0,2,0,0,1,0
2020-02-01,2019-2020,La Liga 2,Huesca,Ponferradina,Away,1,3,L 1-3,Dani Raba,N,,31,0,1,0,0,0,0,2,0,3,0,0
2020-02-08,2019-2020,La Liga 2,Huesca,Girona,Away,0,1,L 0-1,Dani Raba,Y,FW,53,0,0,0,0,0,0,1,1,1,0,0
2020-02-15,2019-2020,La Liga 2,Huesca,Almería,Home,3,2,W 3-2,Dani Raba,Y,FW,84,0,0,4,0,0,0,1,1,4,1,0
2020-02-23,2019-2020,La Liga 2,Huesca,Rayo Vallecano,Away,0,2,L 0-2,Dani Raba,Y,RM,67,0,0,1,0,1,0,0,0,2,0,1
2020-02-29,2019-2020,La Liga 2,Huesca,Extremadura,Home,2,2,D 2-2,Dani Raba,Y,RW,75,0,0,3,2,0,0,1,0,4,2,1
2020-03-07,2019-2020,La Liga 2,Huesca,CF Fuenlabrada,Home,2,0,W 2-0,Dani Raba,Y,RW,57,0,0,2,1,1,0,4,0,4,0,0
2020-06-12,2019-2020,La Liga 2,Huesca,Málaga,Away,3,1,W 3-1,Dani Raba,Y,RW,52,1,0,1,1,1,0,0,0,1,1,1
2020-06-18,2019-2020,La Liga 2,Huesca,Mirandés,Home,1,2,L 1-2,Dani Raba,Y,FW,53,0,0,0,0,0,0,0,0,2,1,0
2020-06-21,2019-2020,La Liga 2,Huesca,Albacete,Away,2,2,D 2-2,Dani Raba,Y,FW,45,0,0,1,1,0,0,0,0,0,0,0
2020-07-20,2019-2020,La Liga 2,Huesca,Sporting Gijón,Away,1,0,W 1-0,Dani Raba,Y,FW,62,0,0,0,0,0,0,1,1,0,1,1
2021-02-14,2020-2021,La Liga,Villarreal,Real Betis,Home,1,2,L,Dani Raba,N,,30,0,0,2,0,0,0,1,1,0,0,0
2021-05-02,2020-2021,La Liga,Villarreal,Getafe,Home,1,0,W,Dani Raba,Y,AM,61,0,0,1,0,0,0,2,0,3,0,0
2021-05-09,2020-2021,La Liga,Villarreal,Celta Vigo,Home,2,4,L,Dani Raba,N,,25,0,0,2,1,0,0,0,0,4,0,0
2021-05-16,2020-2021,La Liga,Villarreal,Sevilla,Home,4,0,W,Dani Raba,N,,24,0,0,0,0,0,0,0,0,0,1,0
2021-05-22,2020-2021,La Liga,Villarreal,Real Madrid,Away,1,2,L,Dani Raba,N,,10,0,0,1,0,0,0,0,0,0,0,0
2021-08-16,2021-2022,La Liga,Villarreal,Granada,Home,0,0,D 0-0,Dani Raba,N,,19,0,0,0,0,0,0,1,0,1,0,0
2021-08-21,2021-2022,La Liga,Villarreal,Espanyol,Away,0,0,D 0-0,Dani Raba,N,,17,0,0,0,0,0,0,0,0,1,0,1
2021-10-23,2021-2022,La Liga,Villarreal,Athletic Club,Away,1,2,L 1-2,Dani Raba,N,,28,0,0,0,0,0,0,1,0,1,0,0
2021-11-27,2021-2022,La Liga,Villarreal,Barcelona,Home,1,3,L 1-3,Dani Raba,N,,7,0,0,0,0,1,0,2,0,2,0,0
2022-01-03,2021-2022,La Liga,Villarreal,Levante,Home,5,0,W 5-0,Dani Raba,N,,11,0,0,0,0,0,0,0,0,0,0,0
2022-01-16,2021-2022,La Liga,Villarreal,Elche,Away,0,1,L 0-1,Dani Raba,N,,6,0,0,0,0,0,0,0,0,4,0,0
2022-01-22,2021-2022,La Liga,Villarreal,Mallorca,Home,3,0,W 3-0,Dani Raba,N,,1,0,0,0,0,0,0,0,1,0,0,0
2022-02-06,2021-2022,La Liga,Granada,Real Madrid,Away,0,1,L 0-1,Dani Raba,N,,20,0,0,0,0,0,0,1,0,0,1,1
2022-04-20,2021-2022,La Liga,Granada,Atlético Madrid,Away,0,0,D 0-0,Dani Raba,N,,6,0,0,0,0,0,0,0,0,0,1,0
2024-08-17,2024-2025,La Liga,Leganés,Osasuna,Away,1,1,D,Dani Raba,N,,28,0,0,1,0,0,0,1,0,1,1,0
2024-08-25,2024-2025,La Liga,Leganés,Las Palmas,Home,2,1,W,Dani Raba,Y,RW,61,0,0,3,2,0,0,1,0,2,2,0
2024-08-31,2024-2025,La Liga,Leganés,Mallorca,Home,0,1,L,Dani Raba,Y,AM,45,0,0,0,0,0,0,2,0,3,0,0
2024-09-22,2024-2025,La Liga,Leganés,Getafe,Away,1,1,D,Dani Raba,N,,6,0,0,0,0,0,0,1,0,1,0,0
2024-10-20,2024-2025,La Liga,Leganés,Atlético Madrid,Away,1,3,L,Dani Raba,Y,AM,67,0,1,1,1,0,0,2,0,1,1,0
2024-10-27,2024-2025,La Liga,Leganés,Celta Vigo,Home,3,0,W,Dani Raba,Y,AM,68,0,1,1,0,0,0,2,0,5,0,0
2024-11-24,2024-2025,La Liga,Leganés,Real Madrid,Home,0,3,L,Dani Raba,N,,32,0,0,0,0,0,0,2,0,3,1,0
2024-11-30,2024-2025,La Liga,Leganés,Alavés,Away,1,1,D,Dani Raba,Y,AM,76,0,1,1,0,0,0,0,0,6,0,0
2024-12-15,2024-2025,La Liga,Leganés,Barcelona,Away,1,0,W,Dani Raba,N,,9,0,0,1,0,0,0,0,0,0,0,0
2024-12-22,2024-2025,La Liga,Leganés,Villarreal,Home,2,5,L,Dani Raba,Y,RM,62,1,0,1,1,0,0,2,0,1,0,0
2025-01-11,2024-2025,La Liga,Leganés,Espanyol,Away,1,1,D,Dani Raba,Y,RM,67,0,0,1,0,1,0,1,0,5,1,0
2025-01-18,2024-2025,La Liga,Leganés,Atlético Madrid,Home,1,0,W,Dani Raba,Y,RM,79,0,1,2,0,0,0,3,0,4,0,0
2025-01-26,2024-2025,La Liga,Leganés,Athletic Club,Away,0,0,D,Dani Raba,Y,FW,75,0,0,0,0,0,0,0,0,4,1,0
2025-01-31,2024-2025,La Liga,Leganés,Rayo Vallecano,Home,0,1,L,Dani Raba,Y,RM,90,0,0,1,0,1,0,2,0,2,1,0
2025-02-09,2024-2025,La Liga,Leganés,Valencia,Away,0,2,L,Dani Raba,Y,FW,90,0,0,2,1,0,0,0,1,5,1,0
2025-02-15,2024-2025,La Liga,Leganés,Alavés,Home,3,3,D,Dani Raba,Y,AM,90,2,0,2,2,1,0,4,1,5,0,0
2025-02-23,2024-2025,La Liga,Leganés,Real Sociedad,Away,0,3,L,Dani Raba,Y,FW,86,0,0,3,1,0,0,1,4,3,0,0
2025-03-02,2024-2025,La Liga,Leganés,Getafe,Home,1,0,W,Dani Raba,Y,RM,77,0,0,1,0,0,0,1,0,5,2,0
2025-03-08,2024-2025,La Liga,Leganés,Celta Vigo,Away,1,2,L,Dani Raba,N,,23,0,0,1,0,0,0,0,0,1,0,0
2025-03-16,2024-2025,La Liga,Leganés,Real Betis,Home,2,3,L,Dani Raba,Y,FW,59,2,0,2,2,0,0,2,0,2,0,0
2025-03-29,2024-2025,La Liga,Leganés,Real Madrid,Away,2,3,L,Dani Raba,Y,AM,85,1,0,2,1,0,0,2,0,2,0,0
2025-04-07,2024-2025,La Liga,Leganés,Osasuna,Home,1,1,D,Dani Raba,Y,AM,90,1,0,3,2,1,0,5,0,5,2,0
2025-04-12,2024-2025,La Liga,Leganés,Barcelona,Home,0,1,L,Dani Raba,Y,FW,90,0,0,1,0,1,0,2,2,0,0,0
2025-04-24,2024-2025,La Liga,Leganés,Girona,Home,1,1,D 1-1,Dani Raba,Y,FW,90,0,0,1,0,0,0,4,1,3,0,0
2025-05-04,2024-2025,La Liga,Leganés,Sevilla,Away,2,2,D 2-2,Dani Raba,Y,FW,80,0,0,0,0,0,0,0,0,3,0,0
2025-05-11,2024-2025,La Liga,Leganés,Espanyol,Home,3,2,W 3-2,Dani Raba,Y,FW,73,0,2,1,0,1,0,3,0,7,1,0
2025-05-14,2024-2025,La Liga,Leganés,Villarreal,Away,0,3,L 0-3,Dani Raba,Y,AM,62,0,0,6,1,0,0,0,0,3,0,0
2025-05-18,2024-2025,La Liga,Leganés,Las Palmas,Away,1,0,W 1-0,Dani Raba,Y,RM,45,1,0,2,1,0,0,0,0,2,1,0
2025-05-24,2024-2025,La Liga,Leganés,Valladolid,Home,3,0,W 3-0,Dani Raba,Y,FW,74,0,0,4,2,0,0,1,0,5,0,0
