Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2009-02-15,2008-2009,La Liga,Real Madrid,Sporting Gijón,Away,4,0,W,Daniel Parejo,No,MF,12,0,0,0,0,0,0,0,0,0,0,0
2009-03-14,2008-2009,La Liga,Real Madrid,Athletic Club,Away,5,2,W,Daniel Parejo,No,MF,14,0,0,0,1,0,0,0,0,0,0,0
2009-04-04,2008-2009,La Liga,Real Madrid,Málaga,Away,1,0,W,Daniel Parejo,No,MF,6,0,0,0,0,0,0,0,0,0,0,0
2009-05-16,2008-2009,La Liga,Real Madrid,Villarreal,Away,2,3,L,Daniel Parejo,No,MF,18,0,0,0,0,0,0,0,0,0,0,0
2009-05-24,2008-2009,La Liga,Real Madrid,Mallorca,Home,1,3,L,Daniel Parejo,No,MF,35,0,0,0,0,0,0,0,0,0,0,0
2009-08-30,2009-2010,La Liga,Getafe,Racing Santander,Away,4,1,W,Daniel Parejo,Yes,MF,64,0,0,0,0,0,0,0,0,0,0,0
2009-09-12,2009-2010,La Liga,Getafe,Barcelona,Home,0,2,L,Daniel Parejo,Yes,MF,57,0,0,0,0,0,0,0,0,0,0,0
2009-10-18,2009-2010,La Liga,Getafe,Mallorca,Away,1,3,L,Daniel Parejo,Yes,MF,74,0,0,0,1,0,0,0,0,0,0,0
2009-10-25,2009-2010,La Liga,Getafe,Athletic Club,Home,2,0,W,Daniel Parejo,Yes,MF,73,1,1,0,1,0,0,0,0,0,0,0
2009-10-31,2009-2010,La Liga,Getafe,Real Madrid,Away,0,2,L,Daniel Parejo,Yes,MF,66,0,0,0,0,0,0,0,0,0,0,0
2009-11-29,2009-2010,La Liga,Getafe,Xerez,Home,5,1,W,Daniel Parejo,Yes,MF,90,1,0,0,0,0,0,0,0,0,0,0
2009-12-06,2009-2010,La Liga,Getafe,Villarreal,Away,2,3,L,Daniel Parejo,Yes,MF,34,0,0,0,0,0,0,0,0,0,0,0
2009-12-13,2009-2010,La Liga,Getafe,Tenerife,Home,2,1,W,Daniel Parejo,Yes,MF,70,0,0,0,0,0,0,0,0,0,0,0
2009-12-19,2009-2010,La Liga,Getafe,Sevilla,Away,2,1,W,Daniel Parejo,Yes,MF,84,0,0,0,1,0,0,0,0,0,0,0
2010-01-03,2009-2010,La Liga,Getafe,Valladolid,Home,1,0,W,Daniel Parejo,Yes,MF,55,0,0,0,0,0,0,0,0,0,0,0
2010-01-24,2009-2010,La Liga,Getafe,Atlético Madrid,Home,1,0,W,Daniel Parejo,Yes,MF,28,0,0,0,0,0,0,0,0,0,0,0
2010-01-31,2009-2010,La Liga,Getafe,Racing Santander,Home,0,0,D,Daniel Parejo,No,MF,18,0,0,0,0,0,0,0,0,0,0,0
2010-02-06,2009-2010,La Liga,Getafe,Barcelona,Away,1,2,L,Daniel Parejo,Yes,MF,62,0,0,0,0,0,0,0,0,0,0,0
2010-02-14,2009-2010,La Liga,Getafe,Almería,Home,2,2,D,Daniel Parejo,Yes,MF,82,0,0,0,0,0,0,0,0,0,0,0
2010-02-22,2009-2010,La Liga,Getafe,Valencia,Away,1,2,L,Daniel Parejo,Yes,MF,56,0,0,0,1,0,0,0,0,0,0,0
2010-02-27,2009-2010,La Liga,Getafe,Zaragoza,Home,0,2,L,Daniel Parejo,Yes,MF,62,0,0,0,0,0,0,0,0,0,0,0
2010-03-07,2009-2010,La Liga,Getafe,Osasuna,Away,0,0,D,Daniel Parejo,No,MF,16,0,0,0,0,0,0,0,0,0,0,0
2010-03-13,2009-2010,La Liga,Getafe,Mallorca,Home,3,0,W,Daniel Parejo,Yes,MF,90,1,0,0,0,0,0,0,0,0,0,0
2010-03-20,2009-2010,La Liga,Getafe,Athletic Club,Away,2,2,D,Daniel Parejo,Yes,MF,81,0,0,0,0,0,0,0,0,0,0,0
2010-03-25,2009-2010,La Liga,Getafe,Real Madrid,Home,2,4,L,Daniel Parejo,Yes,MF,44,1,0,0,0,0,0,0,0,0,0,0
2010-03-28,2009-2010,La Liga,Getafe,Deportivo La Coruña,Away,3,1,W,Daniel Parejo,No,MF,11,0,0,0,0,0,0,0,0,0,0,0
2010-04-04,2009-2010,La Liga,Getafe,Espanyol,Home,1,1,D,Daniel Parejo,No,MF,23,0,0,0,1,0,0,0,0,0,0,0
2010-04-13,2009-2010,La Liga,Getafe,Villarreal,Home,3,0,W,Daniel Parejo,No,MF,21,0,0,0,0,0,0,0,0,0,0,0
2010-04-18,2009-2010,La Liga,Getafe,Tenerife,Away,2,3,L,Daniel Parejo,No,MF,22,0,0,0,0,0,0,0,0,0,0,0
2010-04-25,2009-2010,La Liga,Getafe,Sevilla,Home,4,3,W,Daniel Parejo,No,MF,15,1,1,0,0,0,0,0,0,0,0,0
2010-05-04,2009-2010,La Liga,Getafe,Sporting Gijón,Home,1,1,D,Daniel Parejo,No,MF,18,0,0,0,0,0,0,0,0,0,0,0
2010-05-08,2009-2010,La Liga,Getafe,Málaga,Home,2,1,W,Daniel Parejo,No,MF,27,0,0,0,0,0,0,0,0,0,0,0
2010-05-15,2009-2010,La Liga,Getafe,Atlético Madrid,Away,3,0,W,Daniel Parejo,No,MF,23,1,0,0,0,0,0,0,0,0,0,0
2010-08-29,2010-2011,La Liga,Getafe,Espanyol,Away,1,3,L,Daniel Parejo,Yes,MF,78,0,0,0,0,0,0,0,0,0,0,0
2010-09-12,2010-2011,La Liga,Getafe,Levante,Home,4,1,W,Daniel Parejo,Yes,MF,77,0,0,0,0,0,0,0,0,0,0,0
2010-09-20,2010-2011,La Liga,Getafe,Deportivo La Coruña,Away,2,2,D,Daniel Parejo,Yes,MF,90,0,0,0,0,0,0,0,0,0,0,0
2010-09-23,2010-2011,La Liga,Getafe,Málaga,Home,0,2,L,Daniel Parejo,Yes,MF,64,0,0,0,1,0,0,0,0,0,0,0
2010-09-26,2010-2011,La Liga,Getafe,Racing Santander,Away,1,0,W,Daniel Parejo,Yes,MF,87,0,0,0,0,0,0,0,0,0,0,0
2010-10-03,2010-2011,La Liga,Getafe,Hércules,Home,3,0,W,Daniel Parejo,Yes,MF,90,1,0,0,1,0,0,0,0,0,0,0
2010-10-16,2010-2011,La Liga,Getafe,Atlético Madrid,Away,0,2,L,Daniel Parejo,Yes,MF,90,0,0,0,0,0,0,0,0,0,0,0
2010-10-24,2010-2011,La Liga,Getafe,Sporting Gijón,Home,3,0,W,Daniel Parejo,Yes,MF,44,0,0,0,0,0,0,0,0,0,0,0
