Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2016-09-11,2016-2017,La Liga,Real Betis,Valencia,Away,3,2,W,Darko Brašanac,Y,CM,90,0,0,1,0,1,0,4,1,0,1,3
2016-09-16,2016-2017,La Liga,Real Betis,Granada,Home,2,2,D,Darko Brašanac,Y,CM,85,0,0,1,0,0,0,1,0,0,0,3
2016-09-20,2016-2017,La Liga,Real Betis,Sevilla,Away,0,1,L,Darko Brašanac,Y,DM,60,0,0,0,0,0,0,2,0,0,0,1
2016-09-23,2016-2017,La Liga,Real Betis,Málaga,Home,1,0,W,Darko Brašanac,N,-,6,0,0,0,0,0,0,0,0,1,0,0
2016-09-30,2016-2017,La Liga,Real Betis,Real Sociedad,Away,0,1,L,Darko Brašanac,N,-,45,0,0,0,0,1,0,2,0,0,0,1
2016-10-15,2016-2017,La Liga,Real Betis,Home,Home,1,6,L,Darko Brašanac,Y,CM,45,0,0,0,0,0,0,1,0,0,0,0
2016-10-21,2016-2017,La Liga,Real Betis,Osasuna,Home,2,1,W,Darko Brašanac,N,-,27,0,0,0,0,1,0,1,0,0,0,1
2016-11-18,2016-2017,La Liga,Real Betis,Las Palmas,Home,2,0,W,Darko Brašanac,N,-,8,0,0,0,0,0,0,1,0,0,1,0
2017-01-08,2016-2017,La Liga,Real Betis,Leganés,Home,2,0,W,Darko Brašanac,N,-,25,0,0,0,0,0,0,0,0,0,0,1
2017-01-14,2016-2017,La Liga,Real Betis,Atlético Madrid,Away,0,1,L,Darko Brašanac,Y,CM,65,0,0,0,0,0,0,5,1,0,0,1
2017-01-22,2016-2017,La Liga,Real Betis,Sporting Gijón,Home,0,0,D,Darko Brašanac,Y,CM,52,0,0,0,0,0,0,0,1,0,1,0
2017-02-28,2016-2017,La Liga,Real Betis,Málaga,Away,2,1,W,Darko Brašanac,Y,RM,90,0,1,1,0,1,0,2,1,0,0,4
2017-03-03,2016-2017,La Liga,Real Betis,Real Sociedad,Home,2,3,L,Darko Brašanac,Y,RM,86,0,0,0,0,0,0,4,1,0,1,0
2017-03-08,2016-2017,La Liga,Real Betis,Dep La Coruña,Away,1,1,D,Darko Brašanac,Y,RM,85,0,0,1,1,0,0,2,1,0,2,0
2017-03-12,2016-2017,La Liga,Real Betis,Real Madrid,Away,1,2,L,Darko Brašanac,Y,CM,85,0,0,0,0,0,0,5,1,0,0,3
2017-03-18,2016-2017,La Liga,Real Betis,Osasuna,Home,2,0,W,Darko Brašanac,Y,CM,85,0,0,0,0,0,0,2,1,1,0,1
2017-03-31,2016-2017,La Liga,Real Betis,Espanyol,Away,1,2,L,Darko Brašanac,Y,CM,88,0,0,2,0,0,0,4,2,1,0,0
2017-04-04,2016-2017,La Liga,Real Betis,Villarreal,Home,0,1,L,Darko Brašanac,Y,CM,76,0,0,2,0,1,0,2,2,0,2,4
2017-04-16,2016-2017,La Liga,Real Betis,Eibar,Home,2,0,W,Darko Brašanac,Y,CM,90,0,0,0,0,0,0,4,4,0,0,3
2017-04-23,2016-2017,La Liga,Real Betis,Celta Vigo,Away,1,0,W,Darko Brašanac,Y,CM,88,1,0,1,1,0,0,1,1,0,0,2
2017-04-27,2016-2017,La Liga,Real Betis,Athletic Club,Away,1,2,L,Darko Brašanac,Y,CM,57,0,0,1,0,1,0,2,0,0,0,0
2017-04-30,2016-2017,La Liga,Real Betis,Alavés,Home,1,4,L,Darko Brašanac,N,-,8,0,0,1,0,0,0,0,0,0,0,1
2017-05-08,2016-2017,La Liga,Real Betis,Leganés,Away,0,4,L,Darko Brašanac,Y,CM,90,0,0,1,1,0,0,5,2,1,0,2
2017-05-14,2016-2017,La Liga,Real Betis,Atlético Madrid,Home,1,1,D,Darko Brašanac,Y,CM,90,0,0,1,0,1,0,2,2,0,0,2
2017-05-20,2016-2017,La Liga,Real Betis,Sporting Gijón,Away,2,2,D,Darko Brašanac,Y,CM,90,0,0,2,0,0,0,3,0,0,0,0
2017-09-15,2017-2018,La Liga,Leganés,Eibar,Away,0,1,L,Darko Brašanac,Y,CM,90,0,0,1,0,1,0,4,1,0,1,2
2017-09-20,2017-2018,La Liga,Leganés,Girona,Home,0,0,D,Darko Brašanac,Y,AM,58,0,0,0,0,0,0,2,0,0,0,0
2017-09-24,2017-2018,La Liga,Leganés,Las Palmas,Away,2,0,W,Darko Brašanac,Y,RW,72,0,0,0,0,0,0,2,0,0,0,1
2017-09-30,2017-2018,La Liga,Leganés,Atlético Madrid,Home,0,0,D,Darko Brašanac,Y,RW,45,0,0,0,0,0,0,0,1,0,0,1
2017-10-15,2017-2018,La Liga,Leganés,Málaga,Away,2,0,W,Darko Brašanac,N,,21,0,0,0,0,0,0,0,0,0,2,1
2017-10-22,2017-2018,La Liga,Leganés,Athletic Club,Home,1,0,W,Darko Brašanac,N,,6,0,0,0,0,0,0,0,0,0,0,0
2017-10-28,2017-2018,La Liga,Leganés,Sevilla,Away,1,2,L,Darko Brašanac,N,,32,0,0,0,0,0,0,1,0,2,2,1
2017-11-04,2017-2018,La Liga,Leganés,Valencia,Away,0,3,L,Darko Brašanac,Y,DM,90,0,0,0,0,0,0,1,0,0,0,0
2017-11-24,2017-2018,La Liga,Leganés,Celta Vigo,Away,0,1,L,Darko Brašanac,Y,RM,22,0,0,0,0,0,0,0,0,1,1,1
2018-01-15,2017-2018,La Liga,Leganés,Real Betis,Away,2,3,L,Darko Brašanac,Y,DM,61,0,0,1,1,0,0,0,2,1,1,0
