Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2012-08-20,2012-2013,La Liga,Granada,Rayo Vallecano,A,0,1,L,Darwin Machís,No,,3,0,0,0,0,0,0,0,0,0,0,0
2012-08-26,2012-2013,La Liga,Granada,Sevilla,H,1,1,D,Darwin Machís,No,,19,0,0,0,0,0,0,0,0,0,0,0
2012-09-16,2012-2013,La Liga,Granada,Deportivo La Coruña,H,1,1,D,Darwin Machís,No,,13,0,0,0,0,0,0,0,0,0,0,0
2012-11-24,2012-2013,La Liga,Granada,Valladolid,A,0,1,L,Darwin Machís,No,,13,0,0,0,0,0,0,0,0,0,0,0
2014-08-23,2014-2015,La Liga,Granada,Deportivo La Coruña,H,2,1,W,Darwin Machís,Yes,,90,0,0,0,0,0,0,0,0,0,0,0
2014-09-14,2014-2015,La Liga,Granada,Villarreal,H,0,0,D,Darwin Machís,No,,45,0,0,0,0,1,0,0,0,0,0,0
2014-09-24,2014-2015,La Liga,Granada,Levante,H,0,1,L,Darwin Machís,Yes,,90,0,0,0,0,0,0,0,0,0,0,0
2016-08-22,2016-2017,La Liga,Leganés,Celta Vigo,A,1,0,W,Darwin Machís,No,,29,0,1,2,1,0,0,0,1,0,1,2
2016-08-27,2016-2017,La Liga,Leganés,Atlético Madrid,H,0,0,D,Darwin Machís,No,,8,0,0,1,0,0,0,1,0,0,0,0
2016-09-11,2016-2017,La Liga,Leganés,Sporting Gijón,A,1,2,L,Darwin Machís,No,,26,0,0,0,0,0,0,2,0,0,1,0
2016-09-17,2016-2017,La Liga,Leganés,Barcelona,H,1,5,L,Darwin Machís,Yes,FW,61,0,0,3,2,0,0,1,2,0,3,1
2016-09-25,2016-2017,La Liga,Leganés,Valencia,H,1,2,L,Darwin Machís,No,,7,0,0,0,0,0,0,0,0,0,1,0
2016-10-15,2016-2017,La Liga,Leganés,Sevilla,H,2,3,L,Darwin Machís,No,,13,0,0,0,0,0,0,0,0,0,1,0
2016-11-06,2016-2017,La Liga,Leganés,Real Madrid,A,0,3,L,Darwin Machís,Yes,FW,54,0,0,0,0,1,0,1,2,0,1,1
2016-11-21,2016-2017,La Liga,Leganés,Osasuna,H,2,0,W,Darwin Machís,No,,45,0,0,2,0,0,0,1,1,0,0,2
2016-11-26,2016-2017,La Liga,Leganés,Espanyol,A,0,3,L,Darwin Machís,No,,14,0,0,0,0,0,0,1,0,1,0,0
2016-12-03,2016-2017,La Liga,Leganés,Villarreal,H,0,0,D,Darwin Machís,Yes,AM,90,0,0,2,0,0,0,0,5,1,5,1
