Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2010-03-06,2009-2010,Bundesliga,Bayern Munich,Köln,Away,1,1,D,David Alaba,N,,18,0,0,0,0,0,0,,,,0,
2010-03-13,2009-2010,Bundesliga,Bayern Munich,Freiburg,Home,2,1,W,David Alaba,Y,,90,0,0,0,0,0,0,,,,0,
2010-03-20,2009-2010,Bundesliga,Bayern Munich,Frankfurt,Away,1,2,L,David Alaba,Y,,90,0,0,0,0,0,0,,,,0,
2010-11-06,2010-2011,Bundesliga,Bayern Munich,Gladbach,Away,3,3,D,David Alaba,N,,10,0,0,0,0,0,0,,,,0,0
2010-12-19,2010-2011,Bundesliga,Bayern Munich,Stuttgart,Away,5,3,W,David Alaba,N,,14,0,0,0,0,0,0,,,,0,0
2011-01-15,2010-2011,Bundesliga,Hoffenheim,Werder Bremen,Away,1,2,L,David Alaba,Y,,90,0,0,0,0,0,0,,,,0,0
2011-01-23,2010-2011,Bundesliga,Hoffenheim,St Pauli,Home,2,2,D,David Alaba,Y,,90,1,0,0,0,0,0,,,,0,0
2011-01-29,2010-2011,Bundesliga,Hoffenheim,Schalke 04,Away,1,0,W,David Alaba,Y,,90,0,0,0,0,0,0,,,,0,0
2011-02-05,2010-2011,Bundesliga,Hoffenheim,Kaiserslautern,Home,3,2,W,David Alaba,Y,,90,0,0,0,0,0,0,,,,0,0
2011-02-12,2010-2011,Bundesliga,Hoffenheim,Bayern Munich,Away,0,4,L,David Alaba,Y,,90,0,0,0,0,0,0,,,,0,0
2011-02-19,2010-2011,Bundesliga,Hoffenheim,Köln,Home,1,1,D,David Alaba,Y,,90,0,0,0,0,1,0,,,,0,0
2011-02-26,2010-2011,Bundesliga,Hoffenheim,Mainz 05,Away,1,2,L,David Alaba,Y,,90,1,0,0,0,0,0,,,,0,0
2011-03-05,2010-2011,Bundesliga,Hoffenheim,Gladbach,Away,0,2,L,David Alaba,Y,,90,0,0,0,0,1,0,,,,0,0
2011-03-12,2010-2011,Bundesliga,Hoffenheim,Dortmund,Home,1,0,W,David Alaba,Y,,90,0,0,0,0,0,0,,,,0,0
2011-03-19,2010-2011,Bundesliga,Hoffenheim,Hannover 96,Away,0,2,L,David Alaba,Y,,90,0,0,0,0,0,0,,,,0,0
