Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2010-09-26,2010-2011,La Liga,Espanyol,Osasuna,Home,1,0,W,David López,N,,2,0,0,,,0,0,,,,,
2010-12-12,2010-2011,La Liga,Espanyol,Athletic Club,Away,1,2,L,David López,N,,26,0,0,,,0,0,,,,,
2011-05-02,2010-2011,La Liga,Espanyol,Athletic Club,Home,2,1,W,David López,N,,2,0,0,,,0,0,,,,,
2013-08-19,2013-2014,La Liga,Espanyol,Celta Vigo,Away,2,2,D 2-2,David López,Y,,61,0,0,,,,,,,,,
2013-08-24,2013-2014,La Liga,Espanyol,Valencia,Home,3,1,W 3-1,David López,Y,,90,1,0,1,,,,,,,,
2013-09-01,2013-2014,La Liga,Espanyol,Real Betis,Home,0,0,D 0-0,David López,Y,,90,0,0,0,,,,,,,,
2013-09-15,2013-2014,La Liga,Espanyol,Granada,Away,1,0,W 1-0,David López,Y,,90,0,0,0,,,,,,,,
2013-09-23,2013-2014,La Liga,Espanyol,Athletic Club,Home,3,2,W 3-2,David López,Y,,90,0,0,1,,,,,,,,
2013-09-29,2013-2014,La Liga,Espanyol,Getafe,Home,0,2,L 0-2,David López,Y,,76,0,0,0,,,,,,,,
2013-10-05,2013-2014,La Liga,Espanyol,Elche,Away,1,2,L 1-2,David López,Y,,90,0,0,1,,,,,,,,
2013-10-19,2013-2014,La Liga,Espanyol,Atlético Madrid,Home,1,0,W 1-0,David López,Y,,81,0,0,1,,,,,,,,
2013-10-26,2013-2014,La Liga,Espanyol,Levante,Away,0,3,L 0-3,David López,Y,,90,0,0,0,,,,,,,,
2013-10-29,2013-2014,La Liga,Espanyol,Málaga,Home,0,0,D 0-0,David López,Y,,90,0,0,1,,,,,,,,
2013-11-01,2013-2014,La Liga,Espanyol,Barcelona,Away,0,1,L 0-1,David López,Y,,90,0,0,0,,,,,,,,
2013-11-24,2013-2014,La Liga,Espanyol,Rayo Vallecano,Away,4,1,W 4-1,David López,Y,,90,0,0,0,,,,,,,,
2013-11-30,2013-2014,La Liga,Espanyol,Real Sociedad,Home,1,2,L 1-2,David López,Y,,90,0,0,0,,,,,,,,
2013-12-15,2013-2014,La Liga,Espanyol,Almería,Away,0,0,D 0-0,David López,Y,,90,0,0,0,,,,,,,,
2013-12-22,2013-2014,La Liga,Espanyol,Valladolid,Home,4,2,W 4-2,David López,Y,,56,0,0,0,,,,,,,,
2014-01-05,2013-2014,La Liga,Espanyol,Osasuna,Away,0,1,L 0-1,David López,Y,,90,0,0,1,,,,,,,,
2014-02-02,2013-2014,La Liga,Espanyol,Real Betis,Away,0,2,L 0-2,David López,Y,,64,0,0,0,,,,,,,,
2014-02-07,2013-2014,La Liga,Espanyol,Granada,Home,1,0,W 1-0,David López,Y,,90,0,0,0,,,,,,,,
2014-02-16,2013-2014,La Liga,Espanyol,Athletic Club,Away,2,1,W 2-1,David López,Y,,90,0,0,1,,,,,,,,
2014-02-24,2013-2014,La Liga,Espanyol,Villarreal,Home,1,2,L 1-2,David López,Y,,90,0,0,0,,,,,,,,
2014-03-01,2013-2014,La Liga,Espanyol,Getafe,Away,0,0,D 0-0,David López,Y,,90,0,0,0,,,,,,,,
2014-03-09,2013-2014,La Liga,Espanyol,Elche,Home,3,1,W 3-1,David López,Y,,90,1,0,0,,,,,,,,
2014-03-15,2013-2014,La Liga,Espanyol,Atlético Madrid,Away,0,1,L,David López,Y,,90,0,0,,,0,0,,,,,
2014-03-22,2013-2014,La Liga,Espanyol,Levante,Home,0,0,D,David López,Y,,90,0,0,,,1,0,,,,,
2014-03-25,2013-2014,La Liga,Espanyol,Málaga,Away,2,1,W,David López,Y,,81,0,0,,,0,0,,,,,
2014-03-29,2013-2014,La Liga,Espanyol,Barcelona,Home,0,1,L,David López,Y,,90,0,0,,,0,0,,,,,
2014-04-06,2013-2014,La Liga,Espanyol,Sevilla,Away,1,4,L,David López,Y,,90,0,0,,,1,0,,,,,
2014-04-13,2013-2014,La Liga,Espanyol,Rayo Vallecano,Home,2,2,D,David López,Y,,75,0,0,,,0,0,,,,,
2014-04-19,2013-2014,La Liga,Espanyol,Real Sociedad,Away,1,2,L,David López,Y,,90,0,0,,,0,0,,,,,
