Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2017-05-20,2016-2017,La Liga,Sevilla,Osasuna,Home,5,0,W,David Soria,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-08-19,2017-2018,La Liga,Sevilla,Espanyol,Home,1,1,D,David Soria,Y,GK,4,0,0,0,0,0,0,0,0,0,0,0
2017-09-30,2017-2018,La Liga,Sevilla,Málaga,Home,2,0,W,David Soria,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-10-28,2017-2018,La Liga,Sevilla,Leganés,Home,2,1,W,David Soria,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-11-04,2017-2018,La Liga,Sevilla,Barcelona,Away,1,2,L,David Soria,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-11-18,2017-2018,La Liga,Sevilla,Celta Vigo,Home,2,1,W,David Soria,Y,GK,90,0,0,0,0,1,0,0,0,0,0,0
2017-12-02,2017-2018,La Liga,Sevilla,Dep La Coruña,Home,2,0,W,David Soria,Y,GK,90,0,0,0,0,0,0,0,0,0,0,1
2017-12-20,2017-2018,La Liga,Sevilla,Real Sociedad,Away,1,3,L,David Soria,Y,GK,90,0,0,0,0,0,0,0,0,0,0,1
2018-04-07,2017-2018,La Liga,Sevilla,Celta Vigo,Away,0,4,L,David Soria,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-04-14,2017-2018,La Liga,Sevilla,Villarreal,Home,2,2,D,David Soria,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-04-17,2017-2018,La Liga,Sevilla,Dep La Coruña,Away,0,0,D,David Soria,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-04-27,2017-2018,La Liga,Sevilla,Levante,Away,1,2,L,David Soria,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-05-04,2017-2018,La Liga,Sevilla,Real Sociedad,Home,1,0,W,David Soria,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-05-09,2017-2018,La Liga,Sevilla,Real Madrid,Home,3,2,W,David Soria,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-05-12,2017-2018,La Liga,Sevilla,Real Betis,Away,2,2,D,David Soria,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-05-19,2017-2018,La Liga,Sevilla,Alavés,Home,1,0,W,David Soria,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-08-19,2018-2019,La Liga,Getafe,Real Madrid,Away,0,2,L,David Soria,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-08-24,2018-2019,La Liga,Getafe,Eibar,Home,2,0,W,David Soria,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-08-31,2018-2019,La Liga,Getafe,Valladolid,Home,0,0,D,David Soria,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-09-16,2018-2019,La Liga,Getafe,Sevilla,Away,2,0,W,David Soria,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-09-22,2018-2019,La Liga,Getafe,Atlético Madrid,Home,0,2,L,David Soria,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-09-27,2018-2019,La Liga,Getafe,Alavés,Away,1,1,D,David Soria,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
