Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2023-01-21,2022-2023,La Liga,Valladolid,Atlético Madrid,Away,0,3,L,David Torres,Y,CB,90,0,0,0,0,0,0,0,0,1,2,1
2023-01-29,2022-2023,La Liga,Valladolid,Valencia,Home,1,0,W,David Torres,N,,11,0,0,0,0,0,0,0,0,0,0,0
2023-04-02,2022-2023,La Liga,Valladolid,Real Madrid,Away,0,6,L,David Torres,N,,30,0,0,0,0,0,0,2,0,0,0,0
2023-05-14,2022-2023,La Liga,Valladolid,Sevilla,Home,0,3,L,David Torres,Y,CB,79,0,0,1,0,1,0,1,0,0,0,0
2023-05-23,2022-2023,La Liga,Valladolid,Barcelona,Home,3,1,W,David Torres,N,,75,0,0,0,0,0,0,0,0,0,0,1
2023-05-28,2022-2023,La Liga,Valladolid,Almería,Away,0,0,D,David Torres,N,,26,0,0,0,0,0,0,0,0,0,0,0
2023-06-04,2022-2023,La Liga,Valladolid,Getafe,Home,0,0,D,David Torres,N,,74,0,0,0,0,0,0,0,0,0,0,0
2024-08-19,2024-2025,La Liga,Valladolid,Espanyol,Home,1,0,W,David Torres,N,,9,0,0,0,0,0,0,0,0,0,0,0
2024-09-21,2024-2025,La Liga,Valladolid,Real Sociedad,Home,0,0,D,David Torres,N,,77,0,0,1,0,0,0,0,0,0,1,1
2024-09-24,2024-2025,La Liga,Valladolid,Sevilla,Away,1,2,L,David Torres,Y,CB,90,0,0,0,0,1,0,1,0,0,0,0
2024-09-27,2024-2025,La Liga,Valladolid,Mallorca,Home,1,2,L,David Torres,Y,CB,71,0,0,0,0,0,0,0,0,0,1,0
2024-10-05,2024-2025,La Liga,Valladolid,Rayo Vallecano,Home,1,2,L,David Torres,Y,CB,90,0,0,0,0,1,0,1,0,0,1,0
2024-10-18,2024-2025,La Liga,Valladolid,Alavés,Away,3,2,W,David Torres,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2024-10-26,2024-2025,La Liga,Valladolid,Villarreal,Home,1,2,L,David Torres,Y,CB,90,0,0,0,0,1,0,2,0,0,0,0
2024-11-02,2024-2025,La Liga,Valladolid,Osasuna,Away,0,1,L,David Torres,Y,CB,90,0,0,0,0,0,0,1,0,0,0,1
2024-11-10,2024-2025,La Liga,Valladolid,Athletic Club,Home,1,1,D,David Torres,Y,CB,90,0,0,0,0,1,0,3,0,0,1,0
2024-12-20,2024-2025,La Liga,Valladolid,Girona,Away,0,3,L,David Torres,Y,LB,90,0,0,0,0,0,0,1,0,1,1,2
2025-01-11,2024-2025,La Liga,Valladolid,Real Betis,Home,1,0,W,David Torres,N,,36,0,0,0,0,0,0,0,0,0,0,0
2025-01-25,2024-2025,La Liga,Valladolid,Real Madrid,Home,0,3,L,David Torres,Y,CB,90,0,0,1,1,0,0,1,0,0,0,1
2025-02-01,2024-2025,La Liga,Valladolid,Villarreal,Away,1,5,L,David Torres,Y,CB,90,0,0,0,0,0,0,1,0,0,1,2
2025-02-07,2024-2025,La Liga,Valladolid,Rayo Vallecano,Away,0,1,L,David Torres,Y,LB,90,0,0,0,0,0,0,0,0,1,0,2
2025-02-16,2024-2025,La Liga,Valladolid,Sevilla,Home,0,4,L,David Torres,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2025-02-23,2024-2025,La Liga,Valladolid,Athletic Club,Away,1,7,L,David Torres,Y,CB,90,0,0,0,0,0,0,1,0,1,3,2
2025-03-08,2024-2025,La Liga,Valladolid,Valencia,Away,1,2,L,David Torres,Y,CB,24,0,0,0,0,0,0,0,0,0,0,0
2025-03-29,2024-2025,La Liga,Valladolid,Real Sociedad,Away,1,2,L,David Torres,Y,CB,90,0,0,1,0,1,0,1,0,0,0,0
