Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2024-08-17,2024-2025,La Liga,Leganés,Osasuna,Away,1,1,D,Diego,N,,3,0,0,0,0,0,0,0,0,0,0,0
2024-08-25,2024-2025,La Liga,Leganés,Las Palmas,Home,2,1,W,Diego,N,,9,0,0,1,1,0,0,1,0,0,0,0
2024-08-31,2024-2025,La Liga,Leganés,Mallorca,Home,0,1,L,Diego,Y,FW,90,0,0,4,1,0,0,2,3,2,0,0
2024-09-19,2024-2025,La Liga,Leganés,Athletic Club,Home,0,2,L,Diego,N,,11,0,0,1,0,0,0,0,0,0,0,0
2024-10-20,2024-2025,La Liga,Leganés,Atlético Madrid,Away,1,3,L,Diego,N,,8,0,0,0,0,0,0,1,1,0,0,0
2024-10-27,2024-2025,La Liga,Leganés,Celta Vigo,Home,3,0,W,Diego,Y,AM,64,1,0,1,1,0,0,0,2,1,0,0
2024-11-24,2024-2025,La Liga,Leganés,Real Madrid,Home,0,3,L,Diego,N,,5,0,0,0,0,0,0,0,0,0,0,0
2024-11-30,2024-2025,La Liga,Leganés,Alavés,Away,1,1,D,Diego,Y,FW,81,0,0,1,0,0,0,1,2,0,0,1
2024-12-08,2024-2025,La Liga,Leganés,Real Sociedad,Home,0,3,L,Diego,Y,AM,90,0,0,1,0,0,0,1,4,1,0,0
2024-12-15,2024-2025,La Liga,Leganés,Barcelona,Away,1,0,W,Diego,N,,33,0,0,1,0,0,0,1,1,0,0,0
2024-12-22,2024-2025,La Liga,Leganés,Villarreal,Home,2,5,L,Diego,N,,17,0,0,1,0,0,0,1,0,0,0,0
2025-01-11,2024-2025,La Liga,Leganés,Espanyol,Away,1,1,D,Diego,N,,6,0,0,1,1,0,0,0,0,0,0,0
2025-01-18,2024-2025,La Liga,Leganés,Atlético Madrid,Home,1,0,W,Diego,N,,6,0,0,0,0,0,0,0,0,0,0,0
2025-02-09,2024-2025,La Liga,Leganés,Valencia,Away,0,2,L,Diego,N,,18,0,0,1,0,0,0,0,0,0,0,0
2025-02-15,2024-2025,La Liga,Leganés,Alavés,Home,3,3,D,Diego,Y,FW,90,0,0,1,0,0,0,5,1,0,0,0
2025-02-23,2024-2025,La Liga,Leganés,Real Sociedad,Away,0,3,L,Diego,Y,FW,52,0,0,0,0,0,0,1,0,0,0,0
2025-03-02,2024-2025,La Liga,Leganés,Getafe,Home,1,0,W,Diego,N,,14,1,0,1,1,0,0,0,0,0,0,0
2025-03-08,2024-2025,La Liga,Leganés,Celta Vigo,Away,1,2,L,Diego,Y,FW,66,0,0,3,2,0,0,1,1,0,0,1
2025-03-29,2024-2025,La Liga,Leganés,Real Madrid,Away,2,3,L,Diego,Y,FW,82,1,0,2,1,1,0,2,2,0,0,0
2025-04-07,2024-2025,La Liga,Leganés,Osasuna,Home,1,1,D,Diego,Y,FW,69,0,0,1,0,0,0,0,1,0,0,0
2025-04-12,2024-2025,La Liga,Leganés,Barcelona,Home,0,1,L,Diego,N,,16,0,0,1,0,0,0,0,0,0,0,0
2025-04-19,2024-2025,La Liga,Leganés,Mallorca,Away,0,0,D,Diego,Y,FW,75,0,0,0,0,0,0,1,0,0,0,1
2025-04-24,2024-2025,La Liga,Leganés,Girona,Home,1,1,D,Diego,N,,15,0,0,1,0,1,0,0,1,0,0,0
2025-05-04,2024-2025,La Liga,Leganés,Sevilla,Away,2,2,D,Diego,N,,10,0,0,0,0,0,0,1,0,0,0,0
2025-05-11,2024-2025,La Liga,Leganés,Espanyol,Home,3,2,W,Diego,Y,FW,88,0,0,3,0,0,0,0,1,0,0,0
2025-05-14,2024-2025,La Liga,Leganés,Villarreal,Away,0,3,L,Diego,Y,FW,62,0,0,1,0,0,0,0,1,0,1,0
2025-05-18,2024-2025,La Liga,Leganés,Las Palmas,Away,1,0,W,Diego,Y,FW,87,0,0,1,1,0,0,2,2,0,0,0
2025-05-24,2024-2025,La Liga,Leganés,Valladolid,Home,3,0,W,Diego,N,,28,0,0,1,0,0,0,1,0,1,0,0
