MatchID,Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
DC220204,2021-02-04,2021-2022,La Liga,Getafe,Levante,Home,3,0,W,Diego Conde,N,GK,6,0,0,0,0,0,0,0,0,0,0,0
DC240819,2024-08-19,2024-2025,La Liga,Villarreal,Atlético Madrid,Home,2,2,D,Diego Conde,Y,GK,90,0,1,0,0,0,0,0,0,0,0,0
DC240823,2024-08-23,2024-2025,La Liga,Villarreal,Sevilla,Away,2,1,W,Diego Conde,Y,GK,90,0,0,0,0,0,0,0,0,0,0,1
DC240826,2024-08-26,2024-2025,La Liga,Villarreal,Celta Vigo,Home,4,3,W,Diego Conde,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
DC240831,2024-08-31,2024-2025,La Liga,Villarreal,Valencia,Away,1,1,D,Diego Conde,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
DC240914,2024-09-14,2024-2025,La Liga,Villarreal,Mallorca,Away,2,1,W,Diego Conde,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
DC240922,2024-09-22,2024-2025,La Liga,Villarreal,Barcelona,Home,1,5,L,Diego Conde,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
DC240926,2024-09-26,2024-2025,La Liga,Villarreal,Espanyol,Away,2,1,W,Diego Conde,Y,GK,90,0,0,0,0,1,0,0,0,0,0,0
DC240930,2024-09-30,2024-2025,La Liga,Villarreal,Las Palmas,Home,3,1,W,Diego Conde,Y,GK,90,0,0,0,0,0,0,0,0,0,0,1
DC241005,2024-10-05,2024-2025,La Liga,Villarreal,Real Madrid,Away,0,2,L,Diego Conde,Y,GK,90,0,0,0,0,0,0,0,0,0,0,1
DC241020,2024-10-20,2024-2025,La Liga,Villarreal,Getafe,Home,1,1,D,Diego Conde,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
DC241026,2024-10-26,2024-2025,La Liga,Villarreal,Valladolid,Away,2,1,W,Diego Conde,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
DC241109,2024-11-09,2024-2025,La Liga,Villarreal,Alavés,Home,3,0,W,Diego Conde,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
DC241124,2024-11-24,2024-2025,La Liga,Villarreal,Osasuna,Away,2,2,D,Diego Conde,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
DC241201,2024-12-01,2024-2025,La Liga,Villarreal,Girona,Home,2,2,D,Diego Conde,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
DC241208,2024-12-08,2024-2025,La Liga,Villarreal,Athletic Club,Away,0,2,L,Diego Conde,Y,GK,72,0,0,0,0,0,0,0,0,0,0,0
DC250201,2025-02-01,2024-2025,La Liga,Villarreal,Valladolid,Home,5,1,W,Diego Conde,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
DC250208,2025-02-08,2024-2025,La Liga,Villarreal,Las Palmas,Away,2,1,W,Diego Conde,Y,GK,90,0,0,0,0,0,0,0,1,0,0,0
DC250215,2025-02-15,2024-2025,La Liga,Villarreal,Valencia,Home,1,1,D,Diego Conde,Y,GK,90,0,0,0,0,0,0,0,1,0,0,0
DC250222,2025-02-22,2024-2025,La Liga,Villarreal,Rayo Vallecano,Away,1,0,W,Diego Conde,Y,GK,90,0,0,0,0,1,0,0,0,0,0,0
DC250308,2025-03-08,2024-2025,La Liga,Villarreal,Alavés,Away,0,1,L,Diego Conde,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
DC250315,2025-03-15,2024-2025,La Liga,Villarreal,Real Madrid,Home,1,2,L,Diego Conde,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
DC250525,2025-05-25,2024-2025,La Liga,Villarreal,Sevilla,Home,4,2,W,Diego Conde,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
