Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2013-06-01,2012-2013,La Liga,Real Madrid,Osasuna,Home,4,2,W,Diego Llorente,N,N/A,4,0,0,0,0,0,0,0,0,0,0,0
2014-04-12,2013-2014,La Liga,Real Madrid,Almería,Home,4,0,W,Diego Llorente,N,,19,0,0,0,0,0,0,,,,,
2015-08-22,2015-2016,La Liga,Rayo Vallecano,Valencia,Home,0,0,D,Diego Llorente,Y,CB,90,0,0,0,0,0,0,1,0,0,1,2
2015-08-29,2015-2016,La Liga,Rayo Vallecano,Celta Vigo,Away,0,3,L,Diego Llorente,Y,CB,90,0,0,0,0,0,0,1,0,0,1,5
2015-09-14,2015-2016,La Liga,Rayo Vallecano,Deportivo La Coruña,Home,1,3,L,Diego Llorente,Y,CB,90,0,0,0,0,1,0,1,0,0,1,5
2015-09-20,2015-2016,La Liga,Rayo Vallecano,Las Palmas,Away,1,0,W,Diego Llorente,Y,CB,90,0,0,0,0,0,0,1,1,0,2,6
2015-09-23,2015-2016,La Liga,Rayo Vallecano,Sporting Gijón,Home,2,1,W,Diego Llorente,Y,CB,90,0,0,0,0,0,0,1,1,0,0,5
2015-09-26,2015-2016,La Liga,Rayo Vallecano,Sevilla,Away,2,3,L,Diego Llorente,Y,CB,90,0,0,0,0,1,0,3,1,0,2,6
2015-10-04,2015-2016,La Liga,Rayo Vallecano,Real Betis,Home,0,2,L,Diego Llorente,Y,CB,90,0,0,0,0,0,0,0,0,0,0,1
2015-10-17,2015-2016,La Liga,Rayo Vallecano,Barcelona,Away,2,5,L,Diego Llorente,Y,CB,90,0,0,1,1,1,0,3,1,1,1,2
2015-10-23,2015-2016,La Liga,Rayo Vallecano,Espanyol,Home,3,0,W,Diego Llorente,Y,CB,90,0,0,0,0,0,0,0,1,0,2,5
2015-11-01,2015-2016,La Liga,Rayo Vallecano,Eibar,Away,0,1,L,Diego Llorente,Y,CB,90,0,0,0,0,0,0,1,4,0,5,5
2015-11-07,2015-2016,La Liga,Rayo Vallecano,Granada,Home,2,1,W,Diego Llorente,Y,CB,90,0,0,0,0,0,0,2,2,0,2,1
2015-11-23,2015-2016,La Liga,Rayo Vallecano,Getafe,Away,1,1,D,Diego Llorente,Y,CB,90,0,0,0,0,0,0,1,1,1,1,1
2015-11-29,2015-2016,La Liga,Rayo Vallecano,Athletic Club,Home,0,3,L,Diego Llorente,Y,CB,90,0,0,0,0,0,0,2,1,0,3,7
2015-12-06,2015-2016,La Liga,Rayo Vallecano,Villarreal,Away,1,2,L,Diego Llorente,Y,CB,90,0,0,1,1,0,0,2,1,0,1,5
2015-12-13,2015-2016,La Liga,Rayo Vallecano,Málaga,Home,1,2,L,Diego Llorente,Y,CB,90,0,0,0,0,0,0,1,0,0,1,6
2015-12-30,2015-2016,La Liga,Rayo Vallecano,Atlético Madrid,Home,0,2,L,Diego Llorente,Y,CB,88,0,0,0,0,0,0,2,0,0,2,3
2016-01-03,2015-2016,La Liga,Rayo Vallecano,Real Sociedad,Home,2,2,D,Diego Llorente,Y,CB,90,1,0,2,1,1,0,3,4,0,4,7
2016-01-17,2015-2016,La Liga,Rayo Vallecano,Valencia,Away,2,2,D,Diego Llorente,Y,DM,90,1,0,1,1,1,0,3,0,1,1,3
2016-01-23,2015-2016,La Liga,Rayo Vallecano,Celta Vigo,Home,3,0,W,Diego Llorente,Y,DM,90,0,0,1,0,0,0,5,1,0,3,1
2016-02-01,2015-2016,La Liga,Rayo Vallecano,Deportivo La Coruña,Away,2,2,D,Diego Llorente,Y,DM,90,0,0,0,0,0,0,2,2,0,0,5
