Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2022-08-29,2022-2023,La Liga,Valencia,Atlético Madrid,Home,0,1,L,Diego López,N,,10,0,0,0,0,0,0,1,0,0,0,0
2023-04-23,2022-2023,La Liga,Valencia,Elche,Away,2,0,W,Diego López,N,,11,0,0,0,0,0,0,0,0,0,0,1
2023-04-27,2022-2023,La Liga,Valencia,Valladolid,Home,2,1,W,Diego López,N,,7,0,0,0,0,0,0,0,0,2,0,0
2023-04-30,2022-2023,La Liga,Valencia,Cádiz,Away,1,2,L,Diego López,N,,35,0,0,2,1,0,0,1,0,1,0,0
2023-05-03,2022-2023,La Liga,Valencia,Villarreal,Home,1,1,D,Diego López,N,,45,0,0,1,0,0,0,1,1,2,2,1
2023-05-14,2022-2023,La Liga,Valencia,Celta Vigo,Away,2,1,W,Diego López,Y,AM,59,0,1,2,2,0,0,2,0,2,0,0
2023-05-21,2022-2023,La Liga,Valencia,Real Madrid,Home,1,0,W,Diego López,Y,AM,57,1,0,3,2,0,0,2,0,1,0,2
2023-05-25,2022-2023,La Liga,Valencia,Mallorca,Away,0,1,L,Diego López,Y,AM,65,0,0,1,1,0,0,1,1,1,0,0
2023-05-28,2022-2023,La Liga,Valencia,Espanyol,Home,2,2,D,Diego López,Y,AM,81,1,0,2,1,0,0,0,0,2,0,0
2023-06-04,2022-2023,La Liga,Valencia,Real Betis,Away,1,1,D,Diego López,Y,AM,77,1,0,1,1,0,0,3,0,1,0,0
2023-08-11,2023-2024,La Liga,Valencia,Sevilla,Away,2,1,W,Diego López,Y,LM,64,0,0,2,0,0,0,0,0,1,1,1
2023-08-18,2023-2024,La Liga,Valencia,Las Palmas,Home,1,0,W,Diego López,Y,LM,69,0,0,1,1,0,0,0,0,2,1,0
2023-08-27,2023-2024,La Liga,Valencia,Osasuna,Home,1,2,L,Diego López,Y,LM,74,0,0,0,0,0,0,0,0,4,1,2
2023-09-02,2023-2024,La Liga,Valencia,Alavés,Away,0,1,L,Diego López,Y,LM,69,0,0,3,2,0,0,3,0,0,0,0
2023-09-16,2023-2024,La Liga,Valencia,Atlético Madrid,Home,3,0,W,Diego López,N,,32,0,0,1,1,0,0,1,0,1,0,0
2023-09-23,2023-2024,La Liga,Valencia,Almería,Away,2,2,D,Diego López,Y,AM,89,1,0,1,1,0,0,1,0,0,1,0
2023-09-27,2023-2024,La Liga,Valencia,Real Sociedad,Home,0,1,L,Diego López,Y,AM,73,0,0,1,0,0,0,1,1,2,0,0
