Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2016-08-22,2016-2017,La Liga,Leganés,Celta Vigo,Away,1,0,W,Diego Rico,Y,CB,90,0,0,0,0,0,0,1,0,2,5,4
2016-08-27,2016-2017,La Liga,Leganés,Atlético Madrid,Away,0,0,D,Diego Rico,Y,CB,90,0,0,0,0,0,0,3,1,0,1,5
2016-09-11,2016-2017,La Liga,Leganés,Sporting Gijón,Away,1,2,L,Diego Rico,Y,CB,90,1,0,1,1,0,0,0,1,0,3,4
2016-09-17,2016-2017,La Liga,Leganés,Barcelona,Home,1,5,L,Diego Rico,Y,LB,90,0,0,0,0,0,0,3,1,0,5,6
2016-09-22,2016-2017,La Liga,Leganés,Dep La Coruña,Away,2,1,W,Diego Rico,Y,LB,90,0,0,1,0,0,0,2,0,2,2,3
2016-10-01,2016-2017,La Liga,Leganés,Granada,Away,1,0,W,Diego Rico,Y,LB,90,0,0,0,0,0,0,0,1,0,1,2
2016-10-15,2016-2017,La Liga,Leganés,Sevilla,Home,2,3,L,Diego Rico,Y,LB,90,0,0,0,0,0,0,1,3,0,3,0
2016-10-23,2016-2017,La Liga,Leganés,Málaga,Away,0,4,L,Diego Rico,Y,LB,90,0,0,1,0,1,0,2,0,0,1,5
2016-10-28,2016-2017,La Liga,Leganés,Real Sociedad,Home,0,2,L,Diego Rico,Y,LB,90,0,0,0,0,1,0,1,2,0,1,3
2016-11-06,2016-2017,La Liga,Leganés,Real Madrid,Away,0,3,L,Diego Rico,Y,LB,90,0,0,0,0,0,0,1,2,0,2,3
2016-11-21,2016-2017,La Liga,Leganés,Osasuna,Home,2,0,W,Diego Rico,Y,LB,78,0,0,0,0,1,0,2,1,0,4,2
2017-02-04,2016-2017,La Liga,Leganés,Atlético Madrid,Away,0,2,L,Diego Rico,Y,LB,90,0,0,1,0,0,0,2,2,0,5,7
2017-02-12,2016-2017,La Liga,Leganés,Sporting Gijón,Home,0,2,L,Diego Rico,Y,LB,90,0,0,0,0,1,0,2,1,0,4,0
2017-02-19,2016-2017,La Liga,Leganés,Barcelona,Away,1,2,L,Diego Rico,Y,LB,90,0,0,0,0,0,0,1,0,0,2,2
2017-02-25,2016-2017,La Liga,Leganés,Dep La Coruña,Home,4,0,W,Diego Rico,Y,LB,90,0,0,0,0,0,0,0,0,0,1,3
2017-03-04,2016-2017,La Liga,Leganés,Granada,Home,1,0,W,Diego Rico,Y,LB,90,0,0,1,1,1,0,1,3,0,4,4
2017-03-19,2016-2017,La Liga,Leganés,Málaga,Home,0,0,D,Diego Rico,Y,DM,90,0,0,4,1,0,0,1,3,0,8,1
2017-04-01,2016-2017,La Liga,Leganés,Real Sociedad,Away,1,1,D,Diego Rico,Y,LB,90,0,0,0,0,0,0,1,0,0,3,0
2017-04-05,2016-2017,La Liga,Leganés,Real Madrid,Away,2,4,L,Diego Rico,Y,LB,90,0,0,1,0,0,0,2,1,0,5,1
2017-04-09,2016-2017,La Liga,Leganés,Osasuna,Away,1,2,L,Diego Rico,Y,LB,75,0,0,2,0,1,0,1,3,0,5,2
2017-04-26,2016-2017,La Liga,Leganés,Las Palmas,Home,3,0,W,Diego Rico,Y,LB,87,0,0,2,0,0,0,1,0,0,5,2
2017-04-30,2016-2017,La Liga,Leganés,Eibar,Away,0,2,L,Diego Rico,Y,LB,90,0,0,0,0,0,0,0,3,0,2,2
2017-05-08,2016-2017,La Liga,Leganés,Real Betis,Home,4,0,W,Diego Rico,Y,LB,90,0,0,1,0,0,0,1,2,0,1,2
2017-05-14,2016-2017,La Liga,Leganés,Athletic Club,Away,1,1,D,Diego Rico,Y,LB,90,0,0,0,0,0,0,1,1,0,1,1
2017-05-20,2016-2017,La Liga,Leganés,Alavés,Home,1,1,D,Diego Rico,Y,LB,90,0,0,1,0,0,0,0,2,0,1,1
2017-08-18,2017-2018,La Liga,Leganés,Alavés,Home,1,0,W,Diego Rico,Y,LB,90,0,0,0,0,0,0,2,0,0,4,0
2017-08-27,2017-2018,La Liga,Leganés,Espanyol,Away,1,0,W,Diego Rico,Y,LB,90,0,0,1,0,1,0,1,0,1,2,0
2017-09-08,2017-2018,La Liga,Leganés,Getafe,Home,1,2,L,Diego Rico,Y,LB,90,0,0,2,2,0,0,2,0,3,2,0
2017-09-15,2017-2018,La Liga,Leganés,Eibar,Away,0,1,L,Diego Rico,Y,LB,90,0,0,0,0,1,0,2,1,3,3,0
2017-09-20,2017-2018,La Liga,Leganés,Girona,Home,0,0,D,Diego Rico,Y,LB,90,0,0,1,0,0,0,0,0,3,0,0
2017-11-04,2017-2018,La Liga,Leganés,Valencia,Away,0,3,L,Diego Rico,Y,LB,90,0,0,0,0,0,0,1,0,1,2,0
2017-11-18,2017-2018,La Liga,Leganés,Barcelona,Home,0,3,L,Diego Rico,Y,LB,90,0,0,1,1,0,0,1,0,0,2,1
2017-12-03,2017-2018,La Liga,Leganés,Villarreal,Home,3,1,W,Diego Rico,Y,LB,90,1,0,3,1,1,0,2,0,2,2,4
2017-12-09,2017-2018,La Liga,Leganés,Dep La Coruña,Away,0,1,L,Diego Rico,Y,LB,90,0,0,0,0,0,0,2,0,2,3,6
2017-12-19,2017-2018,La Liga,Leganés,Levante,Away,0,0,D,Diego Rico,Y,LB,90,0,0,2,1,0,0,0,0,3,4,3
2018-01-07,2017-2018,La Liga,Leganés,Real Sociedad,Home,1,0,W,Diego Rico,Y,LB,90,0,0,1,0,0,0,2,0,3,1,2
2018-02-04,2017-2018,La Liga,Leganés,Getafe,Away,0,0,D,Diego Rico,Y,LB,90,0,0,0,0,0,0,2,0,4,3,2
2018-02-16,2017-2018,La Liga,Leganés,Girona,Away,0,3,L,Diego Rico,Y,LB,90,0,0,1,0,0,0,0,0,10,2,3
2018-02-21,2017-2018,La Liga,Leganés,Real Madrid,Home,1,3,L,Diego Rico,Y,LB,90,0,0,0,0,1,0,2,0,8,3,3
2018-02-24,2017-2018,La Liga,Leganés,Las Palmas,Home,0,0,D,Diego Rico,Y,LB,90,0,0,0,0,0,0,1,0,10,1,4
2018-02-28,2017-2018,La Liga,Leganés,Atlético Madrid,Away,0,4,L,Diego Rico,Y,LB,45,0,0,0,0,0,0,1,0,1,1,0
2018-03-03,2017-2018,La Liga,Leganés,Málaga,Home,2,0,W,Diego Rico,Y,LB,90,0,1,2,0,0,0,1,0,8,1,4
2018-03-11,2017-2018,La Liga,Leganés,Athletic Club,Away,0,2,L,Diego Rico,Y,LB,90,0,0,0,0,0,0,1,0,8,1,1
2018-03-18,2017-2018,La Liga,Leganés,Sevilla,Home,2,1,W,Diego Rico,Y,LB,90,0,1,0,0,0,0,1,0,6,1,4
2018-04-01,2017-2018,La Liga,Leganés,Valencia,Home,0,1,L,Diego Rico,Y,LB,90,0,0,1,0,1,0,3,0,6,5,5
2018-04-14,2017-2018,La Liga,Leganés,Celta Vigo,Home,1,0,W,Diego Rico,Y,LB,90,0,0,2,1,1,0,4,0,5,0,2
2018-04-20,2017-2018,La Liga,Leganés,Dep La Coruña,Home,0,0,D,Diego Rico,Y,LB,90,0,0,2,0,0,0,0,0,14,0,3
2018-04-28,2017-2018,La Liga,Leganés,Real Madrid,Away,1,2,L,Diego Rico,Y,LB,90,0,0,2,1,0,0,1,0,11,3,2
2018-05-07,2017-2018,La Liga,Leganés,Levante,Home,0,3,L,Diego Rico,Y,LB,90,0,0,1,0,1,0,1,0,8,2,2
2018-05-12,2017-2018,La Liga,Leganés,Real Sociedad,Away,2,3,L,Diego Rico,Y,LB,90,1,0,4,1,1,0,2,0,5,2,6
2018-05-19,2017-2018,La Liga,Leganés,Real Betis,Home,3,2,W,Diego Rico,Y,LB,23,0,0,0,0,2,0,0,0,0,0,2
2018-09-01,2018-2019,Premier League,Bournemouth,Chelsea,Away,0,2,L,Diego Rico,Y,LM,90,0,0,1,0,0,0,1,0,6,2,3
2018-09-15,2018-2019,Premier League,Bournemouth,Leicester City,Home,4,2,W,Diego Rico,Y,LB,90,0,0,0,0,0,0,1,2,4,1,0
2018-09-22,2018-2019,Premier League,Bournemouth,Burnley,Away,0,4,L,Diego Rico,Y,LB,45,0,0,2,0,0,0,2,0,4,1,1
2018-12-08,2018-2019,Premier League,Bournemouth,Liverpool,Home,0,4,L,Diego Rico,N,,8,0,0,0,0,0,0,1,1,0,0,1
2018-12-15,2018-2019,Premier League,Bournemouth,Wolves,Away,0,2,L,Diego Rico,N,,55,0,0,1,0,0,0,2,1,8,1,2
2018-12-26,2018-2019,Premier League,Bournemouth,Tottenham Hotspur,Away,0,5,L,Diego Rico,N,,46,0,0,1,0,0,0,1,0,2,0,1
2018-12-30,2018-2019,Premier League,Bournemouth,Manchester Utd,Away,1,4,L,Diego Rico,Y,LM,90,0,0,0,0,0,0,1,2,4,0,0
2019-02-09,2018-2019,Premier League,Bournemouth,Liverpool,Away,0,3,L,Diego Rico,Y,LB,79,0,0,1,0,1,0,1,2,3,3,3
2019-02-27,2018-2019,Premier League,Bournemouth,Arsenal,Away,1,5,L,Diego Rico,N,,21,0,0,1,0,0,0,0,0,5,0,1
2019-03-02,2018-2019,Premier League,Bournemouth,Manchester City,Home,0,1,L,Diego Rico,N,,8,0,0,0,0,0,0,0,0,0,1,0
2019-03-30,2018-2019,Premier League,Bournemouth,Leicester City,Away,0,2,L,Diego Rico,N,,35,0,0,1,0,0,0,0,0,1,1,1
2019-04-06,2018-2019,Premier League,Bournemouth,Burnley,Home,1,3,L,Diego Rico,N,,45,0,0,1,0,0,0,2,1,1,0,0
2019-08-10,2019-2020,Premier League,Bournemouth,Sheffield United,Home,1,1,D,Diego Rico,Y,DM,90,0,0,1,0,0,0,0,0,4,3,3
2019-09-15,2019-2020,Premier League,Bournemouth,Everton,Home,3,1,W,Diego Rico,Y,LB,89,0,1,0,0,0,0,0,0,5,0,3
2019-09-20,2019-2020,Premier League,Bournemouth,Southampton,Away,3,1,W,Diego Rico,Y,LB,90,0,1,1,0,0,0,1,2,4,1,5
2019-09-28,2019-2020,Premier League,Bournemouth,West Ham United,Home,2,2,D,Diego Rico,Y,LB,90,0,0,0,0,0,0,1,0,8,1,1
2019-10-06,2019-2020,Premier League,Bournemouth,Arsenal,Away,0,1,L,Diego Rico,Y,LB,90,0,0,0,0,0,0,0,0,12,1,4
2019-10-19,2019-2020,Premier League,Bournemouth,Norwich City,Home,0,0,D,Diego Rico,Y,LB,90,0,0,1,0,0,0,0,0,11,0,1
2019-10-26,2019-2020,Premier League,Bournemouth,Watford,Away,0,0,D,Diego Rico,Y,LB,90,0,0,3,1,1,0,2,2,8,2,3
