Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2011-10-02,2011-2012,Ligue 1,Rennes,Lille,Away,0,2,L 0–2,Dimitri Foulquier,Y,,45,0,0,,,0,0,,,,,
2012-02-19,2011-2012,Ligue 1,Rennes,Saint-Éttiene,Away,0,4,L 0–4,Dimitri Foulquier,Y,,90,0,0,,,0,0,,,,,
2012-10-20,2012-2013,Ligue 1,Rennes,Montpellier,Home,2,1,W,Dimitri Foulquier,N,,2,0,0,0,0,0,0,0,0,0,0,0
2012-10-26,2012-2013,Ligue 1,Rennes,Saint-Étienne,Away,0,2,L,Dimitri Foulquier,N,,38,0,0,0,0,0,0,0,0,0,0,0
2012-12-08,2012-2013,Ligue 1,Rennes,Brest,Home,2,2,D,Dimitri Foulquier,N,,12,0,0,0,0,0,0,0,0,0,0,0
2012-12-11,2012-2013,Ligue 1,Rennes,Nice,Away,0,1,L,Dimitri Foulquier,N,,21,0,0,0,0,0,0,0,0,0,0,0
2012-12-14,2012-2013,Ligue 1,Rennes,Valenciennes,Home,2,0,W,Dimitri Foulquier,N,,28,0,0,0,0,0,0,0,0,0,0,0
2013-01-20,2012-2013,Ligue 1,Rennes,Bastia,Away,2,0,W,Dimitri Foulquier,N,,18,0,0,0,0,0,0,0,0,0,0,0
2013-01-26,2012-2013,Ligue 1,Rennes,Marseille,Home,2,2,D,Dimitri Foulquier,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2013-02-02,2012-2013,Ligue 1,Rennes,Lorient,Away,2,2,D,Dimitri Foulquier,Y,,82,0,0,0,0,0,0,0,0,0,0,0
2013-02-10,2012-2013,Ligue 1,Rennes,Toulouse,Home,2,0,W,Dimitri Foulquier,Y,,45,0,0,0,0,0,0,0,0,0,0,0
2013-04-13,2012-2013,Ligue 1,Rennes,Evian,Away,2,4,L,Dimitri Foulquier,Y,,90,0,0,0,0,1,0,0,0,0,0,0
2013-04-24,2012-2013,Ligue 1,Rennes,Troyes,Home,1,2,L,Dimitri Foulquier,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2013-04-27,2012-2013,Ligue 1,Rennes,Brest,Away,2,0,W,Dimitri Foulquier,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2013-05-05,2012-2013,Ligue 1,Rennes,Nice,Home,0,3,L,Dimitri Foulquier,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2013-05-11,2012-2013,Ligue 1,Rennes,Valenciennes,Away,1,4,L,Dimitri Foulquier,Y,,58,0,0,0,0,1,1,0,0,0,0,0
2013-05-26,2012-2013,Ligue 1,Rennes,Lyon,Away,0,2,L,Dimitri Foulquier,N,,45,0,0,0,0,0,0,0,0,0,0,0
