Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2017-04-29,2016-2017,Bundesliga,Gladbach,Mainz 05,Away,2,1,W,Djibril Sow,N,MF,1,0,0,0,0,0,0,0,0,0,0,0
2019-09-01,2019-2020,Bundesliga,Frankfurt,Düsseldorf,Home,2,1,W,Djibril Sow,N,,9,0,0,0,0,0,0,0,0,0,0,0
2019-09-14,2019-2020,Bundesliga,Frankfurt,Augsburg,Away,1,2,L,Djibril Sow,Y,AM,45,0,0,1,0,0,0,0,0,0,1,0
2019-09-22,2019-2020,Bundesliga,Frankfurt,Dortmund,Home,2,2,D,Djibril Sow,Y,AM,90,0,1,1,0,0,0,2,1,0,3,1
2019-09-27,2019-2020,Bundesliga,Frankfurt,Union Berlin,Away,2,1,W,Djibril Sow,Y,DM,90,0,1,2,0,1,0,3,2,0,2,1
2019-10-06,2019-2020,Bundesliga,Frankfurt,Werder Bremen,Home,2,2,D,Djibril Sow,Y,AM,90,0,0,1,0,0,0,1,3,0,0,0
2019-10-18,2019-2020,Bundesliga,Frankfurt,Leverkusen,Home,3,0,W,Djibril Sow,Y,AM,83,0,0,1,0,0,0,2,0,0,0,1
2019-10-27,2019-2020,Bundesliga,Frankfurt,Gladbach,Away,2,4,L,Djibril Sow,Y,AM,90,0,0,2,0,0,0,1,3,0,3,3
2019-11-02,2019-2020,Bundesliga,Frankfurt,Bayern Munich,Home,5,1,W,Djibril Sow,Y,AM,90,1,0,2,1,0,0,2,1,0,0,2
2019-11-10,2019-2020,Bundesliga,Frankfurt,Freiburg,Away,0,1,L,Djibril Sow,Y,AM,90,0,0,0,0,0,0,2,2,0,1,2
2019-11-23,2019-2020,Bundesliga,Frankfurt,Wolfsburg,Home,0,2,L,Djibril Sow,Y,DM,90,0,0,1,0,1,0,1,4,0,2,0
2019-12-02,2019-2020,Bundesliga,Frankfurt,Mainz 05,Away,1,2,L,Djibril Sow,Y,DM,90,0,0,2,0,0,0,1,2,0,5,3
2019-12-06,2019-2020,Bundesliga,Frankfurt,Hertha BSC,Home,2,2,D,Djibril Sow,Y,DM,90,0,0,2,0,0,0,2,1,0,0,1
2019-12-15,2019-2020,Bundesliga,Frankfurt,Schalke 04,Away,0,1,L,Djibril Sow,Y,DM,90,0,0,2,0,0,0,3,2,0,2,1
