Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2017-01-14,2016-2017,Ligue 1,Toulouse,Nantes,Home,0,1,L,Dodi Lukebakio,N,,35,0,0,1,0,0,0,2,0,3,0,0
2017-01-21,2016-2017,Ligue 1,Toulouse,Bordeaux,Away,0,1,L,Dodi Lukebakio,N,,13,0,0,0,0,0,0,1,0,1,1,1
2017-04-29,2016-2017,Ligue 1,Toulouse,Monaco,Away,1,3,L,Dodi Lukebakio,N,,15,0,0,1,1,0,0,0,0,0,0,0
2017-05-14,2016-2017,Ligue 1,Toulouse,Metz,Away,1,1,D,Dodi Lukebakio,N,,11,0,0,0,0,0,0,0,0,0,0,1
2017-05-20,2016-2017,Ligue 1,Toulouse,Dijon,Home,0,0,D,Dodi Lukebakio,N,,18,0,0,1,1,0,0,0,0,1,0,0
2018-02-10,2017-2018,Premier League,Watford,West Ham,Away,0,2,L,Dodi Lukebakio,N,,16,0,0,1,0,0,0,0,0,2,0,0
2017-01-14,2016-2017,Ligue 1,Toulouse,Nantes,Home,0,1,L,Dodi Lukebakio,N,,35,0,0,1,0,0,0,2,0,3,0,0
2017-01-21,2016-2017,Ligue 1,Toulouse,Bordeaux,Away,0,1,L,Dodi Lukebakio,N,,13,0,0,0,0,0,0,1,0,1,1,1
2017-04-29,2016-2017,Ligue 1,Toulouse,Monaco,Away,1,3,L,Dodi Lukebakio,N,,15,0,0,1,1,0,0,0,0,0,0,0
2017-05-14,2016-2017,Ligue 1,Toulouse,Metz,Away,1,1,D,Dodi Lukebakio,N,,11,0,0,0,0,0,0,0,0,0,0,1
2017-05-20,2016-2017,Ligue 1,Toulouse,Dijon,Home,0,0,D,Dodi Lukebakio,N,,18,0,0,1,1,0,0,0,0,1,0,0
2018-08-25,2018-2019,Bundesliga,Düsseldorf,Augsburg,Home,1,2,L,Dodi Lukebakio,N,,12,0,0,0,0,0,0,0,0,1,0,0
2018-09-15,2018-2019,Bundesliga,Düsseldorf,Hoffenheim,Home,2,1,W,Dodi Lukebakio,N,,24,1,0,2,1,0,0,1,0,3,0,0
2018-09-21,2018-2019,Bundesliga,Düsseldorf,Stuttgart,Away,0,0,D,Dodi Lukebakio,N,,20,0,0,0,0,1,0,1,0,1,0,0
2018-09-26,2018-2019,Bundesliga,Düsseldorf,Leverkusen,Home,1,2,L,Dodi Lukebakio,N,,33,0,0,2,0,0,0,2,0,2,1,0
2018-09-29,2018-2019,Bundesliga,Düsseldorf,Nürnberg,Away,0,3,L,Dodi Lukebakio,Y,RW,67,0,0,1,1,0,0,2,0,3,1,0
2018-10-19,2018-2019,Bundesliga,Düsseldorf,Frankfurt,Away,1,7,L,Dodi Lukebakio,N,,45,1,0,1,1,0,0,0,1,1,0,0
2018-10-27,2018-2019,Bundesliga,Düsseldorf,Wolfsburg,Home,0,3,L,Dodi Lukebakio,Y,RW,77,0,0,1,0,0,0,0,0,6,2,0
2018-11-04,2018-2019,Bundesliga,Düsseldorf,Gladbach,Away,0,3,L,Dodi Lukebakio,Y,RW,90,0,0,4,2,1,0,3,0,5,2,0
2018-11-10,2018-2019,Bundesliga,Düsseldorf,Hertha BSC,Home,4,1,W,Dodi Lukebakio,Y,FW,68,0,0,4,3,0,0,1,3,0,1,0
2018-11-24,2018-2019,Bundesliga,Düsseldorf,Bayern Munich,Away,3,3,D,Dodi Lukebakio,Y,FW,90,3,0,4,4,0,0,1,1,0,0,0
2018-11-30,2018-2019,Bundesliga,Düsseldorf,Mainz 05,Home,0,1,L,Dodi Lukebakio,Y,FW,67,0,0,3,2,0,0,0,1,1,1,0
2018-12-07,2018-2019,Bundesliga,Düsseldorf,Werder Bremen,Away,1,3,L,Dodi Lukebakio,Y,FW,86,1,0,3,3,1,0,3,1,0,0,1
2018-12-15,2018-2019,Bundesliga,Düsseldorf,Freiburg,Home,2,0,W,Dodi Lukebakio,N,,4,0,0,1,0,0,0,1,0,0,0,0
2018-12-18,2018-2019,Bundesliga,Düsseldorf,Dortmund,Home,2,1,W,Dodi Lukebakio,Y,FW,87,1,0,3,2,0,0,0,0,0,0,0
2018-12-22,2018-2019,Bundesliga,Düsseldorf,Hannover 96,Away,1,0,W,Dodi Lukebakio,Y,RM,90,0,0,2,0,0,0,4,0,0,1,0
2019-01-19,2018-2019,Bundesliga,Düsseldorf,Augsburg,Away,2,1,W,Dodi Lukebakio,Y,RM,75,0,1,0,0,0,0,0,0,2,1,0
2019-01-27,2018-2019,Bundesliga,Düsseldorf,RB Leipzig,Home,0,4,L,Dodi Lukebakio,Y,FW,76,0,0,1,0,0,0,2,0,0,0,1
2019-02-02,2018-2019,Bundesliga,Düsseldorf,Hoffenheim,Away,1,1,D,Dodi Lukebakio,N,,23,0,0,0,0,0,0,0,0,1,1,0
2019-02-10,2018-2019,Bundesliga,Düsseldorf,Stuttgart,Home,3,0,W,Dodi Lukebakio,Y,FW,90,0,1,4,2,0,0,0,0,3,1,0
2019-02-17,2018-2019,Bundesliga,Düsseldorf,Leverkusen,Away,0,2,L,Dodi Lukebakio,Y,AM,90,0,0,0,0,1,0,0,0,3,1,0
2019-02-23,2018-2019,Bundesliga,Düsseldorf,Nürnberg,Home,2,1,W,Dodi Lukebakio,Y,DM,90,0,0,3,2,0,0,1,0,6,1,0
2019-03-02,2018-2019,Bundesliga,Düsseldorf,Schalke 04,Away,4,0,W,Dodi Lukebakio,Y,FW,85,1,1,2,1,0,0,1,0,0,0,0
2019-03-11,2018-2019,Bundesliga,Düsseldorf,Frankfurt,Home,0,3,L,Dodi Lukebakio,Y,FW,90,0,0,0,0,0,0,0,0,0,0,1
2019-03-16,2018-2019,Bundesliga,Düsseldorf,Wolfsburg,Away,2,5,L,Dodi Lukebakio,Y,RW,77,0,0,2,1,1,0,2,0,2,0,2
2019-04-06,2018-2019,Bundesliga,Düsseldorf,Hertha BSC,Away,2,1,W,Dodi Lukebakio,Y,LW,67,0,0,3,2,0,0,0,2,0,0,0
2019-04-14,2018-2019,Bundesliga,Düsseldorf,Bayern Munich,Home,1,4,L,Dodi Lukebakio,N,,23,1,0,2,1,0,0,0,0,0,1,0
2019-04-20,2018-2019,Bundesliga,Düsseldorf,Mainz 05,Away,1,3,L,Dodi Lukebakio,Y,FW,75,1,0,4,2,0,0,1,3,2,0,1
2019-04-27,2018-2019,Bundesliga,Düsseldorf,Werder Bremen,Home,4,1,W,Dodi Lukebakio,Y,LM,70,0,0,0,0,1,0,2,3,1,0,2
2019-05-05,2018-2019,Bundesliga,Düsseldorf,Freiburg,Away,1,1,D,Dodi Lukebakio,N,,18,0,0,1,0,0,0,1,0,0,1,0
2019-05-11,2018-2019,Bundesliga,Düsseldorf,Dortmund,Away,2,3,L,Dodi Lukebakio,Y,FW,84,0,0,2,1,0,0,1,5,2,0,0
2019-05-18,2018-2019,Bundesliga,Düsseldorf,Hannover 96,Home,2,1,W,Dodi Lukebakio,Y,LW,79,0,0,1,0,0,0,0,3,0,0,0
2019-08-16,2019-2020,Bundesliga,Hertha BSC,Bayern Munich,Away,2,2,D,Dodi Lukebakio,Y,FW,67,1,0,1,1,0,0,1,0,0,1,0
2019-08-25,2019-2020,Bundesliga,Hertha BSC,Wolfsburg,Home,0,3,L,Dodi Lukebakio,Y,FW,90,0,0,0,0,0,0,0,0,4,0,0
2019-08-31,2019-2020,Bundesliga,Hertha BSC,Schalke 04,Away,0,3,L,Dodi Lukebakio,Y,AM,75,0,0,1,1,0,0,1,1,2,0,0
2019-09-14,2019-2020,Bundesliga,Hertha BSC,Mainz 05,Away,1,2,L,Dodi Lukebakio,Y,FW,62,0,0,3,1,0,0,3,0,1,0,0
2019-09-29,2019-2020,Bundesliga,Hertha BSC,Köln,Away,4,0,W,Dodi Lukebakio,N,,18,0,1,0,0,0,0,0,0,2,0,0
2019-10-04,2019-2020,Bundesliga,Hertha BSC,Düsseldorf,Home,3,1,W,Dodi Lukebakio,N,,31,0,1,0,0,0,0,0,0,2,2,0
2019-10-19,2019-2020,Bundesliga,Hertha BSC,Werder Bremen,Away,1,1,D,Dodi Lukebakio,N,,35,1,0,1,1,0,0,2,0,2,0,0
2019-10-26,2019-2020,Bundesliga,Hertha BSC,Hoffenheim,Home,2,3,L,Dodi Lukebakio,Y,AM,90,1,0,4,2,0,0,1,0,7,0,0
2019-11-02,2019-2020,Bundesliga,Hertha BSC,Union Berlin,Away,0,1,L,Dodi Lukebakio,Y,AM,90,0,0,1,1,0,0,2,0,4,0,0
2019-11-09,2019-2020,Bundesliga,Hertha BSC,RB Leipzig,Home,2,4,L,Dodi Lukebakio,Y,FW,86,0,1,0,0,0,0,1,1,0,1,1
2019-11-24,2019-2020,Bundesliga,Hertha BSC,Augsburg,Away,0,4,L,Dodi Lukebakio,N,,45,0,0,0,0,0,0,2,0,2,0,1
2019-11-30,2019-2020,Bundesliga,Hertha BSC,Dortmund,Home,1,2,L,Dodi Lukebakio,Y,FW,67,0,1,3,1,0,0,0,0,1,0,0
2019-12-06,2019-2020,Bundesliga,Hertha BSC,Frankfurt,Away,2,2,D,Dodi Lukebakio,Y,FW,79,1,0,2,1,0,0,0,0,0,0,1
2019-12-14,2019-2020,Bundesliga,Hertha BSC,Freiburg,Home,1,0,W,Dodi Lukebakio,Y,RM,89,0,0,2,1,0,0,1,0,1,0,3
2019-12-18,2019-2020,Bundesliga,Hertha BSC,Leverkusen,Away,1,0,W,Dodi Lukebakio,Y,RW,64,0,0,1,0,0,0,1,0,0,0,1
2019-12-21,2019-2020,Bundesliga,Hertha BSC,Gladbach,Home,0,0,D,Dodi Lukebakio,Y,RW,69,0,0,3,0,0,0,0,0,0,0,0
2020-01-19,2019-2020,Bundesliga,Hertha BSC,Bayern Munich,Home,0,4,L,Dodi Lukebakio,Y,RW,81,0,0,0,0,0,0,2,0,0,0,0
2020-01-25,2019-2020,Bundesliga,Hertha BSC,Wolfsburg,Away,2,1,W,Dodi Lukebakio,Y,FW,89,1,0,3,2,0,0,1,1,1,0,0
2020-01-31,2019-2020,Bundesliga,Hertha BSC,Schalke 04,Home,0,0,D,Dodi Lukebakio,Y,FW,90,0,0,2,0,0,0,0,0,4,1,1
2020-02-08,2019-2020,Bundesliga,Hertha BSC,Mainz 05,Home,1,3,L,Dodi Lukebakio,N,,45,0,1,1,0,0,0,1,0,8,2,0
2020-02-22,2019-2020,Bundesliga,Hertha BSC,Köln,Home,0,5,L,Dodi Lukebakio,N,,45,0,0,2,0,0,0,1,1,3,0,0
2020-02-28,2019-2020,Bundesliga,Hertha BSC,Düsseldorf,Away,3,3,D,Dodi Lukebakio,Y,RM,45,0,0,1,1,0,0,1,1,0,1,1
2020-05-16,2019-2020,Bundesliga,Hertha BSC,Hoffenheim,Away,3,0,W,Dodi Lukebakio,Y,RM,78,0,0,0,0,0,0,1,0,1,0,1
2020-05-22,2019-2020,Bundesliga,Hertha BSC,Union Berlin,Home,4,0,W,Dodi Lukebakio,Y,AM,74,1,0,3,2,1,0,1,1,1,0,0
2020-05-27,2019-2020,Bundesliga,Hertha BSC,RB Leipzig,Away,2,2,D,Dodi Lukebakio,Y,AM,70,0,0,1,0,0,0,0,2,2,1,0
2020-05-30,2019-2020,Bundesliga,Hertha BSC,Augsburg,Home,2,0,W,Dodi Lukebakio,Y,AM,64,0,0,3,1,0,0,0,1,1,1,0
2020-06-06,2019-2020,Bundesliga,Hertha BSC,Dortmund,Away,0,1,L,Dodi Lukebakio,Y,AM,45,0,0,0,0,0,0,1,0,1,0,0
2020-06-16,2019-2020,Bundesliga,Hertha BSC,Freiburg,Away,1,2,L,Dodi Lukebakio,Y,DM,90,0,0,1,1,0,0,0,1,5,1,0
2020-06-20,2019-2020,Bundesliga,Hertha BSC,Leverkusen,Home,2,0,W,Dodi Lukebakio,Y,RW,68,1,1,1,1,1,0,2,0,1,2,0
2020-06-27,2019-2020,Bundesliga,Hertha BSC,Gladbach,Away,1,2,L,Dodi Lukebakio,Y,AM,90,0,0,0,0,0,0,0,0,0,2,0
2020-09-19,2020-2021,Bundesliga,Hertha BSC,Werder Bremen,Away,4,1,W,Dodi Lukebakio,Y,FW,80,1,0,2,1,0,0,0,0,1,0,1
2020-09-25,2020-2021,Bundesliga,Hertha BSC,Frankfurt,Home,1,3,L,Dodi Lukebakio,Y,FW,82,0,0,2,1,0,0,1,1,2,0,0
2020-10-04,2020-2021,Bundesliga,Hertha BSC,Bayern Munich,Away,3,4,L,Dodi Lukebakio,Y,DM,86,0,0,1,0,0,0,1,2,1,1,1
2020-10-17,2020-2021,Bundesliga,Hertha BSC,Stuttgart,Home,0,2,L,Dodi Lukebakio,N,,45,0,0,0,0,0,0,0,0,2,0,0
2020-10-24,2020-2021,Bundesliga,Hertha BSC,RB Leipzig,Away,1,2,L,Dodi Lukebakio,Y,AM,83,0,1,1,0,0,0,1,0,0,0,1
2020-11-01,2020-2021,Bundesliga,Hertha BSC,Wolfsburg,Home,1,1,D,Dodi Lukebakio,Y,AM,73,0,1,2,1,0,0,0,2,1,2,1
2020-11-07,2020-2021,Bundesliga,Hertha BSC,Augsburg,Away,3,0,W,Dodi Lukebakio,Y,FW,87,1,0,1,1,0,0,3,0,0,1,2
2020-11-21,2020-2021,Bundesliga,Hertha BSC,Dortmund,Home,2,5,L,Dodi Lukebakio,Y,FW,74,0,1,1,0,0,0,0,0,0,0,1
2020-11-29,2020-2021,Bundesliga,Hertha BSC,Leverkusen,Away,0,0,D,Dodi Lukebakio,Y,FW,69,0,0,2,2,0,0,4,0,0,0,1
2020-12-04,2020-2021,Bundesliga,Hertha BSC,Union Berlin,Home,3,1,W,Dodi Lukebakio,Y,FW,84,0,0,1,1,0,0,3,0,1,1,0
2020-12-12,2020-2021,Bundesliga,Hertha BSC,Gladbach,Away,1,1,D,Dodi Lukebakio,Y,AM,74,0,0,2,1,0,0,1,0,0,1,1
2020-12-15,2020-2021,Bundesliga,Hertha BSC,Mainz 05,Home,0,0,D,Dodi Lukebakio,N,,30,0,0,1,0,0,0,0,0,1,0,0
2020-12-20,2020-2021,Bundesliga,Hertha BSC,Freiburg,Away,1,4,L,Dodi Lukebakio,Y,FW,90,1,0,1,1,0,0,0,1,2,1,1
2021-01-02,2020-2021,Bundesliga,Hertha BSC,Schalke 04,Home,3,0,W,Dodi Lukebakio,Y,FW,85,0,0,3,1,0,0,2,3,1,1,0
2021-01-10,2020-2021,Bundesliga,Hertha BSC,Arminia,Away,0,1,L,Dodi Lukebakio,Y,FW,90,0,0,2,1,0,0,1,2,4,0,1
2021-01-16,2020-2021,Bundesliga,Hertha BSC,Köln,Away,0,0,D,Dodi Lukebakio,Y,FW,59,0,0,2,0,0,0,1,0,1,1,0
2021-01-19,2020-2021,Bundesliga,Hertha BSC,Hoffenheim,Home,0,3,L,Dodi Lukebakio,N,,31,0,0,1,0,1,0,2,0,0,0,0
2021-01-30,2020-2021,Bundesliga,Hertha BSC,Frankfurt,Away,1,3,L,Dodi Lukebakio,Y,AM,76,0,0,1,1,0,0,1,0,1,1,1
2021-02-05,2020-2021,Bundesliga,Hertha BSC,Bayern Munich,Home,0,1,L,Dodi Lukebakio,Y,AM,80,0,0,2,2,0,0,0,3,1,2,1
2021-02-13,2020-2021,Bundesliga,Hertha BSC,Stuttgart,Away,1,1,D,Dodi Lukebakio,Y,FW,90,0,0,2,0,0,0,2,2,2,0,0
2021-02-21,2020-2021,Bundesliga,Hertha BSC,RB Leipzig,Home,0,3,L,Dodi Lukebakio,Y,FW,59,0,0,1,0,0,0,1,4,1,0,0
2021-02-27,2020-2021,Bundesliga,Hertha BSC,Wolfsburg,Away,0,2,L,Dodi Lukebakio,N,,17,0,0,0,0,0,0,0,0,0,0,0
2021-03-06,2020-2021,Bundesliga,Hertha BSC,Augsburg,Home,2,1,W,Dodi Lukebakio,N,,26,1,0,2,1,1,0,2,0,1,0,0
2021-03-13,2020-2021,Bundesliga,Hertha BSC,Dortmund,Away,0,2,L,Dodi Lukebakio,N,,31,0,0,0,0,0,0,2,0,1,0,1
2021-03-21,2020-2021,Bundesliga,Hertha BSC,Leverkusen,Home,3,0,W,Dodi Lukebakio,Y,FW,72,0,2,1,1,0,0,2,0,2,0,0
2021-04-04,2020-2021,Bundesliga,Hertha BSC,Union Berlin,Away,1,1,D,Dodi Lukebakio,Y,FW,61,1,0,1,1,0,0,1,0,0,1,0
2021-04-10,2020-2021,Bundesliga,Hertha BSC,Gladbach,Home,2,2,D,Dodi Lukebakio,Y,FW,45,0,0,4,0,0,0,1,0,1,0,0
2021-05-12,2020-2021,Bundesliga,Hertha BSC,Schalke 04,Away,2,1,W,Dodi Lukebakio,N,,30,0,0,2,1,2,1,2,0,0,2,0
2021-05-22,2020-2021,Bundesliga,Hertha BSC,Hoffenheim,Away,1,2,L,Dodi Lukebakio,N,,46,0,0,1,1,0,0,0,1,0,0,0
2021-08-15,2021-2022,Bundesliga,Hertha BSC,Köln,Away,1,3,L,Dodi Lukebakio,N,,26,0,0,1,0,0,0,0,0,0,0,0
2021-08-21,2021-2022,Bundesliga,Hertha BSC,Wolfsburg,Home,1,2,L,Dodi Lukebakio,Y,AM,90,1,0,3,2,0,0,2,0,0,0,1
2021-08-28,2021-2022,Bundesliga,Hertha BSC,Bayern Munich,Away,0,5,L,Dodi Lukebakio,Y,AM,60,0,0,0,0,0,0,2,1,1,1,1
2021-09-11,2021-2022,Bundesliga,Wolfsburg,Greuther Fürth,Away,2,0,W,Dodi Lukebakio,N,,24,0,0,0,0,1,0,1,0,1,0,1
2021-09-19,2021-2022,Bundesliga,Wolfsburg,Frankfurt,Home,1,1,D,Dodi Lukebakio,Y,AM,90,0,0,1,0,0,0,0,1,2,1,4
2021-09-25,2021-2022,Bundesliga,Wolfsburg,Hoffenheim,Away,1,3,L,Dodi Lukebakio,Y,AM,90,0,0,2,0,0,0,1,0,3,1,0
2021-10-02,2021-2022,Bundesliga,Wolfsburg,Gladbach,Home,1,3,L,Dodi Lukebakio,Y,AM,65,0,0,1,1,0,0,1,1,1,0,0
2021-10-16,2021-2022,Bundesliga,Wolfsburg,Union Berlin,Away,0,2,L,Dodi Lukebakio,Y,AM,83,0,0,2,0,0,0,1,0,2,0,1
2021-10-23,2021-2022,Bundesliga,Wolfsburg,Freiburg,Home,0,2,L,Dodi Lukebakio,N,,35,0,0,2,1,0,0,1,0,1,0,0
2021-10-30,2021-2022,Bundesliga,Wolfsburg,Leverkusen,Away,2,0,W,Dodi Lukebakio,N,,45,0,0,0,0,0,0,2,0,0,1,0
2021-11-06,2021-2022,Bundesliga,Wolfsburg,Augsburg,Home,1,0,W,Dodi Lukebakio,N,,34,0,0,0,0,0,0,0,0,0,0,0
2021-11-20,2021-2022,Bundesliga,Wolfsburg,Arminia,Away,2,2,D,Dodi Lukebakio,N,,30,0,1,0,0,0,0,0,0,0,0,0
2021-11-27,2021-2022,Bundesliga,Wolfsburg,Dortmund,Home,1,3,L,Dodi Lukebakio,Y,AM,90,0,0,4,3,1,0,2,2,0,0,2
2021-12-04,2021-2022,Bundesliga,Wolfsburg,Mainz 05,Away,0,3,L,Dodi Lukebakio,Y,FW,56,0,0,0,0,0,0,0,0,0,1,1
2021-12-11,2021-2022,Bundesliga,Wolfsburg,Stuttgart,Home,0,2,L,Dodi Lukebakio,N,,25,0,0,0,0,0,0,0,0,3,0,1
2021-12-14,2021-2022,Bundesliga,Wolfsburg,Köln,Home,2,3,L,Dodi Lukebakio,Y,AM,90,0,1,1,0,0,0,2,3,0,0,0
2022-01-15,2021-2022,Bundesliga,Wolfsburg,Hertha BSC,Home,0,0,D,Dodi Lukebakio,N,,28,0,0,0,0,0,0,1,3,0,0,2
2022-01-23,2021-2022,Bundesliga,Wolfsburg,RB Leipzig,Away,0,2,L,Dodi Lukebakio,N,,12,0,0,0,0,0,0,1,2,0,0,1
2022-02-12,2021-2022,Bundesliga,Wolfsburg,Frankfurt,Away,2,0,W,Dodi Lukebakio,N,,29,1,0,2,1,0,0,1,1,0,0,0
2022-02-19,2021-2022,Bundesliga,Wolfsburg,Hoffenheim,Home,1,2,L,Dodi Lukebakio,N,,26,0,0,0,0,0,0,1,0,0,0,0
2022-04-03,2021-2022,Bundesliga,Wolfsburg,Augsburg,Away,0,3,L,Dodi Lukebakio,N,,26,0,0,2,1,0,0,0,0,2,0,0
2022-05-07,2021-2022,Bundesliga,Wolfsburg,Köln,Away,1,0,W,Dodi Lukebakio,N,,4,0,0,0,0,0,0,0,0,0,1,0
2022-08-06,2022-2023,Bundesliga,Hertha BSC,Union Berlin,Away,1,3,L,Dodi Lukebakio,Y,FW,90,1,0,2,1,1,0,1,0,1,1,0
2022-08-13,2022-2023,Bundesliga,Hertha BSC,Frankfurt,Home,1,1,D,Dodi Lukebakio,Y,FW,90,0,1,3,2,0,0,1,0,1,1,0
2022-08-19,2022-2023,Bundesliga,Hertha BSC,Gladbach,Away,0,1,L,Dodi Lukebakio,Y,FW,90,0,0,4,1,0,0,2,1,1,0,0
2022-08-27,2022-2023,Bundesliga,Hertha BSC,Dortmund,Home,0,1,L,Dodi Lukebakio,Y,FW,73,0,0,1,0,0,0,0,0,1,1,0
2022-09-04,2022-2023,Bundesliga,Hertha BSC,Augsburg,Away,2,0,W,Dodi Lukebakio,Y,FW,82,1,0,2,2,0,0,1,0,2,1,1
2022-09-10,2022-2023,Bundesliga,Hertha BSC,Leverkusen,Home,2,2,D,Dodi Lukebakio,Y,FW,80,0,0,4,1,0,0,1,0,2,0,0
2022-09-16,2022-2023,Bundesliga,Hertha BSC,Mainz 05,Away,1,1,D,Dodi Lukebakio,Y,FW,71,0,0,1,0,1,0,1,1,1,0,0
2022-10-02,2022-2023,Bundesliga,Hertha BSC,Hoffenheim,Home,1,1,D,Dodi Lukebakio,Y,FW,82,1,0,4,2,0,0,0,0,5,0,0
2022-10-09,2022-2023,Bundesliga,Hertha BSC,Freiburg,Home,2,2,D,Dodi Lukebakio,Y,FW,90,1,0,2,1,0,0,2,0,0,0,1
2022-10-15,2022-2023,Bundesliga,Hertha BSC,RB Leipzig,Away,2,3,L,Dodi Lukebakio,Y,FW,90,1,0,3,1,0,0,1,0,6,0,1
