Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2022-09-04,2022-2023,La Liga,Valencia,Getafe,Home,5,1,W,Domingos André Ribeiro Almeida,N,,21,0,0,0,0,0,0,0,0,2,0,0
2022-09-10,2022-2023,La Liga,Valencia,Rayo Vallecano,Away,1,2,L,Domingos André Ribeiro Almeida,N,,14,0,1,0,0,0,0,1,0,2,0,0
2022-09-17,2022-2023,La Liga,Valencia,Celta Vigo,Home,3,0,W,Domingos André Ribeiro Almeida,Y,CM,90,1,0,1,1,0,0,4,0,2,1,1
2022-10-02,2022-2023,La Liga,Valencia,Espanyol,Away,2,2,D,Domingos André Ribeiro Almeida,Y,CM,72,0,0,0,0,0,0,1,0,1,0,0
2022-10-07,2022-2023,La Liga,Valencia,Osasuna,Away,2,1,W,Domingos André Ribeiro Almeida,Y,FW,90,0,0,0,0,0,0,2,0,2,0,1
2022-10-15,2022-2023,La Liga,Valencia,Elche,Home,2,2,D,Domingos André Ribeiro Almeida,Y,CM,79,0,1,2,2,0,0,0,0,1,2,0
2022-10-18,2022-2023,La Liga,Valencia,Sevilla,Away,1,1,D,Domingos André Ribeiro Almeida,N,,16,0,0,0,0,0,0,0,0,0,0,0
2022-10-22,2022-2023,La Liga,Valencia,Mallorca,Away,1,2,L,Domingos André Ribeiro Almeida,Y,CM,73,0,0,1,1,0,0,1,0,3,1,0
2022-10-29,2022-2023,La Liga,Valencia,Barcelona,Home,0,1,L,Domingos André Ribeiro Almeida,Y,CM,71,0,0,0,0,0,0,0,0,0,0,2
2022-11-06,2022-2023,La Liga,Valencia,Real Sociedad,Away,1,1,D,Domingos André Ribeiro Almeida,Y,CM,90,0,0,3,0,0,0,0,0,5,3,0
2022-11-10,2022-2023,La Liga,Valencia,Real Betis,Home,3,0,W,Domingos André Ribeiro Almeida,Y,CM,90,1,0,1,1,0,0,2,0,0,0,1
2022-12-31,2022-2023,La Liga,Valencia,Villarreal,Away,1,2,L,Domingos André Ribeiro Almeida,Y,CM,90,0,0,0,0,0,0,3,0,4,4,2
2023-01-06,2022-2023,La Liga,Valencia,Cádiz,Home,0,1,L,Domingos André Ribeiro Almeida,N,,45,0,0,1,0,0,0,0,0,4,4,0
2023-01-23,2022-2023,La Liga,Valencia,Almería,Home,2,2,D,Domingos André Ribeiro Almeida,Y,CM,75,0,1,1,0,1,0,1,0,2,1,1
2023-01-29,2022-2023,La Liga,Valencia,Valladolid,Away,0,1,L,Domingos André Ribeiro Almeida,Y,CM,90,0,0,0,0,1,0,1,0,4,3,2
2023-02-02,2022-2023,La Liga,Valencia,Real Madrid,Home,0,2,L,Domingos André Ribeiro Almeida,Y,CM,69,0,0,0,0,0,0,0,0,5,3,0
2023-02-05,2022-2023,La Liga,Valencia,Girona,Away,0,1,L,Domingos André Ribeiro Almeida,Y,AM,90,0,0,0,0,0,0,0,0,6,2,0
2023-02-11,2022-2023,La Liga,Valencia,Athletic Club,Home,1,2,L,Domingos André Ribeiro Almeida,Y,CM,90,0,0,1,0,0,0,0,0,3,0,1
2023-02-20,2022-2023,La Liga,Valencia,Getafe,Away,0,1,L,Domingos André Ribeiro Almeida,Y,CM,82,0,0,0,0,0,0,0,0,5,1,1
2023-02-25,2022-2023,La Liga,Valencia,Real Sociedad,Home,1,0,W,Domingos André Ribeiro Almeida,Y,CM,89,0,0,0,0,0,0,1,0,5,0,0
