Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2020-09-19,2020-2021,Premier League,Manchester Utd,Crystal Palace,Home,1,3,L,Donny van de Beek,N,,24,1,0,1,1,0,0,0,0,0,0,0
2020-09-26,2020-2021,Premier League,Manchester Utd,Brighton,Away,3,2,W,Donny van de Beek,N,,1,0,0,0,0,0,0,0,0,0,0,0
2020-10-04,2020-2021,Premier League,Manchester Utd,Tottenham Hotspur,Home,1,6,L,Donny van de Beek,N,,23,0,0,0,0,0,0,0,0,0,1,0
2020-10-17,2020-2021,Premier League,Manchester Utd,Newcastle United,Away,4,1,W,Donny van de Beek,N,,15,0,0,0,0,0,0,1,0,0,0,0
2020-11-01,2020-2021,Premier League,Manchester Utd,Arsenal,Home,0,1,L,Donny van de Beek,N,,16,0,0,0,0,0,0,0,0,0,0,0
2020-11-21,2020-2021,Premier League,Manchester Utd,West Brom,Home,1,0,W,Donny van de Beek,N,,12,0,0,0,0,0,0,0,0,0,0,1
2020-11-29,2020-2021,Premier League,Manchester Utd,Southampton,Away,3,2,W,Donny van de Beek,N,DM,90,0,0,0,0,0,0,1,2,0,0,2
2020-12-05,2020-2021,Premier League,Manchester Utd,West Ham United,Away,3,1,W,Donny van de Beek,Y,AM,45,0,0,0,0,0,0,0,0,0,0,1
2020-12-17,2020-2021,Premier League,Manchester Utd,Sheffield United,Away,3,2,W,Donny van de Beek,N,,11,0,0,0,0,0,0,0,0,0,0,0
2020-12-20,2020-2021,Premier League,Manchester Utd,Leeds United,Home,6,2,W,Donny van de Beek,N,,20,0,0,0,0,0,0,0,0,0,2,1
2021-01-27,2020-2021,Premier League,Manchester Utd,Sheffield United,Home,1,2,L,Donny van de Beek,N,,8,0,0,0,0,0,0,0,0,0,1,0
2021-02-02,2020-2021,Premier League,Manchester Utd,Southampton,Home,9,0,W,Donny van de Beek,N,,45,0,0,0,0,1,0,1,0,0,0,0
