Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2024-08-25,2024-2025,La Liga,Real Madrid,Valladolid,Home,3,0,W,Endrick,N,,5,1,0,1,1,0,0,0,0,0,0,0
2024-08-29,2024-2025,La Liga,Real Madrid,Las Palmas,Away,1,1,D,Endrick,N,,5,0,0,2,0,0,0,0,0,0,0,0
2024-09-01,2024-2025,La Liga,Real Madrid,Real Betis,Home,2,0,W,Endrick,N,,2,0,0,1,1,0,0,0,0,0,0,0
2024-09-14,2024-2025,La Liga,Real Madrid,Real Sociedad,Away,2,0,W,Endrick,N,,1,0,0,0,0,0,0,0,0,0,0,0
2024-09-21,2024-2025,La Liga,Real Madrid,Espanyol,Home,4,1,W,Endrick,N,,7,0,0,1,0,0,0,0,0,0,1,0
2024-09-24,2024-2025,La Liga,Real Madrid,Alavés,Home,3,2,W,Endrick,N,,22,0,0,2,1,1,0,1,0,0,0,0
2024-09-29,2024-2025,La Liga,Real Madrid,Atlético Madrid,Away,1,1,D,Endrick,N,,4,0,0,1,0,0,0,1,0,0,0,0
2024-11-09,2024-2025,La Liga,Real Madrid,Osasuna,Home,4,0,W,Endrick,N,,16,0,0,0,0,0,0,1,0,0,0,0
2024-11-24,2024-2025,La Liga,Real Madrid,Leganés,Away,3,0,W,Endrick,N,,4,0,0,0,0,0,0,0,0,0,0,0
2024-12-04,2024-2025,La Liga,Real Madrid,Athletic Club,Away,1,2,L,Endrick,N,,3,0,0,0,0,0,0,0,0,0,0,0
2024-12-07,2024-2025,La Liga,Real Madrid,Girona,Away,3,0,W,Endrick,N,,10,0,0,0,0,0,0,1,0,0,0,0
2024-12-14,2024-2025,La Liga,Real Madrid,Rayo Vallecano,Away,3,3,D,Endrick,N,,12,0,0,1,1,0,0,1,0,0,0,0
2025-01-19,2024-2025,La Liga,Real Madrid,Las Palmas,Home,4,1,W,Endrick,N,,7,0,0,1,0,0,0,0,0,0,2,0
2025-01-25,2024-2025,La Liga,Real Madrid,Valladolid,Away,3,0,W,Endrick,N,,1,0,0,0,0,0,0,0,0,0,0,0
2025-02-23,2024-2025,La Liga,Real Madrid,Girona,Home,2,0,W,Endrick,N,,1,0,0,0,0,0,0,0,0,0,0,0
2025-03-01,2024-2025,La Liga,Real Madrid,Real Betis,Away,1,2,L,Endrick,N,,16,0,0,2,0,0,0,0,0,0,2,0
2025-04-05,2024-2025,La Liga,Real Madrid,Valencia,Home,1,2,L,Endrick,N,,14,0,0,2,0,0,0,2,1,0,0,0
2025-04-20,2024-2025,La Liga,Real Madrid,Athletic Club,Home,1,0,W,Endrick,N,,33,0,0,0,0,0,0,1,1,0,0,0
2025-04-23,2024-2025,La Liga,Real Madrid,Getafe,Away,1,0,W,Endrick,Y,FW,63,0,0,2,1,0,0,1,0,0,0,0
2025-05-11,2024-2025,La Liga,Real Madrid,Barcelona,Away,3,4,L,Endrick,N,,7,0,0,0,0,0,0,0,0,0,0,0
2025-05-14,2024-2025,La Liga,Real Madrid,Mallorca,Home,2,1,W,Endrick,Y,FW,73,0,0,6,1,0,0,0,0,1,0,1
2025-05-18,2024-2025,La Liga,Real Madrid,Sevilla,Away,2,0,W,Endrick,Y,FW,57,0,0,1,1,0,0,1,0,1,0,0
