Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2023-02-28,2022-2023,Serie A,Juventus,Torino,Home,4,2,W,Enzo Barrenechea,Y,CM,68,0,0,1,0,0,0,0,0,0,2,0
2023-03-12,2022-2023,Serie A,Juventus,Sampdoria,Home,4,2,W,Enzo Barrenechea,Y,CM,45,0,0,1,0,0,0,2,0,0,1,2
2023-04-01,2022-2023,Serie A,Juventus,Hellas Verona,Home,1,0,W,Enzo Barrenechea,Y,CM,45,0,0,0,0,0,0,1,0,0,0,0
2023-08-19,2023-2024,Serie A,Frosinone,Napoli,Home,1,3,L 1–3,Enzo Barrenechea,N,,5,0,0,0,0,0,0,0,0,0,0,0
2023-08-26,2023-2024,Serie A,Frosinone,Atalanta,Home,2,1,W 2–1,Enzo Barrenechea,Y,DM,73,0,0,0,0,1,0,2,0,0,0,2
2023-09-02,2023-2024,Serie A,Frosinone,Udinese,Away,0,0,D 0–0,Enzo Barrenechea,Y,DM,79,0,0,0,0,0,0,0,0,0,5,2
2023-09-17,2023-2024,Serie A,Frosinone,Sassuolo,Home,4,2,W 4–2,Enzo Barrenechea,Y,CM,68,0,0,1,0,1,0,4,1,0,1,0
2023-09-22,2023-2024,Serie A,Frosinone,Salernitana,Away,1,1,D 1–1,Enzo Barrenechea,Y,CM,89,0,0,0,0,0,0,2,0,0,2,1
2023-09-28,2023-2024,Serie A,Frosinone,Fiorentina,Home,1,1,D 1–1,Enzo Barrenechea,Y,CM,89,0,0,1,1,0,0,0,1,0,1,1
2023-10-01,2023-2024,Serie A,Frosinone,Roma,Away,0,2,L 0–2,Enzo Barrenechea,Y,CM,85,0,0,0,0,1,0,2,2,0,2,2
2023-10-08,2023-2024,Serie A,Frosinone,Hellas Verona,Home,2,1,W 2–1,Enzo Barrenechea,Y,CM,82,0,0,0,0,0,0,0,0,0,1,0
2023-10-22,2023-2024,Serie A,Frosinone,Bologna,Away,1,2,L 1–2,Enzo Barrenechea,Y,DM,74,0,0,1,0,0,0,2,2,0,0,0
2023-10-29,2023-2024,Serie A,Frosinone,Cagliari,Away,3,4,L 3–4,Enzo Barrenechea,Y,DM,90,0,0,0,0,0,0,0,0,0,1,0
2023-11-06,2023-2024,Serie A,Frosinone,Empoli,Home,2,1,W 2–1,Enzo Barrenechea,Y,DM,90,0,0,3,0,1,0,2,4,0,1,1
2023-11-12,2023-2024,Serie A,Frosinone,Inter,Away,0,2,L 0–2,Enzo Barrenechea,Y,DM,81,0,0,1,0,0,0,1,2,0,1,0
2023-11-26,2023-2024,Serie A,Frosinone,Genoa,Home,2,1,W 2–1,Enzo Barrenechea,Y,DM,90,0,0,1,0,0,0,0,3,0,3,0
2023-12-02,2023-2024,Serie A,Frosinone,Milan,Away,1,3,L 1–3,Enzo Barrenechea,Y,DM,90,0,0,1,0,1,0,1,3,0,2,1
2023-12-16,2023-2024,Serie A,Frosinone,Lecce,Away,1,2,L 1–2,Enzo Barrenechea,Y,CM,89,0,0,0,0,1,0,2,0,0,0,2
2023-12-23,2023-2024,Serie A,Frosinone,Juventus,Home,1,2,L 1–2,Enzo Barrenechea,Y,DM,90,0,0,1,0,0,0,1,2,0,2,1
2023-12-29,2023-2024,Serie A,Frosinone,Lazio,Away,1,3,L 1–3,Enzo Barrenechea,Y,DM,90,0,0,0,0,1,0,2,1,0,1,1
2024-01-06,2023-2024,Serie A,Frosinone,Monza,Home,2,3,L 2–3,Enzo Barrenechea,Y,DM,90,0,0,1,0,1,0,0,3,0,0,3
2024-01-15,2023-2024,Serie A,Frosinone,Atalanta,Away,0,5,L 0–5,Enzo Barrenechea,Y,DM,90,0,0,1,0,0,0,0,0,0,3,1
2024-01-21,2023-2024,Serie A,Frosinone,Cagliari,Home,3,1,W 3–1,Enzo Barrenechea,Y,DM,90,0,0,1,1,0,0,0,3,0,0,2
2024-01-28,2023-2024,Serie A,Frosinone,Hellas Verona,Away,1,1,D 1–1,Enzo Barrenechea,Y,CM,90,0,1,0,0,0,0,1,1,0,2,2
2024-02-03,2023-2024,Serie A,Frosinone,Milan,Home,2,3,L 2–3,Enzo Barrenechea,Y,DM,90,0,0,0,0,0,0,0,3,0,3,0
