Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2022-02-06,2021-2022,La Liga,Valencia,Real Sociedad,H,0,0,D,Eray Cömert,Yes,CB,69,0,0,0,1,0,0,0,0,0,2,1
2022-02-13,2021-2022,La Liga,Valencia,Alavés,A,1,2,L,Eray Cömert,Yes,CB,80,0,0,0,0,0,0,0,0,0,1,1
2022-02-20,2021-2022,La Liga,Valencia,Barcelona,H,1,4,L,Eray Cömert,No,CB,6,0,0,0,0,0,0,0,0,0,0,0
2022-02-26,2021-2022,La Liga,Valencia,Mallorca,A,1,0,W,Eray Cömert,No,,1,0,0,0,0,0,0,0,0,0,0,0
2022-03-05,2021-2022,La Liga,Valencia,Granada,H,3,1,W,Eray Cömert,Yes,CB,90,0,0,0,0,1,0,1,0,0,0,0
2022-04-11,2021-2022,La Liga,Valencia,Rayo Vallecano,A,1,1,D,Eray Cömert,No,,7,0,0,0,0,0,0,0,0,0,0,0
2022-04-19,2021-2022,La Liga,Valencia,Villarreal,A,0,2,L,Eray Cömert,Yes,CB,90,0,0,0,0,1,0,1,0,0,0,0
2022-05-14,2021-2022,La Liga,Valencia,Espanyol,A,1,1,D,Eray Cömert,Yes,CB,65,0,0,0,2,0,0,1,0,0,0,0
2022-08-14,2022-2023,La Liga,Valencia,Girona,H,1,0,W,Eray Cömert,Yes,CB,51,0,0,0,0,0,1,2,0,0,2,0
2022-08-29,2022-2023,La Liga,Valencia,Atlético Madrid,H,0,1,L,Eray Cömert,Yes,CB,90,0,0,1,0,1,0,2,0,0,1,2
2022-09-04,2022-2023,La Liga,Valencia,Getafe,H,5,1,W,Eray Cömert,Yes,CB,90,0,0,1,1,0,0,1,0,0,1,3
2022-09-17,2022-2023,La Liga,Valencia,Celta Vigo,H,3,0,W,Eray Cömert,Yes,CB,83,0,0,1,1,0,0,1,0,0,0,1
2022-10-02,2022-2023,La Liga,Valencia,Espanyol,A,2,2,D,Eray Cömert,No,,17,1,0,0,1,0,0,0,0,0,0,2
2022-10-07,2022-2023,La Liga,Valencia,Osasuna,A,2,1,W,Eray Cömert,Yes,CB,90,0,0,0,0,1,0,3,0,0,0,1
2022-10-15,2022-2023,La Liga,Valencia,Elche,H,2,2,D,Eray Cömert,Yes,CB,90,0,0,1,1,1,0,1,0,0,1,2
2022-10-18,2022-2023,La Liga,Valencia,Sevilla,A,1,1,D,Eray Cömert,Yes,CB,90,0,0,1,0,0,0,3,0,0,0,0
2022-10-29,2022-2023,La Liga,Valencia,Barcelona,H,0,1,L,Eray Cömert,Yes,CB,90,0,0,0,0,0,0,1,0,0,0,1
2022-11-06,2022-2023,La Liga,Valencia,Real Sociedad,A,1,1,D,Eray Cömert,Yes,CB,90,0,0,0,0,0,0,2,0,1,1,0
2022-11-10,2022-2023,La Liga,Valencia,Real Betis,H,3,0,W,Eray Cömert,Yes,CB,90,0,0,1,0,0,0,0,0,0,1,0
2022-12-31,2022-2023,La Liga,Valencia,Villarreal,A,1,2,L,Eray Cömert,Yes,CB,90,0,0,0,0,1,0,1,1,0,1,3
2023-01-06,2022-2023,La Liga,Valencia,Cádiz,H,0,1,L,Eray Cömert,Yes,CB,90,0,0,1,1,0,0,0,1,0,2,1
2023-01-29,2022-2023,La Liga,Valencia,Valladolid,A,0,1,L,Eray Cömert,Yes,CB,90,0,0,0,0,0,0,2,0,0,2,1
2023-02-02,2022-2023,La Liga,Valencia,Real Madrid,A,0,2,L,Eray Cömert,No,,16,0,0,0,0,0,0,1,0,0,1,0
2023-02-05,2022-2023,La Liga,Valencia,Girona,A,0,1,L,Eray Cömert,Yes,CB,90,0,0,0,0,0,0,0,0,0,1,2
2023-02-11,2022-2023,La Liga,Valencia,Athletic Club,H,1,2,L,Eray Cömert,Yes,CB,90,0,0,0,0,0,0,0,0,0,1,0
2023-02-25,2022-2023,La Liga,Valencia,Real Sociedad,H,1,0,W,Eray Cömert,No,,45,0,0,0,0,0,0,0,0,0,1,2
2023-03-05,2022-2023,La Liga,Valencia,Barcelona,A,0,1,L,Eray Cömert,Yes,CB,54,0,0,0,0,0,0,0,0,0,2,1
2023-03-18,2022-2023,La Liga,Valencia,Atlético Madrid,A,0,3,L,Eray Cömert,Yes,CB,90,0,0,1,1,0,0,0,0,0,0,2
2023-04-23,2022-2023,La Liga,Valencia,Elche,A,2,0,W,Eray Cömert,No,,1,0,0,0,0,0,0,0,0,0,0,0
2023-04-30,2022-2023,La Liga,Valencia,Cádiz,A,1,2,L,Eray Cömert,Yes,CB,55,0,0,1,0,0,0,0,1,0,2,3
2023-05-21,2022-2023,La Liga,Valencia,Real Madrid,H,1,0,W,Eray Cömert,Yes,CB,90,0,0,0,0,1,0,2,0,0,2,2
2023-09-01,2023-2024,Ligue 1,Nantes,Marseille,H,1,1,D,Eray Cömert,Yes,CB,90,0,0,0,0,0,0,1,0,0,1,0
2023-09-17,2023-2024,Ligue 1,Nantes,Clermont Foot,A,1,0,W,Eray Cömert,Yes,CB,90,0,0,0,0,1,0,2,0,0,1,2
2023-09-23,2023-2024,Ligue 1,Nantes,Lorient,H,5,3,W,Eray Cömert,Yes,CB,90,1,0,2,1,0,0,0,0,0,2,1
2023-10-01,2023-2024,Ligue 1,Nantes,Rennes,A,3,1,L,Eray Cömert,Yes,CB,90,0,0,0,0,0,0,1,0,0,0,2
2023-10-06,2023-2024,Ligue 1,Nantes,Strasbourg,A,2,1,W,Eray Cömert,Yes,CB,90,0,0,0,0,0,0,1,0,0,0,2
2023-10-22,2023-2024,Ligue 1,Nantes,Montpellier,H,2,0,W,Eray Cömert,Yes,CB,90,0,0,0,0,0,0,1,1,0,2,1
2023-10-28,2023-2024,Ligue 1,Nantes,Lens,A,0,4,L,Eray Cömert,Yes,CB,90,0,0,0,0,1,0,2,4,0,2,4
2023-11-05,2023-2024,Ligue 1,Nantes,Reims,H,0,1,L,Eray Cömert,Yes,CB,83,0,0,0,0,0,0,0,0,0,0,1
2023-11-12,2023-2024,Ligue 1,Nantes,Metz,A,1,3,L,Eray Cömert,No,,37,0,0,1,0,0,0,2,2,0,1,0
2023-11-26,2023-2024,Ligue 1,Nantes,Le Havre,H,0,0,D,Eray Cömert,Yes,CB,90,0,0,1,1,0,0,0,4,0,0,3
2023-12-02,2023-2024,Ligue 1,Nantes,Nice,H,1,0,W,Eray Cömert,Yes,CB,90,0,0,1,0,0,0,0,1,1,0,0
2023-12-09,2023-2024,Ligue 1,Nantes,Paris Saint-Germain,A,1,2,L,Eray Cömert,Yes,CB,90,0,0,0,0,0,0,2,1,0,3,3
2023-12-17,2023-2024,Ligue 1,Nantes,Brest,H,0,2,L,Eray Cömert,Yes,CB,90,0,0,0,0,0,0,1,1,0,0,0
2023-12-20,2023-2024,Ligue 1,Nantes,Lyon,A,0,1,L,Eray Cömert,Yes,CB,90,0,0,1,0,0,0,2,0,1,1,1
2024-01-14,2023-2024,Ligue 1,Nantes,Clermont Foot,H,1,2,L,Eray Cömert,Yes,CB,86,0,0,0,0,0,0,1,0,1,3,0
2024-01-28,2023-2024,Ligue 1,Nantes,Reims,A,0,0,D,Eray Cömert,Yes,CB,38,0,0,0,0,0,0,1,0,0,0,1
2024-02-24,2023-2024,Ligue 1,Nantes,Lorient,A,1,0,W,Eray Cömert,Yes,CB,90,0,0,0,0,0,0,0,2,0,2,1
2024-03-10,2023-2024,Ligue 1,Nantes,Marseille,A,0,2,L,Eray Cömert,Yes,CB,90,0,0,0,0,0,0,0,1,0,2,0
2024-03-16,2023-2024,Ligue 1,Nantes,Strasbourg,H,1,3,L,Eray Cömert,Yes,CB,90,1,0,2,1,1,0,3,2,0,4,5
2024-03-31,2023-2024,Ligue 1,Nantes,Nice,A,2,1,W,Eray Cömert,Yes,CB,90,0,0,0,0,1,0,3,0,0,0,1
2024-04-07,2023-2024,Ligue 1,Nantes,Lyon,H,1,3,L,Eray Cömert,Yes,CB,40,0,0,0,0,1,0,1,0,0,0,1
2024-04-26,2023-2024,Ligue 1,Nantes,Montpellier,A,1,1,D,Eray Cömert,No,,16,0,0,1,0,0,0,0,1,0,1,1
2024-05-04,2023-2024,Ligue 1,Nantes,Brest,A,0,0,D,Eray Cömert,Yes,CB,90,0,0,0,0,0,0,0,1,0,1,0
2024-05-12,2023-2024,Ligue 1,Nantes,Lille,H,1,2,L,Eray Cömert,Yes,CB,75,0,0,0,0,0,0,0,1,0,1,1
2024-05-19,2023-2024,Ligue 1,Nantes,Monaco,A,0,4,L,Eray Cömert,Yes,DM,90,0,0,0,0,0,0,5,1,1,1,3
2024-08-19,2024-2025,La Liga,Valladolid,Espanyol,H,1,0,W,Eray Cömert,Yes,CM,81,0,0,3,0,0,0,0,0,0,1,0
2024-08-25,2024-2025,La Liga,Valladolid,Real Madrid,A,0,3,L,Eray Cömert,Yes,CB,90,0,0,0,0,0,0,2,0,0,1,2
2024-08-31,2024-2025,La Liga,Valladolid,Barcelona,A,0,7,L,Eray Cömert,Yes,CB,90,0,0,0,0,0,0,1,0,0,0,1
2024-09-15,2024-2025,La Liga,Valladolid,Celta Vigo,A,1,3,L,Eray Cömert,Yes,CB,63,0,0,0,0,0,0,0,0,0,0,1
2024-09-21,2024-2025,La Liga,Valladolid,Real Sociedad,H,0,0,D,Eray Cömert,No,,13,0,0,0,0,0,0,0,1,0,1,0
2024-09-24,2024-2025,La Liga,Valladolid,Sevilla,A,1,2,L,Eray Cömert,Yes,CB,90,0,0,0,0,0,0,1,0,0,0,0
2024-09-27,2024-2025,La Liga,Valladolid,Mallorca,H,1,2,L,Eray Cömert,Yes,CM,90,0,0,1,0,1,0,3,1,0,2,2
2024-10-05,2024-2025,La Liga,Valladolid,Rayo Vallecano,H,1,2,L,Eray Cömert,Yes,CM,45,0,0,1,0,1,0,3,1,0,1,1
2024-10-18,2024-2025,La Liga,Valladolid,Alavés,A,3,2,W,Eray Cömert,Yes,CM,90,0,0,1,0,0,0,0,1,0,1,0
2024-10-26,2024-2025,La Liga,Valladolid,Villarreal,H,1,2,L,Eray Cömert,Yes,DM,87,0,0,1,0,1,0,1,1,0,0,0
2024-11-02,2024-2025,La Liga,Valladolid,Osasuna,A,0,1,L,Eray Cömert,Yes,DM,58,0,0,0,0,0,0,0,2,0,3,2
2024-11-10,2024-2025,La Liga,Valladolid,Athletic Club,H,1,1,D,Eray Cömert,No,,2,0,0,0,0,1,0,1,0,0,0,0
2024-11-30,2024-2025,La Liga,Valladolid,Atlético Madrid,H,0,5,L,Eray Cömert,Yes,CB,90,0,0,0,0,0,0,0,0,0,0,2
2024-12-07,2024-2025,La Liga,Valladolid,Las Palmas,A,1,2,L,Eray Cömert,Yes,CB,85,0,0,1,0,1,0,2,1,0,1,0
2024-12-20,2024-2025,La Liga,Valladolid,Girona,A,0,3,L,Eray Cömert,Yes,CB,90,0,0,0,0,0,0,0,0,0,0,0
2025-01-11,2024-2025,La Liga,Valladolid,Real Betis,H,1,0,W,Eray Cömert,No,,9,0,0,0,0,0,0,0,0,0,0,0
2025-02-23,2024-2025,La Liga,Valladolid,Athletic Club,A,1,7,L,Eray Cömert,No,,26,0,0,0,0,0,0,0,0,0,0,1
2025-02-28,2024-2025,La Liga,Valladolid,Las Palmas,H,1,1,D,Eray Cömert,Yes,CB,90,0,0,0,0,0,0,1,1,0,2,1
2025-03-15,2024-2025,La Liga,Valladolid,Celta Vigo,H,0,1,L,Eray Cömert,Yes,CB,90,0,0,0,0,0,0,0,0,0,0,1
2025-04-06,2024-2025,La Liga,Valladolid,Getafe,H,0,4,L,Eray Cömert,Yes,CB,59,0,0,0,0,1,0,2,1,0,0,0
2025-04-24,2024-2025,La Liga,Valladolid,Real Betis,A,1,5,L,Eray Cömert,Yes,CB,90,0,0,0,0,0,0,0,0,0,0,3
