Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2019-09-21,2019-2020,Premier League,Manchester City,Watford,Home,8,0,W,Eric García,N,,28,0,0,0,0,0,0,0,0,0,0,0
2019-12-03,2019-2020,Premier League,Manchester City,Burnley,Away,4,1,W,Eric García,N,,6,0,0,0,0,0,0,0,0,0,0,0
2019-12-27,2019-2020,Premier League,Manchester City,Wolves,Away,2,3,L,Eric García,N,,45,0,0,0,0,0,0,0,0,0,0,0
2019-12-29,2019-2020,Premier League,Manchester City,Sheffield United,Home,2,0,W,Eric García,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2019-2020,Premier League,Manchester City,Everton,Home,2,1,W,Eric García,Y,CB,90,0,0,0,0,0,0,2,0,0,0,4
2020-01-21,2019-2020,Premier League,Manchester City,Sheffield United,Away,1,0,W,Eric García,N,,13,0,0,0,0,0,0,0,0,0,0,1
2020-06-17,2019-2020,Premier League,Manchester City,Arsenal,Home,3,0,W,Eric García,Y,CB,90,0,0,0,0,0,0,0,0,0,0,1
2020-07-02,2019-2020,Premier League,Manchester City,Liverpool,Home,4,0,W,Eric García,Y,CB,90,0,0,0,0,0,0,0,0,0,0,1
2020-07-05,2019-2020,Premier League,Manchester City,Southampton,Away,0,1,L,Eric García,Y,CB,90,0,0,0,0,0,0,2,0,0,0,1
2020-07-11,2019-2020,Premier League,Manchester City,Brighton,Away,5,0,W,Eric García,Y,CB,71,0,0,2,1,0,0,1,0,0,0,4
2020-07-15,2019-2020,Premier League,Manchester City,Bournemouth,Home,2,1,W,Eric García,N,,45,0,0,0,0,1,0,2,0,1,1,2
2020-07-21,2019-2020,Premier League,Manchester City,Watford,Away,4,0,W,Eric García,Y,CB,90,0,0,0,0,0,0,2,0,0,0,3
2020-07-26,2019-2020,Premier League,Manchester City,Norwich City,Home,5,0,W,Eric García,Y,CB,45,0,0,0,0,0,0,0,0,0,0,1
