Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2024-12-06,2024-2025,La Liga,Celta Vigo,Mallorca,Home,2,0,W,Fer López,Y,FW,42,0,0,1,0,0,0,0,0,0,1,1
2025-01-27,2024-2025,La Liga,Celta Vigo,Alavés,Away,1,1,D,Fer López,N,,6,0,0,0,0,0,0,1,0,0,0,0
2025-02-02,2024-2025,La Liga,Celta Vigo,Valencia,Away,1,2,L,Fer López,N,,4,0,0,0,0,0,0,0,0,0,0,0
2025-02-08,2024-2025,La Liga,Celta Vigo,Real Betis,Home,3,2,W,Fer López,N,,31,0,0,0,0,0,0,1,0,0,0,0
2025-02-15,2024-2025,La Liga,Celta Vigo,Atlético Madrid,Away,1,1,D,Fer López,Y,FW,61,0,0,3,1,0,0,0,0,0,0,0
2025-02-21,2024-2025,La Liga,Celta Vigo,Osasuna,Home,1,0,W,Fer López,Y,FW,64,0,0,0,0,1,0,1,0,0,0,0
2025-03-01,2024-2025,La Liga,Celta Vigo,Girona,Away,2,2,D,Fer López,N,,22,0,0,0,0,0,0,1,0,0,0,1
2025-03-15,2024-2025,La Liga,Celta Vigo,Valladolid,Away,1,0,W,Fer López,N,,20,0,0,1,0,0,0,2,0,0,0,0
2025-03-31,2024-2025,La Liga,Celta Vigo,Las Palmas,Home,1,1,D,Fer López,N,,45,0,0,2,0,1,0,2,0,2,1,0
2025-04-05,2024-2025,La Liga,Celta Vigo,Mallorca,Away,2,1,W,Fer López,N,,27,1,0,2,1,0,0,3,0,0,0,0
2025-04-12,2024-2025,La Liga,Celta Vigo,Espanyol,Home,0,2,L,Fer López,N,,29,0,0,2,0,0,0,1,0,0,0,0
2025-04-19,2024-2025,La Liga,Celta Vigo,Barcelona,Away,3,4,L,Fer López,N,,17,0,0,0,0,0,0,0,0,0,0,0
2025-04-23,2024-2025,La Liga,Celta Vigo,Villarreal,Home,3,0,W,Fer López,Y,FW,73,1,0,2,1,0,0,0,0,0,0,0
2025-05-04,2024-2025,La Liga,Celta Vigo,Real Madrid,Away,2,3,L,Fer López,Y,AM,90,0,0,1,0,0,0,1,0,0,0,1
2025-05-13,2024-2025,La Liga,Celta Vigo,Real Sociedad,Away,1,0,W,Fer López,Y,FW,65,0,0,1,0,0,0,0,0,2,1,0
2025-05-18,2024-2025,La Liga,Celta Vigo,Rayo Vallecano,Home,1,2,L,Fer López,Y,AM,68,0,0,4,2,0,0,0,0,0,1,0
2025-05-24,2024-2025,La Liga,Celta Vigo,Getafe,Away,2,1,W,Fer López,N,,7,0,0,1,1,0,0,0,0,0,0,0
