Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2023-08-27,2023-2024,La Liga,Barcelona,Villarreal,Away,4,3,W,Fermín López,N,N/A,5,0,0,1,1,0,0,1,0,0,0,0
2023-09-26,2023-2024,La Liga,Barcelona,Mallorca,Away,2,2,D,Fermín López,N,N/A,27,1,0,1,1,0,0,0,0,0,0,0
2023-09-29,2023-2024,La Liga,Barcelona,Sevilla,Home,1,0,W,Fermín López,N,N/A,54,0,0,1,1,0,0,3,2,1,0,0
2023-10-08,2023-2024,La Liga,Barcelona,Granada,Away,2,2,D,Fermín López,Y,CM,60,0,0,2,2,0,0,3,0,0,1,0
2023-10-22,2023-2024,La Liga,Barcelona,Athletic Club,Home,1,0,W,Fermín López,Y,FW,78,0,0,3,2,0,0,1,1,1,0,0
2023-10-28,2023-2024,La Liga,Barcelona,Real Madrid,Home,1,2,L,Fermín López,Y,AM,71,0,0,2,0,1,0,2,1,0,1,0
2023-11-04,2023-2024,La Liga,Barcelona,Real Sociedad,Away,1,0,W,Fermín López,Y,AM,56,0,0,2,1,0,0,0,2,0,1,0
2023-11-12,2023-2024,La Liga,Barcelona,Alavés,Home,2,1,W,Fermín López,Y,AM,62,0,0,1,0,0,0,1,0,0,0,0
2023-11-25,2023-2024,La Liga,Barcelona,Rayo Vallecano,Away,1,1,D,Fermín López,N,N/A,16,0,0,0,0,0,0,0,0,0,0,0
2023-12-03,2023-2024,La Liga,Barcelona,Atlético Madrid,Home,1,0,W,Fermín López,N,N/A,2,0,0,0,0,0,0,0,0,0,0,0
2023-12-10,2023-2024,La Liga,Barcelona,Girona,Home,2,4,L,Fermín López,N,N/A,11,0,0,3,0,0,0,1,0,0,0,0
2023-12-20,2023-2024,La Liga,Barcelona,Almería,Home,3,2,W,Fermín López,Y,CM,66,0,0,1,0,0,0,4,1,0,0,0
2024-01-04,2023-2024,La Liga,Barcelona,Las Palmas,Away,2,1,W,Fermín López,N,N/A,13,0,0,0,0,0,0,0,0,0,1,0
2024-01-21,2023-2024,La Liga,Barcelona,Real Betis,Away,4,2,W,Fermín López,N,N/A,20,0,0,0,0,0,0,1,0,0,2,0
2024-01-31,2023-2024,La Liga,Barcelona,Osasuna,Home,1,0,W,Fermín López,N,N/A,55,0,0,3,1,0,0,2,0,0,0,0
2024-02-03,2023-2024,La Liga,Barcelona,Alavés,Away,3,1,W,Fermín López,N,N/A,17,0,0,1,1,0,0,0,1,0,1,0
2024-02-11,2023-2024,La Liga,Barcelona,Granada,Home,3,3,D,Fermín López,N,N/A,24,0,0,0,0,1,0,0,0,0,1,0
